time,runtime
0.0000073,1.6868e-02
0.0705178,8.0532e-02
0.2118500,7.6417e-03
0.2360736,2.4528e-02
0.3240296,7.6525e-03
0.3756617,1.3316e-02
0.4108296,1.7898e-02
0.4583453,1.2547e-02
0.5330194,6.3476e-01
1.2936394,1.1163e-02
1.3332965,2.3194e-02
1.4129223,6.5268e-03
1.4312651,7.6903e-03
1.5401864,2.0404e-01
1.7641563,1.2504e-02
1.8050828,1.2072e-02
1.9208050,6.4708e-03
1.9599957,6.8989e-03
2.0021365,7.3713e-03
2.0221963,5.8143e-03
2.3740821,4.6670e-03
2.5775943,7.4125e-03
2.6047707,1.6041e-02
2.6322129,7.0778e-02
2.7188396,1.7583e-02
2.7582488,8.3821e-03
2.8017106,8.5020e-03
5.4001203,1.4926e-02
5.4364028,8.9122e-03
5.5579758,3.9075e-01
6.2283077,1.2222e-02
6.3360848,7.7263e-03
6.3607502,1.1598e-02
6.3941259,7.7953e-03
6.4123006,5.3825e-02
6.5001707,5.5084e-02
6.6026554,7.6517e-03
6.6299362,1.0400e-02
6.6654458,2.5994e-02
6.7416382,1.4117e-01
6.9148326,8.9662e-03
6.9336176,6.8328e-03
6.9959574,1.1142e-01
7.1592841,8.4884e-02
7.6096659,3.0265e-02
7.6811485,2.4442e-02
7.7190781,2.1867e+00
9.9227448,9.0055e-03
9.9600573,1.4725e-02
10.2213268,5.0822e-02
10.3085699,1.2997e-02
10.5079441,1.7329e-02
10.5470657,1.5310e-02
10.5732136,8.7833e-03
10.6100197,1.1173e-01
10.7781944,1.8844e-02
11.0621071,9.9739e-03
11.1067476,5.1743e-02
11.5430222,4.1448e-01
12.0222321,1.4488e-01
12.3299828,1.6764e-01
12.5218019,3.3217e-02
12.5874729,1.2219e-02
12.6269808,1.0652e-02
12.6546869,8.2220e-03
12.6971512,1.0728e-02
12.7227030,1.0156e-02
12.7453384,1.7419e-02
12.7996349,7.4146e-03
12.8210859,7.7134e-03
12.8507862,9.4275e-03
15.0940132,1.4161e-02
15.1404572,6.8365e-03
15.1751919,6.5724e-03
15.2008505,1.0374e-02
15.2277012,9.9371e-03
15.2641344,9.1482e-03
15.3019438,6.7990e-03
15.3280354,9.0657e-03
