time,runtime
0.0178542,4.6057e-02
0.1517176,5.4934e-02
0.2202670,1.0086e-02
0.2612159,1.8690e-02
0.3323292,9.8215e-03
0.3896702,1.5312e-02
0.4294494,2.2584e-02
0.4716575,5.4280e-02
1.1685699,1.1917e-01
1.3054228,2.4862e-02
1.3570104,5.1212e-02
1.4199735,8.7690e-03
1.4395773,2.2429e-02
1.7447110,1.6376e-02
1.7770262,2.2158e-02
1.8178378,4.0439e-02
1.9279474,2.4309e-02
1.9674819,2.4406e-02
2.0100083,6.1481e-03
2.0287437,2.0387e-02
2.3793015,1.8640e-01
2.5854831,8.5565e-03
2.6214063,7.2110e-03
2.7034431,1.0736e-02
2.7371683,1.2603e-02
2.7673604,7.5080e-03
2.8108315,2.2035e+00
5.4157495,8.3325e-03
5.4459591,2.7547e-02
5.9494910,2.2730e-02
6.2411551,9.1035e-02
6.3443842,5.5971e-03
6.3728461,1.5721e-02
6.4025760,5.5923e-03
6.4666343,2.1575e-02
6.5558558,4.0967e-02
6.6108317,1.1443e-02
6.6410375,2.1221e-02
6.6920929,1.5225e-02
6.8833966,2.4700e-02
6.9242368,6.0590e-03
6.9410605,1.7062e-02
7.1079679,4.6285e-02
7.2446980,4.9704e-02
7.6405892,2.7330e-02
7.7063842,9.3527e-03
9.9064083,7.6834e-03
9.9326534,1.0755e-02
9.9754496,2.3456e-01
10.2728434,1.6363e-02
10.3223248,1.8241e-01
10.5259113,1.4152e-02
10.5629101,7.6888e-03
10.5826645,2.5779e-02
10.7223740,4.9460e-02
10.7978067,1.3005e-02
11.0728998,2.5866e-02
11.1591663,3.8013e-01
11.9581251,6.1038e-02
12.1677284,1.0019e-01
12.4980965,1.8271e-02
12.5555344,2.5918e-02
12.6004477,1.9230e-02
12.6383066,9.5595e-03
12.6635609,2.7322e-02
12.7087078,9.1699e-03
12.7336445,8.1972e-03
12.7637100,2.9623e-02
12.8078022,9.7325e-03
12.8295984,1.5558e-02
12.8609047,2.1542e+00
15.1089525,2.3059e-02
15.1479025,2.0020e-02
15.1823416,1.5092e-02
15.2117825,9.7494e-03
15.2383232,2.0568e-02
15.2740345,2.2424e-02
15.3093100,1.5641e-02
15.3377438,1.3932e-02
15.3712702,3.2411e-02
15.4368219,1.1289e-02
15.4676142,1.2272e-02
15.4949493,2.6940e-02
15.5451984,6.0106e-03
15.5690632,3.9683e-02
15.6195469,9.2244e-03
15.6407661,5.4007e-02
15.7474136,1.1052e-02
15.7725954,1.2478e-02
15.8023148,7.8348e-02
15.8936949,3.2401e-02
15.9379616,8.3592e-03
15.9716253,1.0463e-02
16.0011787,7.0231e-03
16.0208416,5.7122e-03
16.0383186,7.6966e-03
16.0632820,7.0795e-03
16.0878620,4.5889e-02
16.3754673,1.0756e-02
16.4035339,9.4771e-03
16.4309788,5.5862e-02
16.4994259,7.1433e-03
16.5176373,9.7672e-03
16.5394230,7.4923e-03
16.5637455,5.7338e-03
16.5783024,2.8499e-02
16.6690559,7.5912e-03
16.6976604,9.5764e-03
16.7211456,2.0130e-02
16.7798100,8.8238e-03
16.8121166,9.1232e-03
16.8416290,1.0159e-02
16.8647747,1.1462e-02
16.8944836,6.3446e-03
16.9146328,7.6837e-03
17.2526989,1.2110e-02
17.4182320,1.5779e-02
17.4574242,2.4609e-02
17.4988174,1.2435e-02
17.5257988,8.7853e-03
17.5508804,1.2264e-02
17.5809326,1.4618e-02
17.6102886,1.7499e-02
17.6403236,3.1084e-02
17.6844158,1.0398e-02
17.7085209,4.3622e-02
17.7695999,1.2328e-02
17.8041248,1.2977e-02
17.8737202,2.2335e-02
19.4401627,2.0130e-02
19.4898815,1.0435e-01
19.6568069,1.9901e-02
19.7469540,2.7423e-02
19.7902966,2.0558e-02
19.8294106,3.6654e-02
20.0617523,2.2789e-02
20.1141529,9.7991e-02
20.2879925,1.0674e-02
20.7356701,8.7936e-02
20.8367939,9.6072e-03
20.9571400,1.1090e-02
21.4174175,3.9190e-01
21.8384628,2.3913e-02
22.0486031,1.5760e-02
22.0939064,3.0798e-01
22.4129009,8.4408e-03
22.4375324,6.3466e-02
22.5311317,2.3794e-02
22.5689907,1.9102e-02
22.6006279,9.7606e-03
22.6233482,8.6183e-03
22.6551628,8.8370e-03
22.7189312,3.1516e-02
24.9040089,2.3053e-02
24.9818611,1.8315e-02
25.0148640,2.7649e-02
25.0558147,1.0409e-02
25.0815105,7.8397e-03
25.1030884,8.0007e-03
25.1899910,2.7703e-02
25.2759571,1.2231e-02
25.3055725,1.2763e-02
25.3334370,2.0738e-02
25.3723068,8.7241e-03
25.3980103,2.5444e-02
25.4369965,9.8970e-03
25.4657192,6.8513e-03
25.4868488,2.9612e-02
25.5290222,1.6679e-02
25.5596161,1.2171e-02
25.5869331,1.2022e-02
25.6070251,3.3684e-02
25.6582699,2.7718e-02
25.7103539,1.3319e-02
