time,runtime
0.0168795,9.7367e-04
0.1510544,6.6194e-04
0.2194986,7.6732e-04
0.2606059,6.0881e-04
0.3316865,6.4146e-04
0.3889860,6.8247e-04
0.4287349,7.1352e-04
0.4708990,7.5732e-04
1.1677825,7.8645e-04
1.3048064,6.1457e-04
1.3564949,5.1422e-04
1.4194529,5.1986e-04
1.4389625,6.1404e-04
1.7442327,4.7733e-04
1.7766646,3.6056e-04
1.8171585,6.7856e-04
1.9272838,6.6270e-04
1.9669033,5.7746e-04
2.0095143,4.9308e-04
2.0280175,7.2424e-04
2.3787539,5.4654e-04
2.5850112,4.7110e-04
2.6208167,5.8838e-04
2.7029955,4.4675e-04
2.7364273,7.4006e-04
2.7666352,7.2412e-04
2.8102198,6.1091e-04
5.4150543,6.9411e-04
5.4453206,6.3740e-04
5.9487267,7.6322e-04
6.2405357,6.1802e-04
6.3438163,5.6687e-04
6.3723559,4.8929e-04
6.4019284,6.4624e-04
6.4661298,5.0350e-04
6.5552602,5.9491e-04
6.6103148,5.1596e-04
6.6403408,6.9564e-04
6.6914468,6.4529e-04
6.8828135,5.8200e-04
6.9238033,4.3293e-04
6.9404545,6.0493e-04
7.1073818,5.8518e-04
7.2441726,5.2380e-04
7.6399369,6.5093e-04
7.7055950,7.8785e-04
9.9057541,6.5339e-04
9.9317560,8.9574e-04
9.9747887,6.6024e-04
10.2721548,6.8689e-04
10.3215723,7.5176e-04
10.5252800,6.2941e-04
10.5623827,5.2609e-04
10.5820026,6.6142e-04
10.7217598,6.1314e-04
10.7970476,7.5790e-04
11.0720882,8.1038e-04
11.1584959,6.6897e-04
11.9575024,6.2196e-04
12.1671162,6.1104e-04
12.4976311,4.6370e-04
12.5550241,5.0983e-04
12.5996990,7.4779e-04
12.6376419,6.6434e-04
12.6629152,6.4399e-04
12.7078838,8.2278e-04
12.7328672,7.7588e-04
12.7627668,9.4291e-04
12.8070574,7.4427e-04
12.8288040,7.9380e-04
12.8602190,6.8412e-04
15.1081800,7.7213e-04
15.1472988,6.0238e-04
15.1817684,5.7199e-04
15.2112284,5.5271e-04
15.2376451,6.7700e-04
15.2733116,7.2249e-04
15.3087463,5.6185e-04
15.3371096,6.3263e-04
15.3706617,6.0706e-04
15.4361382,6.8231e-04
15.4670105,6.0228e-04
15.4944525,4.9648e-04
15.5441284,1.0690e-03
15.5684185,6.4354e-04
15.6189528,5.9395e-04
15.6402435,5.2086e-04
15.7468786,5.3402e-04
15.7720652,5.2866e-04
15.8011923,1.1217e-03
15.8930559,6.3752e-04
15.9372864,6.7316e-04
15.9706783,9.4585e-04
16.0005360,6.4093e-04
16.0199738,8.6597e-04
16.0373116,1.0047e-03
16.0625076,7.7381e-04
16.0872116,6.4887e-04
16.3748817,5.8376e-04
16.4028244,7.0929e-04
16.4304657,5.1180e-04
16.4987144,7.0988e-04
16.5167427,8.9442e-04
