time,runtime
0.0000065,4.4223e-01
0.4422371,2.9754e-01
0.7397850,7.4302e-03
0.7472211,4.3513e-01
1.1823498,1.0801e-02
1.1931545,9.4015e-03
1.2025596,6.7855e-03
1.2093509,5.7899e-03
1.2151448,5.2236e-03
1.2203742,2.1216e-02
1.2415934,5.3576e-03
1.2469546,9.1056e-03
1.2560660,1.7202e-02
1.2732716,1.1575e-01
1.3890257,5.4898e-03
1.3945193,5.6406e-03
1.4001638,4.3842e-03
1.4045519,8.0509e-03
1.4126066,6.2548e-03
1.4188673,7.7804e-02
1.4966750,7.0202e-03
1.5036989,7.3166e-03
1.5110192,7.3627e-03
1.5183855,4.6138e-03
1.5230051,4.3554e-03
1.5273663,5.8801e-03
1.5332500,7.0173e-03
1.5402731,7.3495e-02
1.6137743,8.3114e-03
1.6220893,5.4092e-03
1.6275021,3.2717e-02
1.6602228,1.5758e-02
1.6759847,8.9717e-03
1.6849623,6.1056e-03
1.6910737,7.4421e-03
1.6985215,1.2361e-02
1.7108880,3.1620e-01
2.0270905,3.1717e-01
2.3442700,8.1070e-03
2.3523808,1.6280e-02
2.3686647,5.2156e-03
2.3738842,6.3343e-03
2.3802223,6.7469e-01
3.0549138,7.8963e-03
3.0628145,4.2394e-03
3.0670581,5.0098e-03
3.0720725,4.6784e-03
3.0767553,2.9927e-03
3.0797515,5.2967e-03
3.0850520,9.2762e-03
3.0943320,4.0367e-03
3.0983732,3.1671e-01
3.4150853,3.1553e-03
3.4182451,3.2429e-03
3.4214923,4.6608e-03
3.4261575,4.6950e-03
3.4308569,4.2264e-03
3.4350874,4.0982e-03
3.4391901,5.0396e-03
3.4442339,3.1116e-03
3.4473500,6.1314e-03
3.4534857,6.0678e-03
3.4595580,5.8757e-03
3.4654379,5.1420e-03
3.4705842,2.6395e-03
3.4732308,4.5004e-03
3.4777358,4.8476e-02
3.5262179,2.0594e-02
3.5468144,6.3483e-03
3.5531671,4.3704e-03
3.5575445,3.9626e-03
3.5615125,3.7127e-03
3.5652320,3.2803e-03
3.5685170,4.6006e-03
3.5731208,3.9090e-03
3.5770342,4.9421e-03
3.5819807,5.0634e-03
3.5870485,3.3130e-03
3.5903659,3.9192e-03
3.5942924,4.6377e-03
3.5989373,4.6156e-03
3.6035600,5.0476e-03
3.6086121,4.3199e-03
3.6129365,5.5633e-03
3.6185071,5.1085e-03
3.6236227,3.2387e-03
