time,runtime
0.0005895,1.8375e-04
0.0016556,2.0172e-04
0.0027414,1.9689e-04
0.0037862,2.6228e-04
0.0048944,1.8388e-04
0.0058436,2.2548e-04
0.0068935,1.9025e-04
0.0078275,2.3304e-04
0.0089131,1.9271e-04
0.0099454,2.1514e-04
0.0109539,2.0574e-04
0.0119346,2.1929e-04
0.0130408,3.1963e-04
0.0141641,2.1772e-04
0.0151375,1.9742e-04
0.0162495,1.8333e-04
0.0172823,2.6136e-04
0.0185316,1.7336e-04
0.0195621,2.2338e-04
0.0205789,1.8817e-04
0.0215730,2.0000e-04
0.0226817,2.2650e-04
0.0238045,2.6505e-04
0.0249458,2.1145e-04
0.0259550,2.6554e-04
0.0272689,2.0454e-04
0.0283388,1.8548e-04
0.0294460,2.0845e-04
0.0306963,2.6427e-04
0.0318548,2.3099e-04
0.0328859,1.7850e-04
0.0338472,2.2717e-04
0.0348480,2.1808e-04
0.0360120,2.3683e-04
0.0371573,1.8797e-04
0.0381994,1.6735e-04
0.0393085,2.7463e-04
0.0404378,1.9697e-04
0.0414866,1.9308e-04
0.0425076,1.6455e-04
0.0436119,1.9919e-04
0.0447708,2.3204e-04
0.0459448,2.5238e-04
0.0470468,1.9231e-04
0.0481311,1.9601e-04
0.0490212,1.6798e-04
0.0499545,2.1967e-04
0.0510254,2.5803e-04
0.0520660,1.8603e-04
0.0531565,2.2827e-04
0.0541017,1.8254e-04
0.0551607,2.0461e-04
0.0562871,1.6230e-04
0.0572955,2.0406e-04
0.0583244,1.6603e-04
0.0594815,2.2245e-04
0.0606501,2.2065e-04
0.0618513,2.2464e-04
0.0628529,2.2999e-04
0.0638991,2.0988e-04
0.0648858,2.0006e-04
0.0658311,2.3846e-04
0.0670037,1.8522e-04
0.0681269,2.1615e-04
0.0691011,2.3646e-04
0.0700868,1.6526e-04
0.0711703,2.2533e-04
0.0722296,1.9095e-04
0.0733587,1.7115e-04
0.0744442,2.1810e-04
0.0754731,1.7596e-04
0.0765630,1.7122e-04
0.0776163,2.2152e-04
0.0787196,2.4184e-04
0.0798819,2.3329e-04
0.0810221,2.5557e-04
0.0821715,2.7976e-04
0.0833154,2.2684e-04
0.0843120,2.1213e-04
0.0852980,1.7045e-04
0.0864044,2.0997e-04
0.0873385,1.8631e-04
0.0884003,1.7922e-04
0.0895185,2.9460e-04
0.0908498,2.2696e-04
0.0918897,2.1868e-04
0.0930225,2.7419e-04
0.0941736,1.6365e-04
0.0951799,2.5736e-04
0.0963524,1.6885e-04
0.0975474,2.1164e-04
0.0986404,2.2498e-04
0.0998278,2.0063e-04
0.1011138,2.6022e-04
0.1022794,2.4188e-04
0.1036610,2.0412e-04
0.1047184,1.7971e-04
0.1058347,2.4186e-04
0.1069137,2.0178e-04
0.1080037,2.5410e-04
0.1091467,1.9831e-04
0.1102058,2.0774e-04
0.1112305,2.0448e-04
0.1122241,1.8440e-04
0.1133374,1.6207e-04
0.1143747,1.8167e-04
0.1154635,1.8573e-04
0.1164794,1.9633e-04
0.1175454,1.6000e-04
0.1185537,1.8171e-04
0.1195003,1.6466e-04
0.1205152,1.7999e-04
0.1215005,1.8097e-04
0.1224858,1.6966e-04
0.1234899,2.4290e-04
0.1245072,1.9389e-04
0.1255909,1.6765e-04
0.1265534,1.9899e-04
0.1275806,2.2522e-04
0.1285662,1.7830e-04
0.1295600,1.7994e-04
0.1305382,1.6459e-04
0.1316060,2.1940e-04
0.1325912,1.8370e-04
0.1336028,2.2387e-04
0.1347187,2.5340e-04
0.1357826,2.0576e-04
0.1368344,1.9444e-04
