time,runtime
0.0004812,1.0780e-04
0.0015272,1.2784e-04
0.0026478,9.3102e-05
0.0036404,1.4531e-04
0.0047755,1.1832e-04
0.0057482,9.4956e-05
0.0067852,1.0784e-04
0.0077214,1.0555e-04
0.0088006,1.1200e-04
0.0098430,1.0197e-04
0.0108500,1.0338e-04
0.0118357,9.8429e-05
0.0128950,1.4453e-04
0.0140624,1.0116e-04
0.0150267,1.1027e-04
0.0161530,9.6005e-05
0.0171361,1.4564e-04
0.0183510,1.8011e-04
0.0194455,1.1603e-04
0.0204662,1.1221e-04
0.0214734,9.9075e-05
0.0225685,1.0229e-04
0.0236723,1.3163e-04
0.0248353,1.0998e-04
0.0258112,1.4259e-04
0.0270951,1.7320e-04
0.0282331,1.0517e-04
0.0293416,1.0392e-04
0.0305476,1.4814e-04
0.0317139,1.3964e-04
0.0327692,1.1617e-04
0.0337533,9.3442e-05
0.0347509,9.6498e-05
0.0358579,1.5294e-04
0.0370585,9.8218e-05
0.0380966,1.0222e-04
0.0391356,1.7241e-04
0.0403071,1.3016e-04
0.0413754,1.1067e-04
0.0423997,1.0741e-04
0.0434799,1.3148e-04
0.0446321,1.3746e-04
0.0457965,1.4699e-04
0.0469475,9.8664e-05
0.0480311,9.9405e-05
0.0489180,1.0259e-04
0.0498205,1.3349e-04
0.0508763,1.4792e-04
0.0519638,1.0164e-04
0.0529720,1.8321e-04
0.0539947,1.0646e-04
0.0550591,1.0099e-04
0.0561712,1.1537e-04
0.0571805,1.1439e-04
0.0582137,1.1022e-04
0.0593143,1.6602e-04
0.0605035,1.4599e-04
0.0616934,1.5662e-04
0.0627323,1.2004e-04
0.0637767,1.2192e-04
0.0647747,1.1064e-04
0.0657324,9.8142e-05
0.0669001,1.0303e-04
0.0679601,1.6554e-04
0.0689719,1.2798e-04
0.0699822,1.0395e-04
0.0710112,1.5782e-04
0.0721213,1.0775e-04
0.0732212,1.3693e-04
0.0742857,1.5723e-04
0.0753779,9.4693e-05
0.0764496,1.1285e-04
0.0774772,1.3792e-04
0.0785778,1.4052e-04
0.0797381,1.4253e-04
0.0808581,1.6276e-04
0.0820115,1.5944e-04
0.0831573,1.5760e-04
0.0842049,1.0649e-04
0.0851791,1.1840e-04
0.0862800,1.2386e-04
0.0872401,9.7837e-05
0.0882827,1.1703e-04
0.0893163,2.0095e-04
0.0906941,1.5517e-04
0.0917488,1.4036e-04
0.0928251,1.9608e-04
0.0940789,9.4141e-05
0.0950802,9.9165e-05
0.0962365,1.1534e-04
0.0973512,1.9568e-04
0.0985001,1.3901e-04
0.0997198,1.0749e-04
0.1009600,1.5259e-04
0.1021812,9.7664e-05
0.1035120,1.3811e-04
0.1046258,9.2104e-05
0.1056792,1.5503e-04
0.1067755,1.3694e-04
0.1078544,1.4807e-04
0.1090488,9.7383e-05
0.1101093,9.5920e-05
0.1111215,1.0849e-04
0.1120995,1.2401e-04
0.1131649,1.7197e-04
0.1142808,9.3329e-05
0.1153437,1.1918e-04
0.1163631,1.1570e-04
0.1174410,1.0393e-04
0.1184577,9.5536e-05
0.1193883,1.1147e-04
0.1203979,1.1682e-04
0.1214002,9.9850e-05
0.1223921,9.3242e-05
0.1233415,1.4788e-04
0.1244148,9.1833e-05
0.1254680,1.2243e-04
