time,runtime
0.1084981,1.5063e-02
0.2231273,1.7646e-02
0.3452462,1.8110e-02
0.4684104,2.2904e-02
0.6021529,2.3618e-02
0.7306166,1.8883e-02
0.8726282,1.8641e-02
1.0071783,1.9817e-02
1.1492376,6.4832e-02
1.3216246,1.4474e-02
1.4631159,2.1420e-02
1.5934523,1.5760e-02
1.7198319,1.6399e-02
1.8536599,1.6905e-02
1.9836512,1.4401e-02
2.1070216,1.5627e-02
2.2346768,1.3562e-02
2.3493609,1.4318e-02
2.4637008,1.4328e-02
2.5745494,1.4000e-02
2.6835423,1.5258e-02
2.7939217,1.4319e-02
2.9048874,1.4843e-02
3.0205657,1.4395e-02
3.1479232,1.5366e-02
3.2636755,1.4851e-02
3.3787823,1.4756e-02
3.4947991,1.7759e-02
3.6150510,1.5208e-02
3.7285774,1.4562e-02
3.8464448,1.5119e-02
3.9598491,1.4780e-02
4.0743461,1.4642e-02
4.1887970,4.0245e-02
4.3187418,1.6248e-02
4.4299545,1.5471e-02
4.5367069,1.5024e-02
4.6393933,1.6657e-02
4.7465258,1.5745e-02
4.8494201,1.3686e-02
4.9542065,1.4493e-02
5.0563941,1.4030e-02
5.1636324,1.3992e-02
5.2702742,1.4207e-02
5.3785629,1.3325e-02
5.4856133,1.3488e-02
5.5950775,1.4704e-02
5.6992059,1.5538e-02
5.8075957,1.4680e-02
5.9123316,1.4847e-02
6.0213785,1.5257e-02
6.1486373,1.4388e-02
6.2641191,1.3701e-02
6.3724694,1.2564e-02
6.4786167,1.3857e-02
6.5829344,1.2543e-02
6.6879110,1.3078e-02
6.7947140,1.3443e-02
6.9026885,1.3641e-02
7.0106745,1.4463e-02
7.1217790,2.0855e-02
7.2625494,2.5208e-02
7.3754053,1.3966e-02
7.4955978,1.3942e-02
7.6039777,1.2663e-02
7.7131639,1.4227e-02
7.8212743,1.4821e-02
7.9299350,1.5714e-02
8.0392599,1.3789e-02
8.1483097,1.5499e-02
8.2606354,1.3935e-02
8.3917627,1.5381e-02
8.5022240,1.5425e-02
8.6164331,1.5643e-02
8.7303190,1.6425e-02
8.8476715,1.5846e-02
8.9636726,1.5921e-02
9.0791206,1.5481e-02
9.2042913,1.4193e-02
9.3186884,1.4296e-02
9.4321098,1.4813e-02
9.5444670,1.4807e-02
9.6677799,2.4405e-02
9.7998323,1.5329e-02
9.9113064,1.4248e-02
10.0247574,1.9492e-02
10.1411486,1.5568e-02
10.2597704,2.8238e-02
10.3896046,1.3855e-02
10.4984674,1.4740e-02
10.6172390,1.5369e-02
10.7294693,1.5378e-02
10.8486576,1.5401e-02
10.9618931,1.3077e-02
11.0727863,1.5122e-02
11.1881313,1.4211e-02
11.3020687,1.4136e-02
11.4156914,1.3353e-02
11.5257082,1.5116e-02
11.6335611,1.6532e-02
11.7444744,1.5218e-02
11.8511486,1.3606e-02
11.9629068,1.3917e-02
12.0706110,1.5165e-02
12.1932011,1.4619e-02
12.3002357,1.8437e-02
12.4127455,1.3345e-02
12.5166731,1.7788e-02
12.6281548,1.5118e-02
12.7382717,1.4072e-02
12.8453913,1.3713e-02
12.9545250,1.7846e-02
13.0698872,1.9044e-02
13.1854725,1.5749e-02
13.3202066,2.4049e-02
13.4366198,1.3500e-02
13.5545721,1.5488e-02
13.6719236,1.4907e-02
13.7784309,1.9912e-02
13.8914642,1.4755e-02
14.0026073,1.4015e-02
14.1155844,1.3567e-02
14.2300034,1.4559e-02
14.3390579,1.5635e-02
14.4562206,1.5440e-02
14.5732803,1.5927e-02
14.6886806,1.4755e-02
14.8026114,1.7441e-02
14.9224434,1.3972e-02
15.0301180,1.5196e-02
15.1383162,1.4873e-02
15.2596712,1.4642e-02
15.3684149,1.4276e-02
15.4752197,1.4331e-02
15.5878220,1.4938e-02
15.6975775,1.5597e-02
15.8487263,1.5645e-02
15.9611568,1.6271e-02
16.0736694,1.4163e-02
16.1829338,1.3424e-02
16.2914391,1.5744e-02
16.4035015,1.6994e-02
16.5097923,1.6125e-02
16.6768818,1.4865e-02
16.7949657,1.7209e-02
16.9190998,1.6587e-02
17.0353508,1.7565e-02
17.1637783,1.4576e-02
17.2916489,2.5174e-02
17.4272346,1.3325e-02
17.5375805,1.4268e-02
17.6524696,1.4431e-02
17.7682133,1.4004e-02
17.8845940,1.5893e-02
18.0036278,2.5332e-02
18.1757622,1.4336e-02
18.3064957,1.4374e-02
18.4506226,1.7452e-02
18.5697670,1.6141e-02
18.6910305,1.6116e-02
18.8130589,1.6570e-02
18.9372597,1.6842e-02
19.0602303,1.5870e-02
19.4400120,5.4665e-02
19.6135120,1.5277e-02
19.7301350,1.5190e-02
19.8470840,1.5426e-02
19.9669266,1.5563e-02
20.0887070,1.5225e-02
20.2129650,1.4199e-02
20.3293476,1.4265e-02
20.4468441,1.4535e-02
20.7749252,1.9658e-02
20.8906384,1.3911e-02
21.0037823,1.4931e-02
21.1177998,1.4409e-02
21.2355576,1.4642e-02
21.3645592,1.3844e-02
21.5061817,1.4440e-02
21.6217766,1.6591e-02
21.7398777,1.6302e-02
21.8563614,1.5170e-02
21.9709568,1.4771e-02
22.0846062,1.4544e-02
22.1991234,1.6028e-02
22.3223209,1.5967e-02
22.4373684,1.6896e-02
22.5557613,1.6209e-02
22.6863384,1.5265e-02
22.8000813,1.6415e-02
22.9149895,1.6813e-02
23.0334263,1.5727e-02
23.1541767,1.3951e-02
23.2744827,1.6400e-02
23.3957748,1.5101e-02
23.5151711,1.7397e-02
23.6374454,1.5283e-02
23.7551785,1.5609e-02
23.8688240,1.4061e-02
23.9666405,1.0358e-02
