time,runtime
0.0404746,3.8294e-02
0.1644992,2.7896e-02
0.2878105,2.7283e-02
0.4103349,2.7342e-02
0.5412752,2.7517e-02
0.6718616,2.5746e-02
0.8026459,3.0303e-02
0.9423121,2.7747e-02
1.0791923,3.0505e-02
1.2572314,2.8744e-02
1.4015936,2.7870e-02
1.5315661,2.7609e-02
1.6591259,2.8642e-02
1.7891370,3.1262e-02
1.9233658,2.8895e-02
2.0488780,2.7996e-02
2.1753035,2.9425e-02
2.2933013,2.7560e-02
2.4101710,2.6924e-02
2.5206034,2.5892e-02
2.6287403,2.7072e-02
2.7420845,2.5211e-02
2.8481374,2.6848e-02
2.9640183,2.8970e-02
3.0787902,4.1614e-02
3.2073586,2.7042e-02
3.3217721,2.8889e-02
3.4366307,2.8950e-02
3.5571742,2.9297e-02
3.6721208,2.8612e-02
3.7876887,2.9201e-02
3.9038053,2.8039e-02
4.0172148,2.9356e-02
4.1335020,2.7863e-02
4.2706056,2.0956e-02
4.3779550,2.6657e-02
4.4872479,2.4794e-02
4.5909977,2.4462e-02
4.6965780,2.4822e-02
4.8028922,2.3219e-02
4.9033680,2.6963e-02
5.0075889,2.3349e-02
5.1125803,2.5458e-02
5.2199564,2.5173e-02
5.3268418,2.5709e-02
5.4335408,2.6326e-02
5.5438938,2.6021e-02
5.6495543,2.4400e-02
5.7572942,2.4982e-02
5.8609004,2.6415e-02
5.9696217,2.5245e-02
6.0796189,2.7884e-02
6.2074304,2.8558e-02
6.3223414,2.5108e-02
6.4267426,2.6818e-02
6.5319328,2.5575e-02
6.6364384,2.5927e-02
6.7438273,2.6105e-02
6.8508272,2.5728e-02
6.9591022,2.5724e-02
7.0688391,2.6037e-02
7.1852298,2.6599e-02
7.3235455,2.6482e-02
7.4433751,2.6720e-02
7.5505023,2.6467e-02
7.6574016,2.8168e-02
7.7677064,2.6202e-02
7.8779407,2.6153e-02
7.9848228,2.7202e-02
8.0952129,2.6233e-02
8.2082291,2.5842e-02
8.3177824,4.5848e-02
8.4488859,2.6025e-02
8.5612822,2.6305e-02
8.6746082,2.7728e-02
8.7926044,2.6717e-02
8.9053698,2.8269e-02
9.0226679,2.8375e-02
9.1362085,4.0547e-02
9.2626247,2.6817e-02
9.3760729,2.8175e-02
9.4903221,2.7010e-02
9.6024723,2.9492e-02
9.7463598,2.6184e-02
9.8569498,2.6468e-02
9.9688797,2.7021e-02
10.0861444,2.6994e-02
10.2031088,2.7945e-02
10.3378410,2.5712e-02
10.4457884,2.6179e-02
10.5575542,2.8947e-02
10.6749353,2.7526e-02
10.7933731,2.7641e-02
10.9064121,2.7089e-02
11.0178375,2.7249e-02
11.1319952,2.7662e-02
11.2468634,2.7663e-02
11.3593416,2.7695e-02
11.4725103,2.6117e-02
11.5820465,2.5384e-02
11.6910057,2.6362e-02
11.7987185,2.5553e-02
11.9089842,2.6111e-02
12.0163097,2.6255e-02
12.1293364,2.5089e-02
12.2477913,2.6795e-02
12.3606167,2.5311e-02
12.4642696,2.6044e-02
12.5730009,2.6505e-02
12.6853046,2.6051e-02
12.7919016,2.6771e-02
12.9014406,2.7145e-02
13.0141630,2.7451e-02
13.1317387,2.6758e-02
13.2428503,2.5587e-02
