time,runtime
0.0000023,7.0716e-02
0.1438091,6.0891e-02
0.2732070,5.7182e-02
0.4013655,5.7908e-02
0.5299497,7.0205e-02
0.6848012,5.0709e-02
0.9830304,1.1702e-01
1.1886522,6.8744e-02
1.3465348,7.7383e-02
1.5169406,4.5094e-02
1.6415477,4.3411e-02
1.7867121,5.4163e-02
1.9296498,4.3441e-02
2.0449886,5.2183e-02
2.1750586,4.8815e-02
2.3020315,4.7768e-02
2.4301205,4.6896e-02
2.5540099,5.1318e-02
2.6865973,4.6419e-02
2.8137133,4.8527e-02
2.9628546,4.5309e-02
3.0873892,5.5270e-02
3.2162726,5.2745e-02
3.3404047,5.0690e-02
3.4664884,5.1096e-02
3.5927978,5.0521e-02
3.7154019,5.0992e-02
3.8436685,4.6902e-02
3.9681456,4.7179e-02
4.1224341,4.6133e-02
4.2484579,6.1091e-02
4.3818059,4.7862e-02
4.5034175,4.6375e-02
4.6248541,4.7934e-02
4.7463088,4.4821e-02
4.8696704,4.6429e-02
4.9956493,4.6545e-02
5.1186686,4.6911e-02
5.2425857,4.3950e-02
5.3644190,4.6306e-02
5.4900322,4.7735e-02
5.6180558,4.5422e-02
5.7428155,4.5069e-02
5.8699498,4.6841e-02
6.0124598,4.6055e-02
6.1354451,5.1169e-02
6.2647605,4.5835e-02
6.3947001,4.3733e-02
6.5194578,4.9313e-02
6.6485229,4.8619e-02
6.7762971,4.5425e-02
6.8997903,4.9502e-02
7.0241928,4.6747e-02
7.1595092,5.6591e-02
7.2899299,6.2334e-02
7.4246073,4.9196e-02
7.5461431,4.5129e-02
7.6660562,4.9494e-02
7.7913461,4.9139e-02
7.9162841,4.9530e-02
8.0474300,4.7006e-02
8.1736336,5.0412e-02
8.3052225,4.6379e-02
8.4304466,4.9713e-02
8.5574408,4.8694e-02
8.6842651,4.7385e-02
8.8104372,4.8393e-02
8.9365416,4.8632e-02
9.0771856,4.9506e-02
9.2042236,4.8654e-02
9.3307266,4.8981e-02
9.4571142,4.8012e-02
9.5811882,4.7558e-02
9.7092905,4.9828e-02
9.8351011,4.9747e-02
9.9670534,4.9707e-02
10.0942755,4.5457e-02
10.2377586,4.7187e-02
10.3606005,6.2752e-02
10.5019608,4.9912e-02
10.6289911,4.8307e-02
10.7572250,4.6312e-02
10.8818512,4.6666e-02
11.0060673,4.7847e-02
11.1301432,4.7747e-02
11.2573977,4.6718e-02
11.3829508,5.0177e-02
11.5080099,4.8933e-02
11.6375475,4.7015e-02
11.7628317,4.8308e-02
11.8847227,5.0867e-02
12.0092993,4.7794e-02
12.1497030,5.1265e-02
12.2842417,5.1027e-02
12.4141455,5.3922e-02
12.5480680,5.2456e-02
12.6797609,4.8224e-02
12.8063078,5.2394e-02
12.9385653,5.2197e-02
13.0771275,4.8820e-02
13.2223749,4.7428e-02
13.3463640,4.8970e-02
13.4697237,4.5779e-02
13.5925503,4.4816e-02
13.7148323,4.6833e-02
13.8439503,4.9125e-02
13.9710970,4.6152e-02
14.0952415,4.9772e-02
14.2212667,4.7545e-02
14.3444643,4.7992e-02
14.4706469,5.0335e-02
14.5996161,4.9328e-02
14.7321100,4.7095e-02
14.8573103,4.8470e-02
14.9855022,4.9147e-02
15.1257019,4.7354e-02
15.2512741,4.7277e-02
15.3782339,4.7307e-02
15.5060635,5.2539e-02
15.6391191,4.8066e-02
15.7688866,4.7655e-02
15.8973083,4.7598e-02
16.0257816,4.5684e-02
16.1464863,4.5529e-02
16.2856350,4.8364e-02
16.4110432,6.4440e-02
16.5531540,4.6376e-02
16.6740952,4.6435e-02
16.7963734,4.4914e-02
16.9176178,4.9067e-02
17.0478973,4.7479e-02
17.1777821,5.0256e-02
17.3066788,4.6871e-02
17.4318676,4.9284e-02
17.5601654,4.8910e-02
17.6871490,4.6731e-02
17.8131599,5.0694e-02
17.9406185,4.7817e-02
18.0669270,5.2020e-02
18.2107239,4.6919e-02
18.3391037,4.6398e-02
18.4652119,4.8504e-02
18.5942841,4.8167e-02
18.7248840,4.8039e-02
18.8527565,4.8130e-02
18.9811821,5.6637e-02
19.1209450,5.3290e-02
19.2856998,4.8147e-02
19.4129848,4.7291e-02
19.5389347,4.8430e-02
19.6661301,4.8743e-02
19.7915936,5.0587e-02
19.9213066,4.9292e-02
20.0520935,5.1492e-02
20.1833668,5.0184e-02
20.3107204,4.9971e-02
20.4405632,4.8616e-02
20.5726032,4.7636e-02
20.6979599,4.6843e-02
20.8272343,5.0381e-02
20.9559174,4.7692e-02
21.0837650,4.9687e-02
21.2292767,4.6758e-02
21.3568993,4.8165e-02
21.4865303,4.8391e-02
21.6140633,4.8336e-02
21.7474689,4.8631e-02
21.8774147,4.6837e-02
22.0034008,4.7694e-02
22.1312771,4.6791e-02
22.2893009,5.0849e-02
22.4187870,4.8498e-02
22.5431442,4.9033e-02
22.6687393,5.0526e-02
22.7978897,5.2323e-02
22.9288921,4.6416e-02
23.0524254,4.7696e-02
23.1781826,4.8840e-02
23.3161678,4.7851e-02
23.4842930,4.9774e-02
23.6129608,4.6605e-02
23.7358475,5.0268e-02
23.8671169,5.4297e-02
24.0022049,4.9339e-02
24.1331081,4.7528e-02
24.2780018,4.6492e-02
24.4059925,4.7072e-02
24.5373516,4.7878e-02
24.6691456,4.6667e-02
24.7988338,4.6601e-02
24.9279327,4.8203e-02
25.0576744,5.0006e-02
25.1915588,4.8725e-02
25.3484898,5.2001e-02
25.4773960,4.7831e-02
25.6029415,6.2221e-02
25.7448692,4.5641e-02
25.8692093,4.8169e-02
25.9966640,6.2741e-02
26.1412315,4.6421e-02
