time,runtime
0.1000062,2.9733e-02
0.2337611,2.6766e-02
0.3606266,2.7628e-02
0.4888018,2.7221e-02
0.6250457,2.9209e-02
0.7605488,3.5740e-02
1.1355107,3.3796e-02
1.2875421,3.4642e-02
1.4540393,3.0142e-02
1.5929892,3.0636e-02
1.7151506,3.1446e-02
1.8710382,3.4698e-02
2.0005939,2.9520e-02
2.1274471,3.1418e-02
2.2550216,3.0332e-02
2.3793461,3.3530e-02
2.5063343,3.1081e-02
2.6368582,3.1519e-02
2.7614708,3.3360e-02
2.8931243,3.1921e-02
3.0414777,3.0002e-02
3.1723652,3.0013e-02
3.2960525,3.0916e-02
3.4190259,3.0380e-02
3.5467157,3.0293e-02
3.6709464,3.0807e-02
3.7958772,3.3510e-02
3.9196584,3.3483e-02
4.0438318,6.4547e-02
4.2020755,3.1526e-02
4.3382893,2.8349e-02
4.4592791,2.9544e-02
4.5804033,3.0751e-02
4.7039952,2.8234e-02
4.8221884,3.1773e-02
4.9479480,3.1170e-02
5.0731850,2.9851e-02
5.1977882,2.9135e-02
5.3176618,2.9879e-02
5.4426117,3.0930e-02
5.5722642,3.1529e-02
5.6956677,3.1479e-02
5.8203154,3.1246e-02
5.9486804,4.6615e-02
6.0898409,3.1312e-02
6.2179093,3.2172e-02
6.3411250,3.7068e-02
6.4686780,3.4031e-02
6.5992875,3.4794e-02
6.7268848,3.4312e-02
6.8524055,3.2763e-02
6.9755049,3.2617e-02
7.0974760,4.7123e-02
7.2452502,2.8870e-02
7.3800020,2.8878e-02
7.5005159,2.9965e-02
7.6202517,2.8480e-02
7.7442803,2.9827e-02
7.8691678,2.9669e-02
7.9965882,3.1387e-02
8.1229467,2.8875e-02
8.2592411,2.9162e-02
8.3817968,3.0405e-02
8.5111399,2.9627e-02
8.6356049,2.8802e-02
8.7613831,2.9183e-02
8.8895493,3.0273e-02
9.0295801,3.1043e-02
9.1565247,3.1777e-02
9.2837791,3.0877e-02
9.4106264,3.0344e-02
9.5358467,2.9294e-02
9.6611891,3.1175e-02
9.7897348,3.0488e-02
9.9190426,3.1572e-02
10.0475941,3.0038e-02
10.1906204,2.9585e-02
10.3138866,2.9318e-02
10.4535275,3.0220e-02
10.5808163,2.8364e-02
10.7067337,3.2646e-02
10.8343935,3.1114e-02
10.9580479,3.0216e-02
11.0844946,2.9790e-02
11.2081442,3.0442e-02
11.3335104,3.0639e-02
11.4617043,3.0545e-02
11.5864973,3.1453e-02
11.7148561,3.1511e-02
11.8397541,3.1111e-02
11.9638510,3.1372e-02
12.1002455,2.9443e-02
12.2302389,3.2369e-02
12.3630285,3.2128e-02
12.4986763,2.9812e-02
12.6306133,2.9517e-02
12.7587023,2.9848e-02
12.8897924,2.9875e-02
13.0260515,3.3429e-02
13.1586428,4.7594e-02
13.3003273,2.8465e-02
13.4244003,2.9220e-02
13.5477695,2.9542e-02
13.6683674,2.9742e-02
13.7997570,2.9903e-02
13.9239912,3.0834e-02
14.0472469,3.1010e-02
14.1757460,3.1812e-02
14.2992926,2.9612e-02
14.4243784,3.0076e-02
14.5533333,3.0654e-02
14.6827545,3.0878e-02
14.8110399,3.0020e-02
14.9377174,2.9531e-02
15.0649614,3.0989e-02
15.2061481,3.0796e-02
15.3325806,2.9341e-02
15.4606504,2.9725e-02
15.5936670,2.9428e-02
15.7211704,2.9657e-02
15.8511086,2.8670e-02
15.9769392,2.8939e-02
16.1027470,2.7255e-02
16.2386436,3.2282e-02
16.3627586,3.2690e-02
16.5056458,3.1341e-02
16.6270847,3.2127e-02
16.7493839,3.2277e-02
16.8697510,3.1563e-02
16.9965782,3.2767e-02
17.1249409,3.2230e-02
17.2568054,3.5289e-02
17.3827858,3.2227e-02
17.5109787,3.3874e-02
17.6393814,3.2837e-02
17.7640038,3.3223e-02
17.8925953,3.2387e-02
18.0174770,3.3467e-02
18.1631737,2.8453e-02
18.2880154,3.0235e-02
18.4154911,3.0146e-02
18.5434856,2.9881e-02
18.6749878,2.9518e-02
18.8027191,3.0304e-02
18.9318790,2.9411e-02
19.0714626,3.1582e-02
19.2070217,6.3162e-02
19.3667870,3.0298e-02
19.4935818,2.8563e-02
19.6207066,2.7298e-02
19.7468262,2.8820e-02
19.8760471,2.9181e-02
20.0047626,3.0402e-02
20.1354828,3.0054e-02
20.2668018,2.7467e-02
20.3943806,2.8098e-02
20.5235996,2.9793e-02
20.6550045,2.7066e-02
