time,runtime
0.0544597,3.3941e+00
3.4486072,5.0117e-01
3.9497759,8.2110e-01
4.7708764,9.8254e-01
5.7534146,6.6850e-01
6.4219179,6.4417e-01
7.0660901,1.2195e+00
8.2855902,7.3593e-01
9.0215273,8.1640e-01
9.8379297,1.2835e+00
11.1214495,5.7388e-01
11.6953335,6.5524e-01
12.3505716,1.1666e+00
13.5172119,9.1786e-01
14.4350767,6.5473e-01
15.0898113,6.5809e-01
15.7479086,1.4034e+00
17.1512756,6.7269e-01
17.8239670,7.9821e-01
18.6221752,2.4224e+00
21.0445423,7.7362e-01
21.8181591,8.2118e-01
22.6393394,4.9634e+00
27.6027794,8.8809e-01
28.4908752,1.2113e+00
29.7021904,1.0338e+00
30.7359600,1.0000e+00
31.7359924,1.2992e+00
33.0352020,8.6025e-01
33.8954544,7.6404e-01
34.6594963,2.2443e+00
36.9037552,9.0410e-01
37.8078613,1.6654e+00
39.4732666,7.3174e-01
40.2050133,8.5912e-01
41.0641327,1.5745e+00
42.6386223,8.3209e-01
43.4707146,9.2454e-01
44.3952599,1.3925e+00
45.7877388,5.7302e-01
46.3607597,7.1523e-01
47.0759926,1.2516e+00
48.3275452,7.3704e-01
49.0645905,7.3583e-01
49.8004227,1.8882e+00
51.6886406,7.2627e-01
52.4149094,8.1203e-01
53.2269402,1.7785e+00
55.0054588,8.5953e-01
55.8649902,8.2563e-01
56.6906242,4.8487e+00
61.5393524,1.4873e+00
63.0266304,1.1321e+00
64.1587372,7.6546e-01
64.9241943,9.0034e-01
65.8245392,1.4775e+00
67.3020630,7.2939e-01
68.0314636,1.3155e+00
69.3470154,8.1010e-01
70.1571121,8.8149e-01
71.0386047,1.1245e+00
72.1631165,8.1638e-01
72.9794998,7.9175e-01
73.7712479,1.3989e+00
75.1701355,8.1709e-01
75.9872284,7.5804e-01
76.7452774,1.4405e+00
78.1857758,5.9820e-01
78.7839813,9.1328e-01
79.6972656,1.1628e+00
80.8600845,7.7038e-01
81.6304626,7.3584e-01
82.3663025,1.0848e+00
83.4510651,9.3962e-01
84.3906860,8.2198e-01
85.2126694,1.6678e+00
86.8804932,8.1852e-01
87.6990128,7.3154e-01
88.4305649,1.1744e+00
89.6049423,9.3556e-01
90.5405045,8.1590e-01
91.3564072,4.5477e+00
95.9040985,7.4272e-01
96.6468201,1.3092e+00
97.9560471,1.5236e+00
99.4796143,7.5442e-01
100.2340393,1.3494e+00
101.5834198,1.0734e+00
102.6568069,9.1735e-01
103.5741501,1.0116e+00
104.5857315,7.2603e-01
105.3117676,8.7730e-01
106.1890717,1.4611e+00
107.6501617,7.2970e-01
108.3798599,8.9058e-01
109.2704468,1.2532e+00
110.5236206,7.2209e-01
111.2457047,8.8716e-01
112.1328659,1.3614e+00
113.4942780,8.1602e-01
114.3103027,1.5982e+00
115.9084778,7.6751e-01
116.6759949,7.8157e-01
117.4575653,1.5948e+00
119.0523758,9.9626e-01
120.0486374,8.9146e-01
120.9401016,1.2819e+00
122.2219543,7.7566e-01
122.9976120,8.7817e-01
123.8757782,1.7056e+00
125.5813522,9.7791e-01
126.5592651,9.0621e-01
127.4654770,4.8226e+00
132.2880859,9.1478e-01
133.2028656,7.0716e-01
133.9100342,1.4936e+00
135.4035797,8.1114e-01
136.2147217,8.2901e-01
137.0437317,1.3191e+00
138.3627930,8.7279e-01
139.2355804,9.8628e-01
140.2218628,1.4889e+00
141.7107544,9.7509e-01
142.6858368,1.6011e+00
144.2869263,8.8054e-01
145.1674652,7.5694e-01
145.9243927,2.0850e+00
148.0094299,8.4126e-01
148.8506927,6.8535e-01
149.5360413,1.5152e+00
151.0512390,8.0359e-01
151.8548431,8.2911e-01
152.6839447,7.2506e-01
153.4090118,1.5309e+00
154.9398804,8.6339e-01
155.8032837,8.7896e-01
156.6822357,1.6745e+00
158.3567352,1.0169e+00
159.3736115,1.4238e+00
160.7973938,8.1333e-01
161.6107178,2.9124e+00
164.5231476,3.4479e+00
167.9710236,7.0693e-01
168.6779633,9.0005e-01
169.5780029,1.4512e+00
171.0291901,9.9604e-01
172.0252228,1.6404e+00
173.6656494,8.5033e-01
174.5159760,8.4142e-01
175.3573914,1.4346e+00
176.7920227,8.9571e-01
177.6877289,1.0053e+00
178.6930237,1.6993e+00
180.3923340,8.6343e-01
181.2557678,6.9889e-01
181.9546509,1.4822e+00
183.4368896,8.0988e-01
184.2467804,8.1918e-01
185.0659637,1.3333e+00
186.3992310,8.8429e-01
187.2835388,8.9135e-01
188.1748810,1.4644e+00
189.6392822,9.7924e-01
190.6185303,9.3287e-01
191.5513916,1.2093e+00
192.7606964,8.0918e-01
193.5698853,7.6235e-01
194.3322296,2.3053e+00
196.6375732,2.7533e+00
199.3908844,2.8805e+00
202.2713928,8.9503e-01
203.1664276,9.5412e-01
204.1205444,1.4518e+00
205.5723114,8.7257e-01
206.4448853,9.0613e-01
207.3510132,1.3982e+00
208.7492065,6.5645e-01
209.4056549,8.6922e-01
210.2748718,2.0158e+00
212.2906647,9.8824e-01
213.2789154,1.2920e+00
214.5709076,7.8671e-01
215.3576202,6.8127e-01
216.0388947,1.4058e+00
217.4447174,9.2981e-01
218.3745270,7.3491e-01
219.1094513,1.4729e+00
220.5823364,7.0362e-01
221.2859497,8.5487e-01
222.1408234,9.0993e-01
223.0507660,2.0397e+00
225.0904846,7.3307e-01
225.8235626,6.0525e-01
226.4288025,1.5706e+00
227.9994049,7.8124e-01
228.7806396,9.3190e-01
229.7125549,1.5127e+00
231.2252808,9.0787e-01
232.1331635,3.6259e+00
235.7590179,9.8505e-01
236.7440643,8.8222e-01
237.6262817,1.5089e+00
239.1351929,9.6059e-01
240.0957947,8.9845e-01
240.9942474,1.3540e+00
242.3482513,7.6831e-01
243.1165619,8.5909e-01
243.9756622,1.5219e+00
245.4975891,9.6040e-01
246.4579926,9.9779e-01
247.4557800,1.3261e+00
248.7818756,8.0517e-01
249.5870514,7.5251e-01
250.3395538,2.1228e+00
252.4623260,7.7998e-01
253.2423096,8.9351e-01
254.1358185,1.6971e+00
255.8328705,7.9956e-01
256.6324463,7.0644e-01
257.3388672,1.5844e+00
258.9232788,7.9432e-01
259.7175903,7.3429e-01
260.4518738,1.5902e+00
262.0420227,8.1566e-01
262.8576965,7.9396e-01
263.6516724,1.4634e+00
265.1150208,7.1038e-01
265.8254089,7.9094e-01
266.6163635,6.8664e+00
273.4827576,5.6673e-01
274.0494995,1.0604e+00
275.1098633,2.1081e+00
277.2180176,6.7038e-01
277.8883972,1.4807e+00
279.3690491,8.7673e-01
280.2457886,1.5973e+00
281.8430481,1.1603e+00
283.0033569,1.0914e+00
284.0947266,1.8425e+00
285.9373779,1.0023e+00
286.9396973,9.3261e-01
287.8723145,9.1772e-01
288.7900391,2.1236e+00
290.9136353,8.4736e-01
291.7610168,8.9549e-01
292.6564941,8.8003e-01
293.5365295,8.9243e-01
294.4289551,2.0612e+00
296.4901733,9.5402e-01
297.4441833,7.2111e-01
298.1653137,9.5631e-01
299.1216125,2.2894e+00
301.4110107,8.4830e-01
302.2593079,7.2177e+00
309.4770203,8.1288e-01
310.2899170,8.6991e-01
311.1598511,8.4428e-01
312.0041199,8.6102e-01
312.8651428,1.4909e+00
314.3560486,9.6054e-01
315.3165894,9.1804e-01
316.2346191,9.3440e-01
317.1690063,9.0791e-01
318.0769348,1.8644e+00
319.9413147,8.3148e-01
320.7727966,7.9449e-01
321.5672913,9.5787e-01
322.5251770,1.8725e+00
324.3976440,8.5326e-01
325.2509155,8.4577e-01
326.0966797,8.2615e-01
326.9228210,1.5562e+00
328.4790344,1.0196e+00
329.4986267,8.6405e-01
330.3627014,1.7230e+00
332.0856628,7.6912e-01
332.8547974,7.7891e-01
333.6336975,1.5532e+00
335.1868896,8.1119e-01
335.9980774,9.4044e-01
336.9385071,4.2881e+00
341.2266541,2.0491e+00
343.2757263,2.0683e+00
345.3440857,1.3303e+00
346.6743469,8.4840e-01
347.5227661,1.0211e+00
348.5438843,1.4463e+00
349.9902344,8.3298e-01
350.8232117,8.8054e-01
351.7037659,2.4666e+00
354.1703491,9.2172e-01
355.0920715,2.3113e+00
357.4033508,8.6171e-01
358.2650757,7.6495e-01
