time,runtime
1.5804428,9.2744e-01
2.9545534,4.0539e-01
3.7696469,3.6106e-01
4.7361484,3.9884e+00
9.2534199,2.5893e-01
11.0961084,8.2235e+00
20.4701481,2.4372e-01
21.7622089,3.3900e-01
25.1273403,4.4797e-01
26.5045624,2.8528e-01
27.6158314,2.9908e-01
30.2398949,3.9479e-01
31.1281223,3.8750e-01
32.3152962,4.1179e-01
35.9756584,3.6211e-01
36.9747467,2.8146e-01
40.9673004,4.0143e-01
42.0338173,3.1573e-01
45.4198380,5.5594e-01
46.6677017,7.3513e+00
55.0200920,2.4949e-01
58.1461372,4.2428e-01
59.3638191,1.4671e+00
61.8017159,2.8549e-01
62.5026131,2.9826e-01
64.5404587,2.4882e-01
65.4630432,2.7152e-01
68.0235748,3.5805e-01
69.1096497,3.5750e-01
69.8947220,2.3069e+00
72.6379852,3.7346e-01
75.7151718,3.7732e-01
76.4768295,2.4068e-01
79.6083908,2.6068e-01
87.8281631,2.4436e-01
88.9569016,1.9357e+00
91.6910934,3.3230e-01
94.7417297,2.8754e-01
95.6880112,1.4756e+00
97.9647369,1.6619e-01
98.4523315,4.4544e-01
100.7700958,4.0629e-01
101.9745255,4.6353e-01
104.5654984,3.3905e-01
105.8804398,2.8641e-01
108.4520111,3.4525e-01
109.1327896,7.8552e-01
112.1682739,3.9830e-01
113.4574203,2.5867e+00
116.6748047,5.5969e-01
118.3636017,9.7392e+00
128.6459503,3.8823e-01
131.3895569,2.9327e-01
132.3975525,6.2262e-01
134.8246155,2.8234e-01
135.9613037,6.3620e-01
138.5847473,3.1259e-01
139.5219269,1.3263e+00
141.7116241,2.6083e-01
142.6968689,3.6275e-01
145.0444183,3.2622e-01
145.6054077,4.3584e-01
146.7801208,1.9915e+00
149.7487793,5.2961e-01
162.7857819,2.7129e-01
163.5394287,3.1327e-01
165.8531647,1.0343e-01
166.7023468,3.3376e-01
169.0565796,3.1801e-01
170.3085785,4.0936e-01
172.9060211,4.2203e-01
174.0408478,2.6695e-01
177.2351685,2.6322e-01
178.2789612,2.3401e-01
178.9673309,2.5359e-01
181.2710571,3.5397e-01
182.4386749,3.0667e-01
185.0081329,5.4810e-01
186.3848267,4.0080e-01
188.9430542,4.5427e-01
189.8422241,2.6392e-01
190.8275909,3.1900e+00
194.8945312,2.7445e-01
207.6913300,3.4151e-01
208.5091400,9.4088e-01
209.9268951,4.6904e-01
211.1130829,4.1609e-01
213.4113770,2.9336e-01
214.4736023,2.3698e-01
217.3485260,5.0473e-01
218.7525024,4.5926e-01
221.1763000,4.4866e-01
222.2291870,3.1722e-01
223.3350220,3.0139e-01
225.7134094,7.1113e-01
227.3462830,1.4624e+00
229.3816071,4.3859e-01
230.5517578,3.0912e-01
231.3531799,2.5109e-01
239.6960602,1.4872e-01
242.5656891,5.9842e-01
243.8088379,1.8945e+00
246.4323273,3.5546e-01
249.3683777,3.3141e-01
252.0644073,4.7980e-01
253.2943420,3.9318e-01
256.2181702,5.2027e-01
257.2887573,2.6330e+00
260.3252563,2.9430e-01
263.6341858,8.5169e-01
265.1337585,2.6840e+00
268.2852478,3.1962e-01
276.9085693,2.4272e-01
277.6164246,1.3423e+00
279.4482117,2.5075e-01
280.3668518,1.3505e+00
282.5759583,5.5470e-01
286.1924744,3.2221e-01
287.2673950,1.2307e-01
289.2274475,3.4004e-01
290.2145996,2.4709e-01
292.2471619,2.5992e-01
293.0698242,2.5970e-01
295.8504639,4.8682e-01
296.7356262,3.7329e-01
299.9729614,3.5786e-01
301.1932678,2.5956e-01
303.5942078,2.8617e-01
312.9670715,1.6976e-01
314.0527344,2.5581e-01
315.0842896,4.0411e-01
318.3561096,3.0753e-01
319.6434326,2.2688e+00
322.8258362,3.0377e-01
325.4872131,4.5306e-01
327.7733765,3.1447e-01
328.7750244,5.5699e-01
331.4101868,3.4931e-01
332.4566650,1.7492e+00
334.9317322,3.8962e-01
338.0482788,3.5900e-01
348.6065674,3.7677e-01
349.7379150,1.7007e+00
352.1467285,2.1411e-01
