time,runtime
0.0000030,2.8312e-01
3.0727479,3.2231e-01
4.2265325,9.4352e+00
15.0237331,2.9757e-01
16.0718822,1.3248e+00
18.0440025,5.8763e-01
20.7975597,1.0108e-02
21.4154282,6.7006e-01
23.5073795,2.3966e-01
24.6780510,6.8941e-01
26.7842083,7.1603e-02
27.5885086,5.3196e-01
28.8175697,4.5690e-01
32.3134613,6.9629e-01
33.8719635,1.5796e+00
37.0241394,5.3407e-01
38.1250343,2.2267e-01
49.0182838,9.2471e-01
52.1152039,7.7899e-01
55.3453636,4.7709e-01
56.3451271,3.4307e-01
59.4154396,4.4666e-01
62.2769470,3.8071e-01
63.2986031,1.9832e+00
65.9439545,9.9260e-02
68.2313690,4.9103e-01
69.4080276,1.7631e+00
71.9001541,3.8731e-01
74.7839890,3.6101e-01
83.9932556,1.0416e+00
85.8325043,3.5890e-01
88.0919418,4.8677e-01
89.3592529,5.8946e-01
91.9947815,3.8443e-01
93.0131683,1.8685e+00
95.3711624,7.8336e-02
96.0005341,8.3780e-01
98.8879242,6.7590e-01
100.5000992,1.4302e+00
102.7684555,7.6777e-01
105.3966446,4.6285e-01
106.6938324,5.2614e-01
109.4537201,6.3160e-01
119.3200989,3.0822e-01
120.8999481,6.5126e-01
122.3550339,5.2164e-01
123.5414352,2.9918e-01
124.7347412,3.5543e+00
129.2711945,5.6721e-02
130.0767059,3.9316e-02
131.7643890,3.4665e-01
132.8265228,4.0523e-01
134.0320587,4.2105e-01
135.1038818,5.0861e-02
139.1343689,9.1848e-01
140.9281769,4.2486e-01
142.2958832,2.8205e+00
171.5458374,1.4765e+00
173.7033234,2.1283e-01
174.7890930,5.6377e-01
177.3988800,4.1760e-01
178.5338287,3.5484e-01
193.0372162,3.4286e-01
195.9973602,4.5300e-01
197.3545837,3.3337e-01
201.2365723,2.3760e-01
201.8729553,1.0762e-01
203.7399292,2.4619e-01
204.8186646,2.2876e+00
208.2434540,5.2326e-01
211.4011993,5.6321e-01
212.6101990,3.8973e-02
221.2903595,3.8365e-01
223.1039734,4.1675e-01
225.4091034,2.9136e-01
226.3208771,3.4489e-01
229.3232117,3.2137e-01
230.4788055,4.4061e-01
234.2687683,3.4621e-01
236.6901855,3.2491e-01
237.7039185,2.3463e+00
240.6926575,1.7974e-02
241.6982269,3.5097e+00
247.5160980,5.7584e-02
260.1124268,6.3715e-01
262.2858582,3.9041e-01
263.2308044,3.8829e-01
265.8877869,1.3451e+00
267.9497681,1.9403e-01
270.1964722,4.1141e-01
271.3799133,1.7457e+00
274.2536621,3.3077e-01
277.4938354,1.9728e-01
279.4102783,2.4881e-02
280.9075317,5.1452e-01
282.5151062,2.5510e-01
293.4330444,3.8880e-01
294.3863525,1.6802e+00
297.1592407,3.7956e-01
301.0496216,4.0122e-01
302.0467529,2.3581e+00
305.1344910,4.1463e-01
307.7869263,5.6585e-01
308.9472046,4.3616e-01
309.9737549,9.6603e-02
313.3769836,3.4692e-02
314.2630615,2.6528e-01
315.1181641,1.2734e-01
317.8116760,4.9467e-02
318.6152039,3.4978e-02
328.7263489,2.9487e-01
329.6656494,3.1361e-01
333.3510742,4.0424e-01
334.4426575,2.8576e-01
337.1445007,4.6036e-01
338.2187805,3.0607e-01
341.2434387,4.5929e-01
342.4491272,2.2885e-01
345.0270081,4.4013e-01
346.1920776,2.5593e-01
348.6765747,5.8491e-02
349.3925171,3.2378e-01
350.2801208,5.1351e-01
354.3821716,1.0563e+01
365.6112366,3.7928e-01
368.1328430,3.0960e-01
368.9224548,1.1836e-01
369.7041321,2.1209e-01
373.7795105,6.2927e-01
376.6131592,2.0485e-01
377.5837708,2.9319e+00
381.1759644,1.9731e+00
384.0433044,3.9248e-01
387.1041870,5.6383e-01
388.3973389,1.6236e+00
399.9155884,3.7223e-01
401.6630554,3.7064e-01
402.7646484,4.1816e-01
405.3494568,3.6344e-01
406.0007324,1.8531e-01
406.4847107,3.7223e-01
407.1684265,8.4644e-02
407.4638977,7.8740e-03
407.5725708,1.0774e+00
