time,runtime
0.3026591,2.1191e+00
3.4117236,2.3947e-01
13.6789293,3.7235e-01
15.3472328,4.3241e-01
17.4137459,2.6494e-01
18.6514111,1.6834e+00
20.8262711,2.4479e-01
22.0929604,2.6886e-01
23.7725887,5.2645e-01
25.3793488,2.9541e-01
26.8615723,4.6041e-01
28.1332893,4.3316e-01
29.3016663,2.5556e+00
33.0267677,4.1085e-01
35.4662628,4.4051e-01
37.5796890,2.5963e-01
38.3693771,1.0084e+01
49.9817390,1.8854e+00
52.9056244,2.4211e-01
55.8541527,2.9589e-01
56.7093315,2.4077e+00
59.8844109,3.7172e-01
62.6692352,3.6375e-01
65.2963943,3.0150e-01
66.0595322,3.2125e-01
68.7413559,3.8396e-01
71.2017136,3.6852e-01
72.3235245,2.1303e+00
75.1636810,8.4593e+00
85.0628891,4.2196e-01
86.1994476,1.4385e+00
88.5984497,4.8195e-01
89.9835205,1.7015e+00
92.3909225,2.7341e-01
94.8918610,3.3331e-01
95.4509735,3.0300e-01
97.9321671,7.0090e-01
99.5845642,3.5623e-01
101.9602966,3.9517e-01
103.5531845,4.5822e-01
105.8882141,4.0363e-01
107.2390137,3.3373e-01
110.1013412,3.5918e-01
119.6457214,9.1845e-01
121.5724106,4.7528e-01
122.8899612,3.1938e-01
123.8732147,4.5020e-01
128.3170471,5.9160e-01
129.3499298,3.3846e-01
130.1403809,1.1860e+00
132.1356812,3.5438e-01
133.2444000,3.6525e-01
134.4738159,2.7318e-01
135.1833344,3.6275e+00
140.1068115,4.7272e-01
141.3873291,4.7540e-01
145.1409912,6.8273e-01
173.0305634,4.7456e-01
173.9207764,4.8978e-01
175.3845520,1.7397e+00
177.8394165,4.6835e-01
178.9128265,1.3824e+01
193.3820496,3.1587e-01
196.4750519,5.4568e-01
200.4114990,5.6345e-01
201.5036774,2.8026e-01
203.0564270,3.7546e-01
204.0412903,4.1742e-01
207.1179504,3.3535e-01
208.7796936,3.6926e-01
211.9917908,3.3283e-01
212.6602478,6.0523e+00
221.6874237,2.5166e-01
223.5426788,7.9600e-01
225.7334137,3.3712e-01
226.6842651,1.9996e+00
229.6631927,5.0574e-01
230.9374390,3.1494e+00
234.6212311,3.7480e-01
237.0342407,3.2614e-01
240.0630646,3.0463e-01
240.7319641,6.7594e-01
245.2235413,3.5589e-01
247.6401215,6.1722e-01
260.7865906,2.2279e-01
262.6799316,3.2552e-01
263.6304321,2.4867e-01
267.2540283,3.8736e-01
268.1699219,1.7581e+00
270.6230469,4.2364e-01
273.1669922,7.3976e-01
274.6051025,6.1275e-01
277.7079773,2.9532e-01
279.4518433,2.9949e-01
281.4354553,7.2238e-01
282.7846985,9.9575e+00
293.8572388,2.6070e-01
296.0891724,4.7884e-01
297.5505066,4.7197e-01
301.4553528,4.4463e-01
304.4136353,4.1409e-01
305.5659485,1.9356e+00
308.3847351,2.8110e-01
309.3989563,2.5958e-01
310.0883179,2.8339e+00
313.4281311,3.7555e-01
314.5689392,3.6237e-01
315.2812500,1.9434e+00
317.8668823,3.9946e-01
318.6683655,3.3495e-01
329.0370789,2.9577e-01
329.9929199,3.3205e-01
333.7687378,2.3028e-01
334.7430115,3.7508e-01
337.6070251,3.4377e-01
338.5264893,2.3780e+00
341.7224121,4.8536e-01
342.6900024,2.1020e+00
345.4821167,3.4360e-01
346.4632568,1.7822e+00
348.7458801,3.0842e-01
349.7228699,3.5462e-01
350.8061829,2.7971e+00
364.9613953,3.5110e-01
366.0335388,1.9075e+00
368.4664917,1.8093e-01
369.0549316,2.4361e-01
369.9419861,3.5500e+00
374.4477844,1.8388e+00
376.8500061,3.9212e-01
380.5495300,2.8700e-01
383.1795349,5.5227e-01
384.4487305,5.5027e-01
387.7042236,3.7834e-01
390.0364380,9.5380e+00
400.3110657,1.0589e+00
402.0708923,2.6809e-01
403.1990662,3.8600e-01
405.7257385,1.4375e-01
406.1905212,2.5032e-01
406.8609924,2.2074e-01
407.2631226,1.6059e-01
407.4733582,3.7748e-02
408.6607666,7.6590e-02
