time,runtime
0.2831290,1.9529e-02
3.3950582,1.6665e-02
13.6617556,1.7173e-02
15.3213139,2.5919e-02
17.3966465,1.7099e-02
18.6316395,1.9771e-02
20.8076706,1.8600e-02
22.0854912,7.4687e-03
23.7470398,2.5549e-02
25.3674660,1.1883e-02
26.8558178,5.7542e-03
28.1204758,1.2813e-02
29.2744732,2.7192e-02
33.0097504,1.7018e-02
35.4515495,1.4712e-02
37.5582886,2.1401e-02
38.3477097,2.1670e-02
49.9429932,3.8748e-02
52.8941994,1.1424e-02
55.8224602,3.1694e-02
56.6882019,2.1129e-02
59.8621063,2.2302e-02
62.6576576,1.1578e-02
65.2818298,1.4564e-02
66.0432205,1.6311e-02
68.7224121,1.8948e-02
71.1711731,3.0541e-02
72.2874603,3.6063e-02
75.1450043,1.8680e-02
85.0349121,2.7983e-02
86.1914139,8.0319e-03
88.5787125,1.9736e-02
89.9487152,3.4806e-02
92.3792114,1.1713e-02
94.8816605,1.0199e-02
95.4495087,1.4681e-03
96.8383408,1.0938e+00
99.5638275,2.0739e-02
101.9302597,3.0041e-02
103.5362320,1.6953e-02
105.8594971,2.8716e-02
107.2199707,1.9039e-02
110.0853271,1.6016e-02
119.6283264,1.7394e-02
121.5512085,2.1203e-02
122.8766785,1.3280e-02
123.8406219,3.2594e-02
128.2889862,2.8049e-02
129.3279266,2.2010e-02
130.1160278,2.4344e-02
132.1110535,2.4627e-02
133.2317505,1.2647e-02
134.4531097,2.0701e-02
135.1547394,2.8589e-02
140.0528564,5.3966e-02
141.3530426,3.4272e-02
145.1163635,2.4637e-02
173.0223236,8.2398e-03
173.9161530,4.6159e-03
175.3528595,3.1690e-02
177.8164978,2.2919e-02
178.8886719,2.4157e-02
193.3800659,1.9790e-03
196.4503632,2.4681e-02
197.6879578,2.7235e+00
201.4741821,2.9506e-02
201.9805756,1.0759e+00
203.9861145,5.5173e-02
207.1062469,1.1695e-02
208.7667084,1.2992e-02
211.9644012,2.7385e-02
212.6491699,1.1079e-02
221.6740112,1.3413e-02
223.5207367,2.1942e-02
225.7004700,3.2951e-02
226.6657715,1.8498e-02
229.6445770,1.8615e-02
230.9194183,1.8022e-02
234.6149750,6.2456e-03
237.0150909,1.9153e-02
240.0502014,1.2872e-02
240.7106323,2.1336e-02
245.2080078,1.5532e-02
247.5736847,6.6436e-02
260.7495728,3.7004e-02
262.6763000,3.6512e-03
263.6190796,1.1345e-02
267.2328491,2.1182e-02
268.1437988,2.6134e-02
270.6078796,1.5165e-02
273.1255798,4.1424e-02
274.5844421,2.0641e-02
277.6911011,1.6870e-02
279.4351501,1.6683e-02
281.4220581,1.3400e-02
282.7702026,1.4510e-02
293.8218689,3.5383e-02
296.0665894,2.2581e-02
297.5388184,1.1687e-02
301.4508667,4.4938e-03
304.4048462,8.7896e-03
305.5491333,1.6823e-02
308.3527832,3.1976e-02
309.3833618,1.5578e-02
310.0703735,1.7954e-02
313.4116821,1.6440e-02
314.5283508,4.0595e-02
315.2454834,3.5759e-02
317.8611450,5.7374e-03
318.6501770,1.8188e-02
329.0212402,1.5863e-02
329.9792786,1.3650e-02
333.7553406,1.3395e-02
334.7284241,1.4571e-02
337.6048584,2.1582e-03
338.5248413,1.6435e-03
341.7027283,1.9680e-02
342.6779785,1.2002e-02
345.4671631,1.4976e-02
346.4480286,1.5220e-02
348.7350769,1.0807e-02
349.7163086,6.5533e-03
350.7936401,1.2534e-02
364.9450378,1.6341e-02
365.9905396,4.3017e-02
368.4424438,2.4040e-02
369.0408020,1.4117e-02
369.9162292,2.5766e-02
374.4087830,3.8988e-02
376.8179932,3.2005e-02
380.5157166,3.3836e-02
383.1490173,3.0503e-02
384.4357910,1.2928e-02
387.6679993,3.6204e-02
390.0209045,1.5519e-02
400.2878113,2.3242e-02
402.0336914,3.7195e-02
403.1828308,1.6253e-02
405.7129211,1.2823e-02
406.1860657,4.4602e-03
406.8569336,4.0572e-03
407.2530823,1.0041e-02
407.4718018,1.5697e-03
408.6499939,1.0762e-02
