time,runtime
0.0000023,3.2081e-01
0.3208164,3.7756e+00
4.0964470,4.4737e-01
4.5438204,3.9422e-01
4.9380622,3.5269e-01
5.2907519,1.0905e+01
16.1955738,2.5879e-01
16.4543648,6.3735e-01
17.0917149,2.8508e+00
19.9424744,2.5278e-01
20.1952610,3.5717e-01
20.5524330,3.0610e-01
20.8585339,3.8878e-01
21.2473164,4.4289e+00
25.6762524,5.0462e-01
26.1808929,1.4503e-01
26.3259354,2.1709e+00
28.4968052,4.1464e-01
28.9114456,4.1472e-01
29.3261681,3.1863e+00
32.5125198,3.9123e-01
32.9037514,3.3138e-01
33.2351303,2.8696e+00
36.1047211,3.8282e-01
36.4875412,3.0961e-01
36.7971535,3.6400e-01
37.1611595,5.7150e+00
42.8761826,5.6487e-01
43.4410591,7.2168e+00
50.6578178,4.8832e-01
51.1461372,6.5506e-01
51.8012161,3.1420e-01
52.1154366,3.0381e-01
52.4192657,3.8142e-01
52.8006859,3.4587e-01
53.1465607,4.0392e+00
57.1857681,3.1765e-01
57.5034180,3.7781e-01
57.8812332,2.5771e+00
60.4582977,3.2488e-01
60.7831917,3.2295e-01
61.1061440,3.0036e-01
61.4065094,3.5199e-01
61.7584991,3.6707e+00
65.4291916,2.7955e-01
65.7087555,3.2129e-01
66.0300674,2.3002e+00
68.3302612,3.8267e-01
68.7129288,3.6203e-01
69.0749588,3.4199e+00
72.4948196,4.7860e-01
72.9734268,3.4403e-01
73.3174515,2.4910e-01
73.5665741,3.5058e-01
73.9171524,3.2426e+00
77.1597748,3.1875e-01
77.4785309,3.6879e-01
77.8473282,2.9973e-01
78.1470718,9.3498e+00
87.4970093,3.7398e-01
87.8709869,3.1846e-01
88.1894531,2.3015e+00
90.4909134,4.3572e-01
90.9266357,3.6804e-01
91.2946854,3.2688e-01
91.6215668,2.8019e-01
91.9017639,2.6473e+00
94.5491028,3.4120e-01
94.8903122,3.0272e+00
97.9174957,3.2886e-01
98.2463608,3.2700e-01
98.5733643,2.9874e-01
98.8721237,2.0645e-01
99.0785904,2.8554e+00
101.9339523,3.6971e-01
102.3036652,2.9076e-01
102.5944443,2.3073e+00
104.9017715,2.9760e-01
105.1993790,3.7461e-01
105.5739975,3.2695e-01
105.9009552,3.8097e+00
109.7106857,3.0849e-01
110.0191803,2.9970e-01
110.3188934,2.9916e-01
110.6180649,4.0872e-01
111.0268021,1.3803e+01
124.8302307,4.1263e-01
125.2428818,3.1517e-01
125.5580521,2.8518e-01
125.8432312,2.9174e-01
126.1349792,3.2561e+00
129.3910370,3.1865e-01
129.7097015,3.1958e-01
130.0292816,3.8118e-01
130.4104767,2.2468e+00
132.6572876,4.4862e-01
133.1059113,3.1260e-01
133.4185181,1.7183e-01
133.5903473,1.6633e-01
133.7566986,2.5936e+00
136.3502960,4.6311e-01
136.8134003,3.2743e-01
137.1408386,2.8133e-01
137.4221802,3.2590e-01
137.7480774,3.3689e+00
141.1170044,2.6914e-01
141.3861542,3.0167e-01
141.6878204,3.0583e-01
141.9936523,2.5208e+00
144.5144348,2.9425e-01
144.8086853,3.2052e-01
145.1291962,2.8872e-01
145.4179230,2.9414e-01
145.7120667,2.5394e-01
145.9660187,4.2379e+00
150.2039795,5.6756e-01
150.7715454,2.8061e-01
151.0521698,2.9616e+00
154.0137329,2.4819e-01
154.2619324,2.9634e-01
154.5582886,2.7520e-01
154.8334961,2.4475e-01
155.0782471,3.2387e-01
155.4021301,1.3548e+01
168.9501038,4.0502e-01
169.3551331,3.6052e-01
169.7156525,2.5728e+00
172.2885132,4.7557e-01
172.7640839,2.6025e-01
173.0243378,3.0893e-01
173.3332825,2.9786e-01
173.6311340,3.3336e+00
176.9647522,3.7068e-01
177.3354340,3.7037e-01
177.7058105,3.0267e-01
178.0084839,3.5083e-01
178.3593140,3.9075e+00
182.2667694,3.1912e-01
182.5859070,2.7166e-01
182.8575745,2.9133e-01
183.1488953,2.4938e+00
185.6427460,2.8756e-01
185.9303284,5.9947e-01
186.5298004,3.0433e-01
186.8341370,2.4410e+00
189.2751923,1.0685e-01
189.3820496,5.2195e-01
189.9040070,3.2696e-01
190.2309723,2.5245e-01
190.4834290,4.6616e-01
190.9495850,2.8224e+00
193.7720032,2.8142e-01
194.0534210,3.3060e-01
194.3840179,2.6348e-01
194.6475220,9.0183e+00
203.6658020,4.0901e-01
204.0748138,3.5917e-01
204.4340057,2.9265e-01
204.7266846,2.6847e+00
207.4113312,6.9528e-01
208.1066284,2.4128e-01
208.3479462,2.7027e-01
208.6182098,2.8680e+00
211.4862518,2.2772e-01
211.7139740,4.4662e-01
212.1606140,2.6619e-01
212.4268036,2.1436e-01
212.6411743,3.5095e-01
212.9921265,3.6555e-01
213.3576813,2.7373e+00
216.0950165,6.4409e-01
216.7391205,3.3738e-01
217.0765076,2.8233e-01
217.3588409,3.4390e-01
217.7027588,2.3123e-01
217.9339905,2.8884e-01
218.2228394,3.3770e+00
