time,runtime
5.0096393,1.2226e-03
5.0108771,4.6674e-03
5.0155497,5.7789e-03
5.0213361,6.4354e-03
5.0277762,1.1893e-02
5.0396762,6.0263e-01
5.6423178,1.8415e+00
7.4838133,1.9093e-01
7.6747465,7.9295e-01
8.4677200,5.1894e-03
8.4729156,1.1609e-01
8.5890093,3.6698e-01
8.9560003,7.0937e-03
8.9630985,7.5286e-01
9.7159662,8.3213e-04
9.7168026,1.6600e+00
11.3768158,2.5226e+00
13.8994493,2.6989e-01
14.1693497,8.6103e-03
14.1779709,1.6759e-02
14.1947336,1.5879e-02
14.2106199,9.1336e-03
14.2197609,8.5000e-03
14.2282658,8.5279e-03
14.2368002,9.6934e-03
14.2464981,1.1035e-02
14.2575407,7.8370e-03
14.2653856,9.8661e-03
14.2752562,9.9743e-03
14.2852345,1.9091e-02
14.3043308,9.8345e-03
14.3141689,6.3484e-03
14.3205252,1.0912e-02
14.3314447,8.6863e-03
14.3401356,6.4324e-03
14.3465729,7.7666e-03
14.3543463,1.3813e-02
14.3681631,8.7302e-03
14.3768969,5.9892e-03
14.3828897,1.0792e-02
14.3936872,5.7571e-03
14.3994513,9.1200e-03
14.4085779,6.9818e-03
14.4155655,9.9318e-03
14.4255009,8.3793e-03
14.4338846,9.2773e-03
14.4431667,6.0894e-03
14.4492607,9.0443e-03
14.4583120,8.4593e-03
14.4667759,7.4104e-03
14.4741936,8.7496e-03
14.4829493,5.8312e-03
14.4887848,5.3011e-03
14.4940939,1.1933e-02
14.5060339,3.1467e-01
14.8207111,1.0207e-01
14.9227915,8.3511e-02
15.0063066,1.7108e-02
15.0234213,2.6525e-01
15.2886791,3.5306e-01
15.6417484,9.6073e-03
15.6513596,1.1225e-02
15.6625881,1.0789e-02
15.6733847,4.7461e-01
16.1479988,7.2476e-02
16.2204781,9.5453e-03
16.2300282,9.7017e-03
16.2397346,1.0514e-02
16.2502537,8.8519e-03
16.2591095,9.4058e-03
16.2685204,3.1209e-01
16.5806103,1.3514e+00
17.9320602,7.8129e-03
17.9398804,9.1448e-02
18.0313320,2.6813e-01
18.2994671,8.8261e-03
18.3082981,8.8696e-03
18.3171730,1.6929e-01
18.4864712,1.1760e-02
18.4982357,7.1316e-03
18.5053730,4.0326e-02
18.5457096,1.3218e-02
18.5589352,4.2688e-02
18.6016273,1.6121e-02
18.6177540,1.2022e-02
18.6297798,8.4397e-03
18.6382236,7.9482e-03
18.6461773,1.4027e-02
18.6602097,5.1689e-02
18.7119026,7.1505e-03
18.7190571,1.7811e-02
18.7368717,2.9779e-02
18.7666531,5.6102e-03
18.7722683,7.1988e-03
18.7794704,6.0604e-02
18.8400803,4.9440e-02
18.8895245,6.7446e-03
18.8962727,5.0518e-01
19.4014606,9.8979e-03
19.4113674,1.6056e-01
19.5719528,6.5121e-03
19.5784702,8.1539e-03
19.5866299,9.1616e-03
19.5957966,9.9232e-03
19.6057243,1.0333e-02
19.6160622,1.2900e-02
19.6289654,9.2301e-03
19.6382008,8.1743e-03
19.6463795,8.6573e-03
19.6550407,8.5479e-03
19.6635971,9.4841e-03
19.6730843,6.0972e-03
19.6791859,1.7306e-02
19.6964970,9.0720e-03
19.7055759,1.0514e-02
19.7160950,8.5639e-03
19.7246838,8.1883e-03
19.7328777,9.4086e-03
19.7422943,8.9440e-03
19.7512455,7.5621e-03
19.7588139,8.9640e-03
19.7677822,9.7341e-03
19.7775230,8.8301e-03
19.7863579,1.2905e-02
19.7992668,7.0411e-03
19.8063164,8.7439e-03
19.8150635,5.8731e-03
19.8209419,7.5828e-03
19.8285313,9.0290e-03
19.8375664,1.0363e-02
19.8479347,8.9852e-03
19.8569260,1.0956e-02
19.8678875,7.0424e-03
19.8749390,1.5398e-02
19.8903408,6.1671e-03
19.8965130,1.2059e-02
19.9085808,8.8882e-03
19.9174767,6.5599e-03
19.9240437,1.3625e-02
19.9376774,1.1571e-02
19.9492569,1.3241e-02
19.9625053,5.7340e-03
19.9682446,1.0424e-02
19.9786758,8.0887e-03
19.9867706,6.8479e-03
19.9936237,1.1405e-02
20.0050354,1.2245e-02
20.0172882,9.0390e-03
20.0263309,1.1791e-02
20.0381279,1.1479e-02
20.0496140,1.0139e-03
20.0506325,7.4034e-03
20.0580406,3.6883e-03
20.0617352,8.9732e-03
20.0707111,4.6561e-03
20.0753727,3.7022e-02
20.1124039,1.2463e-02
20.1248722,1.0500e-02
20.1353798,1.0117e-02
20.1455040,1.0522e-02
20.1560326,1.1897e-02
20.1679363,9.9919e-03
20.1779366,1.3054e-02
20.1909981,8.3646e-03
20.1993694,8.5984e-03
20.2079735,3.9329e-03
20.2119102,8.9669e-03
20.2208824,4.8197e-02
20.2690849,1.2262e-02
20.2813549,1.4288e-02
20.2956486,1.1732e-02
20.3073864,1.0342e-02
20.3177357,9.1704e-03
20.3269138,1.2962e-02
20.3398819,1.0725e-02
20.3506126,7.6045e-03
20.3582249,8.2677e-03
20.3664970,8.9905e-03
20.3754921,6.3516e-03
20.3818512,1.0372e-02
20.3922291,9.6589e-03
20.4018955,1.1385e-02
20.4132881,1.0316e-02
20.4236126,1.5118e-02
20.4387379,8.8654e-03
20.4476089,5.4160e-03
20.4530315,6.8806e-03
20.4599171,6.7096e-03
20.4666309,8.9516e-03
20.4755917,8.5913e-03
20.4841881,3.3542e-02
20.5177402,1.0123e-02
20.5278683,7.8028e-03
20.5356750,9.0428e-03
20.5447216,4.2225e-03
20.5489483,1.4074e-02
20.5630283,1.3886e-02
20.5769196,1.0269e-02
20.5871944,7.4779e-03
20.5946808,8.6644e-03
20.6033516,8.2941e-03
20.6116505,8.6768e-03
20.6203346,1.2196e-02
20.6325397,9.7857e-03
20.6423321,1.2564e-02
20.6549034,9.3909e-03
20.6642971,1.1524e-02
20.6758270,4.4392e-03
20.6802711,1.8742e-02
20.6990204,8.9290e-03
20.7079525,3.6193e-03
20.7115765,9.9977e-03
20.7215824,9.5737e-03
20.7311630,9.8919e-03
20.7410603,3.3177e-02
20.7742424,9.1257e-03
20.7833748,1.1485e-02
20.7948647,1.2391e-02
20.8072605,8.5118e-03
20.8157768,1.0822e-02
20.8266068,2.2954e-02
20.8495655,5.1244e-02
20.9008160,1.1005e-02
20.9118252,1.0618e-02
20.9224510,2.5964e-02
20.9484196,3.3434e-02
20.9818592,3.6985e-02
21.0188503,1.0559e-02
21.0294151,8.4784e-03
21.0378990,8.2164e-03
21.0461197,3.4586e-02
21.0807133,3.2771e-02
21.1134892,2.1812e-02
21.1353073,9.3115e-03
21.1446247,9.8400e-03
21.1544704,7.3570e-03
21.1618328,1.0144e-02
21.1719799,1.9062e-02
21.1910477,1.5284e-02
21.2063389,8.9490e-03
21.2152920,7.2860e-03
21.2225819,8.9245e-03
21.2315102,7.0662e-03
21.2385826,6.9701e-03
21.2455578,2.4087e-02
21.2696495,4.1074e-03
21.2737637,1.6574e-02
21.2903423,1.1385e-02
21.3017311,1.3335e-02
21.3150711,7.6967e-03
21.3227749,1.3168e-02
21.3359470,7.6914e-03
21.3436451,9.8564e-03
21.3535061,4.3411e-02
21.3969231,5.4839e-03
21.4024143,3.2544e-02
21.4349632,7.0596e-03
21.4420261,1.8041e-02
21.4600735,8.3075e-03
21.4683857,6.5111e-03
21.4749012,7.7125e-03
21.4826164,6.5076e-03
21.4891281,1.0142e-02
21.4992752,8.7520e-03
21.5080318,1.0076e-02
21.5181122,8.0064e-03
21.5261250,9.2095e-03
21.5353374,1.0357e-02
21.5457001,7.4030e-03
21.5531082,7.9982e-03
21.5611095,8.9403e-03
21.5700531,8.9900e-03
21.5790482,1.1035e-02
21.5900860,6.2332e-03
21.5963249,1.0788e-02
21.6071148,9.6869e-03
21.6168060,1.2181e-02
21.6289902,3.5515e-02
21.6645088,8.1572e-03
21.6726704,6.6822e-03
21.6793556,6.7552e-03
21.6861153,6.3468e-03
21.6924648,5.8189e-03
21.6982880,3.9260e-02
21.7375526,4.5254e-02
21.7828102,2.0457e-02
21.8032742,3.2868e-02
21.8361473,1.2720e-02
21.8488750,1.2455e-02
21.8613358,1.0230e-02
21.8715687,7.4260e-03
21.8790035,1.2536e-02
21.8915462,8.5897e-03
21.9001427,2.0132e-02
21.9202824,9.6766e-03
21.9299622,9.0123e-03
21.9389801,1.1688e-02
21.9506741,9.0449e-03
21.9597244,1.7546e-02
21.9772778,8.2143e-03
21.9854946,1.6715e-02
22.0022144,7.0957e-03
22.0093155,6.6025e-03
22.0159245,5.9083e-03
22.0218353,5.9029e-03
22.0277596,5.6812e-01
22.5958824,1.8494e-02
22.6143818,1.2923e-03
22.6156788,4.8897e-03
22.6205788,1.2080e-02
22.6326656,9.4114e-03
22.6420822,9.4788e-03
22.6515656,1.5496e-02
22.6670704,1.3948e-02
22.6810246,6.2430e-03
22.6872749,1.1204e-02
22.6984844,9.0661e-03
22.7075577,1.2009e-02
22.7195721,8.4860e-03
22.7280655,9.6870e-03
22.7377567,7.8307e-03
22.7455921,9.4284e-03
22.7550297,3.1370e-02
22.7864075,2.6760e-02
22.8131733,1.1882e-02
22.8250618,1.1442e-02
22.8365097,1.0042e-02
22.8465576,7.8777e-03
22.8544426,1.1903e-02
22.8663521,8.9251e-03
22.8752842,1.1894e-02
22.8871880,8.1486e-03
22.8953419,1.1686e-02
22.9070358,6.3163e-03
22.9133568,1.5950e-02
22.9293137,1.1671e-01
23.0460300,1.7661e-02
23.0636959,1.0756e-02
23.0744610,2.3501e-02
