time,runtime
0.9209464,4.7917e-01
1.4501057,1.5245e-02
1.4826922,1.4811e-02
1.5659781,1.2349e-02
1.5949523,2.6157e-02
1.6310937,1.5027e-02
1.6627282,1.8121e-02
1.6969696,1.9978e-02
1.7314817,1.3663e-02
1.8700441,3.6506e-02
1.9421113,1.1264e-01
2.0745115,2.5275e-02
2.1154559,1.4270e-02
2.2431407,1.9332e-01
2.5275655,4.8645e-02
4.0447068,2.3151e-02
4.0926137,7.5625e-03
4.1165352,4.9858e-02
4.1762605,4.6970e-02
4.2385635,2.0712e-02
4.2721086,2.3782e-02
4.3142204,4.3988e-03
4.3276029,5.5355e-03
4.3575683,3.4765e-02
4.4101138,9.2895e-03
4.4377036,7.1962e-03
4.4632549,1.9823e-02
4.4957948,1.1037e-02
4.5232058,1.3443e-02
4.5510716,2.4559e-02
4.5838261,1.1663e-02
4.6094050,1.6503e-02
4.6527977,2.3639e-02
4.7131395,7.4075e-03
4.7421684,1.5492e-02
4.7736645,1.4542e-02
4.8018022,3.5283e-02
4.9384022,1.4401e-02
4.9653969,1.8568e-02
5.0025582,3.3382e-02
5.0553517,9.3023e-03
5.0836673,2.2934e-02
5.1192322,2.0936e-02
5.1688061,4.8661e-02
5.2408872,3.0194e-02
5.2873344,1.0196e-02
5.3169880,2.2521e-02
5.3569856,1.2662e-02
5.3825316,1.6162e-02
5.4113994,5.8164e-03
5.4357476,6.9732e-03
5.4594440,1.1840e-02
5.4887524,2.6286e-02
5.5253978,1.6697e-02
5.6679382,1.5107e-02
5.7102294,8.1933e-03
5.8368306,2.0048e-02
5.8695159,7.1431e-03
5.8896537,1.8275e-02
5.9244285,9.2635e-03
5.9566536,1.9408e-02
5.9911032,1.1561e-02
6.0241971,1.0390e-02
6.0506730,1.0283e-02
6.0711470,1.6971e-02
6.1029634,8.8476e-03
6.1288924,6.8117e-03
6.1572390,8.7137e-03
6.1876793,3.5182e-02
6.2434106,3.1279e-02
6.2909670,3.0050e-02
6.3469071,2.2989e-02
6.3807096,1.9912e-02
6.4362631,1.0144e-02
6.4631095,1.3449e-02
6.4898181,1.1865e-02
6.5383239,1.7701e-02
6.5744224,9.0939e-03
6.5975251,1.9715e-02
6.6303210,1.9442e-01
6.8397813,1.1200e-02
6.8723106,7.5874e-03
6.8922772,8.3222e-03
6.9186196,1.7087e-02
6.9475989,2.4744e-02
6.9825072,9.5285e-03
7.0101070,1.6699e-02
7.0458522,1.0386e-02
7.0759478,2.7250e-02
7.1170750,2.9789e-02
7.1643634,1.0977e-02
7.1969638,1.2717e-02
7.2259059,4.2330e-02
7.2990227,9.7756e-03
7.3283534,8.6707e-03
7.3540382,6.5931e-03
7.3884530,1.2496e-02
7.4161644,2.5634e-02
7.4618545,5.7417e-03
7.4820342,7.5539e-03
7.5090904,2.6610e-02
7.5472865,1.6396e-02
7.5718031,1.0001e-02
7.6019030,1.1001e-02
7.6226115,4.7546e-03
9.2644415,3.0086e-03
9.2811832,1.3237e-02
9.3069506,3.9397e-02
9.3636751,7.7931e-03
9.3929319,1.2155e-02
9.4489050,3.2410e-02
9.5066490,1.7112e-02
9.5389051,1.2856e-02
9.5686903,3.5246e-02
9.6213093,1.5550e-02
9.6563969,3.6281e-02
9.7079353,1.7509e-02
9.7743044,1.1249e-02
9.8021822,7.7413e-03
9.8296700,3.0116e-02
9.8751831,1.6872e-02
10.0181980,5.0826e-02
10.1682024,6.3337e-03
10.1866560,3.0041e-02
10.2475815,3.5795e-02
10.3255320,6.3202e-03
10.3868055,2.4706e-02
10.4282732,1.1089e-02
10.5717306,1.8154e-02
10.6043520,1.1291e-02
10.6452971,2.5845e-02
10.6840668,2.9240e-02
10.7430897,1.4550e-02
10.7731228,8.9219e-03
10.7943134,2.6188e-02
10.8332672,1.3418e-02
10.9006557,7.3167e-03
10.9366875,2.9201e-02
10.9841223,1.1628e-02
11.1597996,1.0402e-02
11.2062788,5.4457e-03
11.2370586,1.0522e-02
11.2699032,7.2080e-03
11.2893515,1.5365e-02
11.3162193,2.1363e-02
11.3574724,7.6566e-03
11.3820810,7.0080e-03
11.4037790,1.0099e-02
11.4390659,1.5503e-02
11.4690638,3.4898e-02
11.5142326,2.1574e-02
11.7209177,7.1547e-03
11.7441854,3.0676e-02
11.7874689,9.0657e-03
11.8152285,1.9292e-02
11.8481503,1.0885e-02
12.0157528,4.9438e-02
12.2432299,3.4433e-01
14.2608089,7.9361e-02
14.3558855,2.7782e-02
14.4595795,1.5555e-01
14.6337185,6.9577e-03
14.6609936,5.3915e-01
15.8683195,1.7207e-02
16.1441746,2.0262e-02
16.2431755,2.8272e-02
16.2876625,1.9427e-02
16.3235207,1.2512e-02
16.3518772,1.3852e-02
16.3870220,7.9540e-03
16.8559437,2.5894e-02
16.9098396,1.7771e-02
17.2171021,1.9209e-02
19.5716248,1.1509e+00
20.9978809,1.2740e-01
21.1390171,2.8282e-02
21.1795368,1.5715e-02
21.2119598,9.6194e-03
22.0640354,7.4345e+00
29.5284176,2.1358e-02
31.2324619,8.4223e-03
31.2749119,1.8002e-02
31.8242435,3.1234e-02
31.9380989,2.9150e-02
32.7636337,1.1525e-01
32.8908119,6.0474e-01
33.6436768,1.8543e-02
33.6884689,1.5414e-02
33.8955002,4.3297e-01
34.3455086,4.3458e-02
34.4017677,1.9144e-02
34.5582466,2.3883e-02
34.5938568,7.6180e-03
34.6153336,1.7522e-02
37.2834511,3.2462e-02
38.7123833,5.9749e-01
39.3258057,8.2358e-03
39.3488579,9.4025e-03
39.3735352,2.9171e-02
39.4222298,1.9116e-02
39.5021400,1.0946e-02
39.5747452,1.4151e-02
39.6084175,1.2191e-02
39.6493225,1.1435e-02
39.6807899,8.0463e-03
39.6997032,5.8512e-03
39.7297630,3.7559e-02
39.7821693,1.0720e-02
39.8091049,1.2174e-02
39.8396912,2.0526e+00
41.9184875,1.4939e-02
42.0968056,6.9125e-03
42.1466026,7.6015e-02
42.2411156,8.9324e-02
42.3434029,2.6236e-02
42.5101204,1.0449e-02
42.5414505,2.3013e-01
42.7850304,1.0335e-02
42.8345375,1.2310e-02
