time,runtime
0.0000051,2.0946e-03
0.0097868,8.6585e-03
0.0296964,2.2866e-03
0.0505034,6.7592e-04
0.0644743,4.5631e-03
0.0738370,6.2618e-03
0.1421133,3.3685e-03
0.1536977,1.2738e-02
0.1847237,1.1814e-02
0.2211685,3.4606e-03
0.5441049,2.8369e-03
0.8845013,7.8833e-04
0.9870443,3.0049e-02
1.0803781,7.5330e-04
1.1201122,3.5675e-03
1.5069318,2.8461e-02
1.5401893,6.7404e-04
1.6163404,1.1960e-02
1.7062790,6.2691e-03
1.7828832,8.1301e-04
1.8431981,1.9684e-01
2.0711331,1.2871e-03
2.1935701,8.7300e+00
10.9379158,8.1400e-03
11.0792389,6.9895e-03
11.1061907,6.3679e-03
12.1276398,1.4593e-03
12.1403465,4.9409e-03
12.1700268,5.2394e-03
12.1960182,7.0642e-03
12.2152843,4.7916e-03
12.2507067,7.6192e-03
12.2796669,6.8809e-03
12.3052340,1.2078e-02
12.3641624,4.6534e-02
12.4328089,3.9153e-03
12.4513063,8.4423e-03
12.4866133,2.4460e-02
12.5351334,5.1668e-03
12.5992746,7.9260e-03
12.6554718,7.5504e-03
12.6880283,4.3065e-03
12.7084093,7.9501e-03
12.7773247,1.2307e-02
12.8077335,1.8408e-02
12.8501348,5.6459e-03
12.9105997,4.6754e-03
12.9380798,5.2485e-03
12.9917603,4.5635e-03
13.0048237,1.1002e-02
13.0449934,4.6707e-03
13.1043091,2.4515e-03
13.1318245,7.6146e-02
13.2950144,8.4489e-03
13.3212328,8.6701e-03
13.3486166,1.6107e-01
13.6471272,9.4797e-03
13.6764240,7.9294e-03
13.6938753,4.2701e-03
13.7232618,7.8268e-03
13.7632332,7.9083e-03
13.8040447,8.9151e-03
13.8451223,4.4650e-03
13.8722887,5.4943e-03
13.9105568,9.9448e-03
13.9318647,8.8933e-03
13.9611835,1.8458e-02
14.0153532,8.0009e-03
14.0335884,5.3187e-03
14.0712347,1.1656e-02
14.1215382,1.7894e-01
14.3220491,1.6657e-02
14.8742027,2.5610e-01
15.1652117,9.5601e-03
15.2015696,7.6460e-04
15.2173061,2.1558e-01
15.4645023,5.1916e-01
16.1272259,1.0826e-02
19.5781288,8.3409e-02
19.9427032,5.9760e-01
20.8464260,4.5331e-03
22.8593273,4.3581e-03
22.8843441,7.4651e-03
23.1527405,4.6726e-03
23.7512836,1.0774e-02
24.2725124,3.8458e-02
24.4634552,1.2419e+00
25.7447891,3.7112e-01
26.1387405,1.0738e-03
29.0716629,1.1808e-02
29.1085911,7.7726e-04
29.1142178,1.7556e-01
29.3535271,5.3662e-03
29.3797379,1.9706e-01
29.5924110,2.0281e-02
29.6233864,4.0047e-02
29.6922054,4.2340e-02
29.8266926,4.5425e-03
29.9201374,7.3288e-03
29.9906769,8.0796e-03
30.0289955,7.2803e-02
30.1440830,7.9393e-02
30.2336559,4.5936e-03
30.3925056,2.5188e-01
30.8124027,1.1778e-01
31.0835934,4.4023e-03
33.1909180,9.7287e-03
33.2270737,4.9879e-03
33.2574577,4.2037e-03
