time,runtime
0.0054731,4.3093e-03
0.0279719,1.7201e-03
0.0418744,8.6248e-03
0.0631206,1.3495e-03
0.0726101,1.2234e-03
0.1021904,3.9919e-02
0.1517474,1.9460e-03
0.1805813,4.1381e-03
0.2039578,1.7206e-02
0.3810119,1.6309e-01
0.5663331,3.1816e-01
0.9867619,2.7822e-04
1.0444634,3.5908e-02
1.1010873,1.9020e-02
1.1316129,3.7531e-01
1.5398990,2.8558e-04
1.6159410,3.9457e-04
1.6307110,7.5563e-02
1.7224654,6.0412e-02
1.7896523,5.3540e-02
2.0628617,8.2661e-03
2.0878832,1.0568e-01
10.9368000,1.1075e-03
11.0615625,1.7672e-02
11.0982313,7.9511e-03
12.1200323,7.6019e-03
12.1374121,2.9284e-03
12.1695414,4.7977e-04
12.1832561,1.2757e-02
12.2111216,4.1580e-03
12.2455769,5.1220e-03
12.2789803,6.8104e-04
12.3047056,5.2457e-04
12.3336983,3.0456e-02
12.4290476,3.7560e-03
12.4442062,7.0947e-03
12.4774237,9.1856e-03
12.5346031,5.2570e-04
12.5480442,5.1223e-02
12.6262589,2.9207e-02
12.6731443,1.4877e-02
12.7035780,4.8263e-03
12.7734461,3.8743e-03
12.8074598,2.6896e-04
12.8461447,3.9822e-03
12.8718395,3.8755e-02
12.9337149,4.3600e-03
12.9876318,4.1235e-03
13.0005474,4.2715e-03
13.0409718,4.0138e-03
13.0987282,5.5736e-03
13.1251249,6.6943e-03
13.2246532,7.0353e-02
13.3207293,4.9707e-04
13.3414440,7.1628e-03
13.6399126,7.2054e-03
13.6721296,4.2855e-03
13.6934032,4.6790e-04
13.7185707,4.6851e-03
13.7507505,1.2478e-02
13.7964964,7.5392e-03
13.8386612,6.4521e-03
13.8689156,3.3640e-03
13.9020424,8.5099e-03
13.9296341,2.2257e-03
13.9545994,6.5797e-03
13.9954433,1.9906e-02
14.0287418,4.8423e-03
14.0617037,9.5269e-03
14.1096191,1.1913e-02
14.3177309,4.3142e-03
14.3516083,5.2259e-01
15.1465387,1.8668e-02
15.1942320,7.3311e-03
15.2138052,3.4967e-03
15.4520025,1.2496e-02
16.1208992,6.3202e-03
19.5690937,9.0325e-03
19.6836205,2.5908e-01
20.7283764,1.1805e-01
20.8645744,1.9947e+00
22.8735504,1.0788e-02
23.1476707,5.0666e-03
23.1645336,5.8675e-01
24.0764198,1.9609e-01
24.4113846,5.2062e-02
25.7155533,2.9228e-02
26.1382923,4.4319e-04
29.0149765,5.6682e-02
29.1043777,4.2088e-03
29.1139088,3.0495e-04
29.3043194,4.9203e-02
29.3671989,1.2534e-02
29.5920658,3.4189e-04
29.6229362,4.4374e-04
29.6857872,6.4114e-03
29.7479210,7.8768e-02
29.9169521,3.1811e-03
29.9640522,2.6620e-02
30.0285492,4.4183e-04
30.1410332,3.0458e-03
30.2332191,4.3338e-04
30.3190842,7.3416e-02
30.8036480,8.7477e-03
30.9370594,1.4653e-01
31.1796970,2.0112e+00
33.2260551,1.0137e-03
33.2524605,4.9935e-03
33.3266945,3.4787e-03
33.3625946,4.6752e-03
33.4050598,4.2802e-03
33.4626007,4.7095e-04
33.5776176,8.3803e-03
33.6502304,3.3840e-03
33.6780624,5.6708e-04
33.7141037,5.4750e-04
33.8195267,3.2972e-03
33.9215622,5.0846e-04
33.9867935,7.4670e-03
34.0250206,4.1384e-03
34.0612640,6.7979e-03
34.1890411,2.8227e-03
34.2148666,4.2521e-03
34.2391586,7.0225e-03
34.2636414,2.9095e-03
34.3003540,8.5068e-03
34.3295898,4.7021e-03
34.3500710,5.0511e-03
34.3950615,3.9945e-03
34.6199379,3.2441e-04
34.7123413,3.7450e-03
34.7508240,3.0538e-02
35.0406609,4.1864e-03
35.0730171,1.6212e-02
35.1050377,7.0760e-03
35.1577568,8.8417e-02
35.2787056,3.7001e-03
35.3180809,2.3537e-01
35.6573448,3.8076e-03
35.6710968,5.2792e-02
35.7420120,3.4415e-03
35.8228874,6.6808e-02
35.9187431,3.2806e-03
35.9407539,6.1090e-03
35.9713135,3.8565e-04
36.0461540,5.0202e-04
36.0866737,6.4512e-03
36.1246338,3.7505e-03
36.1502876,3.7787e-03
36.1702805,3.7221e-03
39.1820831,7.5168e-04
39.3417320,8.0664e-03
39.3989372,7.5135e-04
39.4134979,5.2384e-03
39.4634857,1.0347e-01
39.5922127,6.6330e-03
39.6263924,3.0815e-02
39.9825935,5.8139e-03
40.0316277,4.6109e-03
40.0731277,2.8317e-03
40.1033096,3.8230e-03
40.1823997,7.0884e-03
40.2030220,6.6965e-03
40.2469864,8.5432e-04
40.2887421,7.4260e-03
40.3292961,1.6234e-02
40.3614883,4.4866e-03
40.3997040,5.4283e-03
40.4657860,2.6678e-02
40.5478897,3.4291e-03
40.5970039,4.0741e-02
40.7174492,3.7349e-03
40.8271255,5.1566e-03
40.8486671,7.8542e-03
40.9375381,5.4623e-03
41.0723305,4.9063e-02
41.1673508,6.9327e-02
52.0322800,4.1407e-03
52.0550194,9.9086e-03
52.1121292,6.1847e-03
52.1872330,3.7419e-01
56.9435310,7.1564e-03
56.9787941,2.2579e-02
57.0472298,2.7337e-03
57.0883446,5.9924e-03
58.5349770,1.5604e-02
58.7571144,7.7605e-02
58.9014664,1.3732e-02
58.9718170,2.2975e-03
59.1013298,6.5645e-03
59.1355400,3.0597e-03
59.1807594,3.7199e-02
59.2653503,5.9224e-03
59.3546143,1.4101e-02
59.4185905,7.0452e-03
59.5066605,6.1774e-03
59.5544510,1.1074e-02
59.5949211,3.0141e-03
59.6218376,2.3442e-02
59.6814804,6.7729e-03
59.7016373,7.7131e-03
59.7541275,4.7138e-03
59.7753105,8.9422e-03
59.8357048,6.3942e-03
59.8860931,5.6927e-02
59.9726562,3.3808e-01
60.3989143,5.6085e-03
60.4648819,5.4785e-03
60.4862061,7.1795e-03
60.5156174,4.0281e-02
60.7608261,6.3671e-02
60.8599548,4.0716e-02
60.9780312,1.3606e-02
61.0208893,5.4879e-02
61.0953369,4.1617e-03
61.1264992,1.1286e-02
61.2149086,4.8214e-03
61.2421646,3.1170e-03
61.2644577,5.8937e-03
61.3512535,2.3897e-02
61.3931961,5.2560e-03
61.4317245,4.8153e-03
61.4787178,3.3334e-03
61.5294380,3.1285e-03
61.5596542,5.9477e-03
61.6066170,3.7093e-03
61.6613235,1.3588e-02
61.7042732,6.2110e-03
61.7750931,5.6882e-03
61.8310852,1.6663e-02
61.8954926,3.3745e-03
61.9234734,4.3033e-03
61.9753456,7.0537e-03
62.0054016,6.6835e-03
62.4750862,1.6651e-02
62.5131912,3.0213e+00
65.5655823,7.5361e-03
65.6022873,8.0444e-03
65.6343994,4.7620e-03
65.6562958,2.4400e-03
65.6801529,4.0755e-03
