time,runtime
0.0000034,4.6473e-04
0.0010331,4.9171e-04
0.0021622,4.8323e-04
0.0031965,4.4142e-04
0.0043613,4.1193e-04
0.0053397,4.0640e-04
0.0063439,4.3916e-04
0.0073429,3.7606e-04
0.0083027,4.9580e-04
0.0093697,4.7096e-04
0.0104195,4.2828e-04
0.0114066,4.2672e-04
0.0124045,4.8535e-04
0.0135851,4.7481e-04
0.0146226,4.0157e-04
0.0156136,5.3688e-04
0.0166839,4.4977e-04
0.0178131,5.3565e-04
0.0189899,4.5324e-04
0.0200097,4.5407e-04
0.0210015,4.6941e-04
0.0220973,4.6882e-04
0.0232183,4.5177e-04
0.0243311,5.0180e-04
0.0253946,4.1138e-04
0.0265303,5.5978e-04
0.0277199,5.1073e-04
0.0288180,5.2123e-04
0.0299380,6.0716e-04
0.0312332,4.7583e-04
0.0323102,4.5665e-04
0.0333205,4.3066e-04
0.0343349,4.1360e-04
0.0353134,5.3961e-04
0.0365206,5.3564e-04
0.0375855,5.0876e-04
0.0385988,5.3442e-04
0.0398545,4.5028e-04
0.0409011,4.7202e-04
0.0419511,4.4645e-04
0.0429151,5.5950e-04
0.0441198,5.0701e-04
0.0453028,4.8851e-04
0.0464688,4.7639e-04
0.0474896,5.3921e-04
0.0485430,3.7301e-04
0.0494059,4.1248e-04
0.0504098,4.6161e-04
0.0515172,4.4420e-04
0.0525246,4.4264e-04
0.0536101,3.8243e-04
0.0545197,5.3724e-04
0.0556288,5.4004e-04
0.0566914,4.8660e-04
0.0577219,4.8936e-04
0.0587510,5.5833e-04
0.0599636,5.3778e-04
0.0611733,5.1478e-04
0.0623334,3.9676e-04
0.0633207,4.5360e-04
0.0644019,3.7057e-04
0.0653169,4.1350e-04
0.0664566,4.4109e-04
0.0674829,4.7224e-04
0.0685634,4.0614e-04
0.0696008,3.7911e-04
0.0705073,4.9881e-04
0.0716286,4.9026e-04
0.0726716,5.4439e-04
0.0738160,4.6457e-04
0.0749229,4.5261e-04
0.0759274,5.1970e-04
0.0770085,4.6352e-04
0.0781005,4.7216e-04
0.0792300,5.0321e-04
0.0803447,5.0845e-04
0.0815647,4.4437e-04
0.0826797,4.7522e-04
0.0837997,4.0296e-04
0.0847563,4.2032e-04
0.0858039,4.7357e-04
0.0868693,3.6834e-04
0.0877713,5.0897e-04
0.0888246,4.8665e-04
0.0901229,5.6877e-04
0.0913088,4.3782e-04
0.0923307,4.8916e-04
0.0935889,4.8758e-04
0.0946242,4.5359e-04
0.0957784,4.5579e-04
0.0967845,5.6440e-04
0.0980377,4.5722e-04
0.0991253,5.9200e-04
0.1003605,5.9426e-04
0.1016314,5.4726e-04
0.1028114,6.9532e-04
0.1041294,4.9412e-04
0.1051416,5.3506e-04
0.1062928,4.7779e-04
0.1073692,4.8009e-04
0.1084900,5.5651e-04
0.1095996,5.0736e-04
0.1106401,4.7887e-04
0.1116703,4.2672e-04
0.1126513,5.0841e-04
0.1137493,5.2926e-04
0.1148367,5.0456e-04
0.1158826,4.7826e-04
0.1169401,4.9866e-04
0.1179790,4.7638e-04
0.1189712,4.1491e-04
0.1199204,4.7512e-04
0.1209659,4.3203e-04
0.1219486,4.4126e-04
0.1229024,4.3660e-04
0.1239690,4.4371e-04
0.1249540,5.1158e-04
0.1260223,4.3098e-04
0.1269979,4.3646e-04
0.1280704,3.8928e-04
0.1289799,4.5757e-04
0.1300022,4.0545e-04
0.1309718,5.2769e-04
0.1320630,4.0782e-04
0.1330193,4.3210e-04
0.1341658,4.2802e-04
0.1352185,4.6521e-04
0.1362705,4.6792e-04
0.1372938,4.8027e-04
0.1383277,4.6871e-04
0.1393173,4.3276e-04
0.1404274,4.4915e-04
0.1414037,4.3114e-04
0.1424097,4.4826e-04
0.1433824,4.1327e-04
0.1443330,4.7754e-04
0.1453312,4.6458e-04
0.1463744,4.7978e-04
0.1475769,5.5509e-04
0.1486805,4.7201e-04
0.1496785,4.0934e-04
0.1506276,5.3822e-04
0.1518072,4.0044e-04
0.1527682,5.4443e-04
0.1538643,5.5704e-04
0.1549763,5.2255e-04
0.1560743,4.6354e-04
0.1571220,3.9416e-04
0.1580769,4.4063e-04
0.1590965,4.6938e-04
0.1602484,4.9084e-04
0.1612724,4.0315e-04
0.1622558,3.8198e-04
0.1631930,5.2371e-04
0.1643051,4.2066e-04
0.1652378,3.4766e-04
0.1661586,4.5153e-04
0.1672339,5.0573e-04
0.1683027,4.4906e-04
0.1693124,4.5263e-04
0.1702899,4.8553e-04
0.1713227,3.9021e-04
0.1722928,5.0066e-04
0.1733773,5.0834e-04
0.1745472,5.3734e-04
0.1756236,4.8055e-04
0.1766310,5.1904e-04
0.1777115,5.4031e-04
0.1788426,5.4429e-04
0.1799733,4.4236e-04
0.1809735,4.2053e-04
0.1819536,5.4675e-04
0.1831089,4.2334e-04
0.1840497,5.3919e-04
0.1851946,4.4934e-04
0.1862924,4.8025e-04
0.1873215,4.6334e-04
0.1883779,4.2926e-04
0.1893703,3.9206e-04
0.1903156,4.6301e-04
0.1914160,5.0971e-04
0.1925186,5.6576e-04
0.1936377,4.3567e-04
0.1946216,5.1002e-04
0.1956870,4.0949e-04
0.1966189,5.1592e-04
0.1977679,4.9507e-04
0.1988655,5.3203e-04
0.1999632,4.7413e-04
0.2010832,4.7328e-04
0.2022319,5.0953e-04
0.2032804,4.9081e-04
0.2043665,4.2320e-04
0.2053415,4.1685e-04
0.2063186,4.9813e-04
0.2074631,3.6915e-04
0.2083811,4.6112e-04
0.2094470,4.0179e-04
0.2104306,3.8442e-04
0.2114279,4.6313e-04
0.2124818,4.6794e-04
0.2135381,4.2897e-04
0.2145351,4.4013e-04
0.2155664,4.7525e-04
0.2167068,4.5638e-04
0.2177257,5.6054e-04
0.2189493,4.4174e-04
0.2199680,4.9034e-04
0.2210461,4.1024e-04
0.2220391,4.1132e-04
0.2229896,4.5771e-04
0.2241161,4.4736e-04
0.2251515,4.8942e-04
0.2262181,4.1911e-04
0.2272089,4.5227e-04
0.2282553,4.6189e-04
0.2292872,4.8352e-04
0.2303709,5.9147e-04
0.2315585,5.8112e-04
0.2328392,5.4223e-04
0.2339505,5.3935e-04
0.2351305,4.1183e-04
0.2362161,4.0094e-04
0.2371739,4.4454e-04
0.2382434,3.7904e-04
0.2391503,4.7342e-04
0.2403256,4.5416e-04
0.2413724,4.1910e-04
0.2423855,4.9572e-04
0.2434998,4.9666e-04
0.2446302,5.6340e-04
0.2458098,3.9631e-04
0.2468420,4.9548e-04
0.2479026,4.8973e-04
0.2489435,4.6552e-04
0.2499132,4.4846e-04
0.2508962,5.0116e-04
0.2521852,4.8013e-04
