time,runtime
0.0007738,2.5669e-04
0.0018578,3.0199e-04
0.0029388,2.5539e-04
0.0040490,3.0991e-04
0.0050788,2.5867e-04
0.0060697,2.7211e-04
0.0070843,2.5617e-04
0.0080611,2.3934e-04
0.0091064,2.6091e-04
0.0101611,2.5614e-04
0.0111602,2.4399e-04
0.0121545,2.4768e-04
0.0133610,2.2175e-04
0.0143823,2.3810e-04
0.0153354,2.7589e-04
0.0164334,2.4830e-04
0.0175442,2.6374e-04
0.0187055,2.8230e-04
0.0197860,2.2148e-04
0.0207676,2.3157e-04
0.0217735,3.2136e-04
0.0229088,3.0711e-04
0.0240701,2.5877e-04
0.0251578,2.3450e-04
0.0262211,3.0714e-04
0.0274739,2.4399e-04
0.0285248,2.8852e-04
0.0296550,2.7776e-04
0.0309611,2.7001e-04
0.0320863,2.2168e-04
0.0330649,2.5356e-04
0.0340749,2.5798e-04
0.0350666,2.4449e-04
0.0362494,2.6637e-04
0.0373457,2.3503e-04
0.0383673,2.2690e-04
0.0395837,2.6876e-04
0.0406353,2.6357e-04
0.0416801,2.5770e-04
0.0426727,2.4045e-04
0.0438116,3.0580e-04
0.0450033,2.9723e-04
0.0461977,2.6894e-04
0.0472396,2.4475e-04
0.0483276,2.1298e-04
0.0491897,2.1395e-04
0.0501748,2.3292e-04
0.0512840,2.3113e-04
0.0522525,2.7001e-04
0.0533853,2.2261e-04
0.0542848,2.3028e-04
0.0553658,2.5823e-04
0.0564500,2.3923e-04
0.0575001,2.1946e-04
0.0584910,2.5520e-04
0.0597045,2.5701e-04
0.0608712,2.9978e-04
0.0620764,2.5486e-04
0.0630835,2.3519e-04
0.0641096,2.8999e-04
0.0650865,2.2812e-04
0.0660701,3.8407e-04
0.0671895,2.9136e-04
0.0683436,2.1786e-04
0.0693388,2.5988e-04
0.0702525,2.5250e-04
0.0713961,2.3001e-04
0.0724211,2.4825e-04
0.0735303,2.8346e-04
0.0746628,2.5785e-04
0.0756496,2.7258e-04
0.0767347,2.7141e-04
0.0778384,2.5969e-04
0.0789620,2.6583e-04
0.0801157,2.2662e-04
0.0812782,2.8435e-04
0.0824518,2.2546e-04
0.0835428,2.5480e-04
0.0845246,2.2970e-04
0.0854690,3.3261e-04
0.0866148,2.5210e-04
0.0875253,2.4352e-04
