time,runtime
0.0639122,6.6014e-03
0.2066529,5.1927e-03
0.2303534,5.7156e-03
0.2799067,4.4116e-02
0.3421523,3.3505e-02
0.4049841,5.8385e-03
0.4520345,6.3037e-03
0.5259387,7.0762e-03
1.2877415,5.8937e-03
1.3302857,3.0040e-03
1.4082237,4.6943e-03
1.4287434,2.5176e-03
1.4620082,7.8173e-02
1.7610879,3.0629e-03
1.7991847,5.8914e-03
1.8582778,6.2522e-02
1.9522578,7.7325e-03
1.9918890,1.0243e-02
2.0161574,6.0320e-03
2.0491321,3.2495e-01
2.5657029,1.1885e-02
2.5940406,1.0726e-02
2.6286190,3.5895e-03
2.7141805,4.6548e-03
2.7497721,8.4699e-03
2.7748699,2.6834e-02
5.0143366,3.8578e-01
5.4240832,1.2314e-02
5.4735069,8.4461e-02
5.9722223,2.5608e-01
6.3321915,3.8880e-03
6.3499823,1.0761e-02
6.3885679,5.5506e-03
6.4081693,4.1263e-03
6.4882102,1.1956e-02
6.5968242,5.8239e-03
6.6222763,7.6526e-03
6.6622601,3.1784e-03
6.7073193,3.4311e-02
6.9080982,6.7305e-03
6.9302969,3.3166e-03
6.9581237,3.7829e-02
7.1542535,5.0238e-03
7.2944026,3.1526e-01
7.6679201,1.3224e-02
7.7157378,3.3339e-03
9.9140930,8.6463e-03
9.9434099,1.6640e-02
10.2100124,1.1310e-02
10.2892075,1.9354e-02
10.5047350,3.2012e-03
10.5400648,6.9937e-03
10.5705996,2.6055e-03
10.6084452,1.5691e-03
10.7718363,6.3522e-03
10.8108130,2.5128e-01
11.0987673,7.9737e-03
11.5393000,3.7144e-03
12.0191641,3.0605e-03
12.2679186,6.2058e-02
12.5163679,5.4283e-03
12.5814533,6.0135e-03
12.6196795,7.2941e-03
12.6478672,6.8139e-03
12.6908836,6.2590e-03
12.7178802,4.8157e-03
12.7418423,3.4890e-03
12.7933359,6.2940e-03
12.8175364,3.5421e-03
12.8451586,5.6207e-03
15.0151281,7.8879e-02
15.1320133,8.4389e-03
15.1679230,7.2643e-03
15.1974335,3.4120e-03
15.2215328,6.1633e-03
15.2588921,5.2369e-03
15.2964592,5.4758e-03
15.3249521,3.0748e-03
15.3516760,3.7316e-03
15.4036827,2.4250e-02
15.4481115,6.7601e-03
15.4798870,5.5158e-03
15.5218906,9.3886e-03
15.5512104,7.8894e-03
15.6087484,2.5576e-03
15.6287727,5.2986e-03
15.6947737,4.2233e-02
15.7584667,4.7610e-03
15.7850752,7.4861e-03
15.8806639,6.4550e-03
15.9260969,5.9179e-03
15.9463215,5.7448e-03
15.9820910,7.9358e-03
16.0082016,3.2688e-03
16.0265560,3.2521e-03
16.0460167,1.1284e-02
16.0703640,5.3830e-03
16.1337528,6.4099e-03
16.3862247,8.2165e-03
16.4130135,5.0105e-03
16.4868431,5.7480e-03
16.5065708,3.6180e-03
16.5274067,2.7766e-03
16.5469170,7.3384e-03
