time,runtime
0.0107651,1.0922e-02
0.0216914,5.4017e-03
0.0270974,1.2625e-02
0.0397244,8.6951e-03
0.0484238,8.5779e-03
0.0570058,1.3405e-02
0.0704153,1.5470e-02
0.0858866,2.1313e-02
0.1072010,2.7027e-02
0.1342324,6.1944e-02
0.1961783,3.3070e-02
0.2292528,3.4864e-02
0.2641189,3.6327e-02
0.3004477,3.9379e-02
0.3398306,3.6204e-02
0.3760390,4.3619e-02
0.4196624,3.9209e-02
0.4588757,4.1352e-02
0.5002315,4.3278e-02
0.5435112,4.3938e-02
0.5874506,4.0850e-02
0.6283049,4.1536e-02
0.6698428,4.0847e-02
0.7106916,4.0710e-02
0.7514030,4.0777e-02
0.7921820,4.1336e-02
0.8335220,4.0920e-02
0.8744458,4.1426e-02
0.9158763,4.0824e-02
0.9567046,3.9586e-02
0.9962952,4.1781e-02
1.0380781,4.1961e-02
1.0800408,4.4369e-02
1.1244136,4.4529e-02
1.1689471,4.2880e-02
1.2118316,4.0167e-02
1.2520077,4.1183e-02
1.2931924,4.3228e-02
1.3364229,4.0486e-02
1.3769137,4.4000e-02
1.4209183,4.1463e-02
1.4623836,4.0881e-02
1.5032666,4.1311e-02
1.5445825,4.1392e-02
1.5859791,4.0305e-02
1.6262889,4.2328e-02
1.6686209,4.1517e-02
1.7101423,4.1293e-02
1.7514398,4.3314e-02
1.7947584,4.1840e-02
1.8366027,4.5078e-02
1.8816824,4.2399e-02
1.9240830,4.2449e-02
1.9665344,4.2445e-02
2.0089817,3.9914e-02
2.0489001,3.9358e-02
2.0882628,4.0508e-02
2.1287725,4.1065e-02
2.1698396,4.2922e-02
2.2127643,4.1831e-02
2.2545974,4.1173e-02
2.2957749,4.0651e-02
2.3364301,4.0016e-02
2.3764477,4.3155e-02
2.4196050,4.2925e-02
2.4625323,3.9271e-02
2.5018079,4.1101e-02
2.5429106,3.9704e-02
2.5826168,4.3906e-02
2.6265244,4.0761e-02
2.6672878,4.0497e-02
2.7077870,3.8049e-02
2.7458382,4.1167e-02
2.7870095,3.9592e-02
2.8266034,4.3697e-02
2.8703027,5.0414e-02
2.9207184,4.0063e-02
