time,runtime
0.0787694,2.9728e-02
0.1923956,3.0731e-02
0.3150945,3.0151e-02
0.4376775,3.0733e-02
0.5687928,3.3360e-02
0.6976079,3.3008e-02
0.8329495,3.9678e-02
0.9700598,3.7118e-02
1.1096975,3.9540e-02
1.2859757,3.5649e-02
1.4294646,3.3651e-02
1.5591757,3.4276e-02
1.6877682,3.2063e-02
1.8203989,3.3261e-02
1.9522618,3.1389e-02
2.0768747,3.0147e-02
2.2047293,2.9947e-02
2.3208621,2.8499e-02
2.4370952,2.6605e-02
2.5464959,2.8053e-02
2.6558125,2.7729e-02
2.7672954,2.6626e-02
2.8749862,2.9901e-02
2.9929883,2.7577e-02
3.1204052,2.7517e-02
3.2344007,2.9274e-02
3.3506613,2.8120e-02
3.4655812,2.9218e-02
3.5864713,2.8579e-02
3.7007329,2.7844e-02
3.8168898,2.9554e-02
3.9318452,2.8004e-02
4.0465713,2.7775e-02
4.1613650,2.7432e-02
4.2915621,2.7179e-02
4.4046125,2.5342e-02
4.5120425,2.4664e-02
4.6154594,2.3933e-02
4.7214003,2.5125e-02
4.8261118,2.3308e-02
4.9303308,2.3875e-02
5.0309377,2.5456e-02
5.1380391,2.5593e-02
5.2451301,2.5144e-02
5.3525510,2.6011e-02
5.4598670,2.5746e-02
5.5699153,2.5161e-02
5.6739540,2.5251e-02
5.7822766,2.5319e-02
5.8873158,2.5016e-02
5.9948668,2.6511e-02
6.1075034,4.1134e-02
6.2359881,2.8131e-02
6.3474503,2.5019e-02
6.4535608,2.5055e-02
6.5575085,2.5426e-02
6.6623659,2.5545e-02
6.7699327,2.4781e-02
6.8765564,2.6132e-02
6.9848266,2.5848e-02
7.0948768,2.6902e-02
7.2118292,5.0720e-02
7.3500280,2.5376e-02
7.4700956,2.5502e-02
7.5769696,2.7008e-02
7.6855698,2.7594e-02
7.7939091,2.7364e-02
7.9040942,2.5840e-02
8.0120258,2.7234e-02
8.1214457,2.6863e-02
8.2340708,2.6563e-02
8.3636303,2.8131e-02
8.4749117,2.7312e-02
8.5875883,2.8845e-02
8.7023373,2.7982e-02
8.8193226,2.8349e-02
8.9336395,3.0033e-02
9.0510426,2.8077e-02
9.1767569,2.7534e-02
9.2894421,2.9246e-02
9.4042482,2.7861e-02
9.5173321,2.7134e-02
9.6319647,3.5814e-02
9.7725439,2.7289e-02
