time,runtime
0.0000045,5.3229e-02
0.1270258,5.5465e-02
0.2725919,5.0834e-02
0.3997272,4.8070e-02
0.5211975,4.6669e-02
0.6375019,4.7525e-02
0.7571476,4.7212e-02
0.8820325,4.3876e-02
0.9949536,4.5977e-02
1.1153661,4.6542e-02
1.2299626,4.4814e-02
1.3437817,4.0992e-02
1.4637935,4.8589e-02
1.5773580,4.9057e-02
1.6945599,4.8240e-02
1.8655504,4.2465e-02
1.9778502,4.4023e-02
2.0968401,4.6808e-02
2.2174859,4.2321e-02
2.3290439,4.1949e-02
2.4400549,4.3717e-02
2.5511293,4.5040e-02
2.6651437,4.5331e-02
2.7764425,4.4401e-02
2.8970115,4.2716e-02
3.0085697,4.6281e-02
3.1241980,4.6830e-02
3.2535453,4.1190e-02
3.3673611,4.1899e-02
3.4771678,4.4571e-02
3.5906553,4.2863e-02
3.7029479,4.5134e-02
3.8492663,4.2050e-02
3.9669297,3.9746e-02
4.0824304,4.1049e-02
4.1951985,4.2321e-02
4.3104329,4.1775e-02
4.4532738,5.3884e-02
4.5793695,4.3513e-02
4.6974416,4.4549e-02
4.8147707,4.4808e-02
4.9323277,4.3576e-02
5.0521498,6.6303e-02
5.1890526,4.4839e-02
5.3065848,4.9866e-02
5.4331827,4.7028e-02
5.5603862,4.5346e-02
5.6771808,4.4369e-02
5.7903748,4.4539e-02
5.9077330,4.5093e-02
6.0241108,4.3614e-02
6.1423855,4.8498e-02
6.2767067,4.8953e-02
6.3992057,4.6013e-02
6.5201592,4.6958e-02
6.6410627,4.9843e-02
6.7643657,4.4896e-02
6.8816390,4.3943e-02
7.0406051,5.8780e-02
7.1727815,5.0027e-02
7.3019743,4.8684e-02
7.4545736,4.7423e-02
7.5747461,5.3330e-02
7.6967969,4.2317e-02
7.8047643,4.4004e-02
7.9202518,4.6147e-02
8.0351591,4.5936e-02
8.1505594,4.4955e-02
8.2694483,4.6913e-02
8.3918142,4.4460e-02
8.5090590,4.2661e-02
8.6256199,4.5232e-02
8.7413731,4.5318e-02
8.8618708,4.5858e-02
8.9833879,4.9418e-02
9.1066771,5.0362e-02
9.2286425,4.7931e-02
9.3606548,4.5081e-02
9.4795179,5.1029e-02
9.6068716,4.5620e-02
9.7261047,4.4052e-02
9.8405685,4.3370e-02
9.9538107,4.7727e-02
10.0773592,4.8503e-02
10.2008085,4.8492e-02
10.3201704,4.9177e-02
10.4905596,4.5733e-02
10.6055613,6.0776e-02
10.7375765,4.8435e-02
10.8568048,4.5535e-02
10.9745264,4.7663e-02
11.0942020,4.5769e-02
11.2145128,4.8375e-02
11.3338785,4.8168e-02
11.4578791,4.5863e-02
11.5758572,4.5871e-02
11.6964893,4.4030e-02
11.8139811,4.9052e-02
11.9352512,4.6203e-02
12.0564213,4.9340e-02
12.1805506,4.6761e-02
12.2996550,4.3061e-02
12.4317427,4.6878e-02
12.5525303,5.0897e-02
12.6735268,4.6647e-02
12.7931919,4.8303e-02
12.9121466,4.6374e-02
13.0337515,4.7175e-02
13.1552162,4.7164e-02
13.2762976,4.7635e-02
13.3949041,4.5860e-02
13.5449686,4.8548e-02
13.6653671,6.2708e-02
13.7992640,4.5048e-02
13.9167967,4.5502e-02
14.0313292,4.9106e-02
14.1554508,4.5834e-02
14.2917461,4.8626e-02
14.4141207,5.0198e-02
14.5399771,5.0694e-02
14.6632309,4.9051e-02
14.7825193,4.7068e-02
14.9019547,4.7818e-02
15.0220404,4.6353e-02
15.1405067,4.8259e-02
15.2648239,4.7819e-02
15.4023342,4.7163e-02
15.5241203,4.6725e-02
15.6436357,5.4723e-02
15.7706680,4.7503e-02
15.8928442,4.7086e-02
16.0108757,4.6119e-02
16.1293583,4.9050e-02
16.2497635,4.6618e-02
16.3710537,4.9651e-02
16.4982910,6.6722e-02
16.6348476,4.5204e-02
16.7503796,4.2748e-02
16.8608665,4.2043e-02
16.9739780,4.3686e-02
17.0913239,4.6290e-02
17.2219543,4.5006e-02
17.3479099,4.3816e-02
17.4661846,4.6489e-02
17.5982609,4.7071e-02
17.7215519,4.5920e-02
17.8429794,8.9433e-02
18.0107079,5.3041e-02
18.1421165,4.4536e-02
18.2632141,4.7497e-02
18.3851204,4.8617e-02
18.5174408,4.8476e-02
18.6380253,5.2175e-02
18.7668591,4.7268e-02
18.8873978,4.5686e-02
19.0058384,4.9229e-02
19.1260223,4.5728e-02
19.2433395,4.7458e-02
19.3641815,4.7741e-02
19.4865894,4.5337e-02
19.6264515,4.7738e-02
19.7467365,6.0075e-02
19.8788395,4.3615e-02
19.9938126,4.6111e-02
20.1110535,4.6999e-02
20.2295341,4.5811e-02
20.3463001,4.5307e-02
20.4636841,4.6747e-02
20.5851841,4.7879e-02
20.7068214,5.1851e-02
20.8306046,4.9279e-02
20.9530945,4.9460e-02
21.0806351,4.8782e-02
21.2018070,4.7327e-02
21.3194809,4.9560e-02
21.4379940,4.8705e-02
21.5689850,4.6158e-02
21.6875477,4.8508e-02
21.8144321,4.8339e-02
21.9400158,4.9163e-02
22.0646706,4.7723e-02
22.1902847,4.6960e-02
22.3120766,5.0535e-02
22.4380341,4.9137e-02
22.5909996,4.6490e-02
22.7111778,4.9478e-02
22.8313255,4.7016e-02
22.9519806,4.8855e-02
23.0733280,5.1428e-02
23.1977215,4.6512e-02
23.3194065,4.6506e-02
23.4431686,4.4188e-02
23.5640507,4.6315e-02
23.6885338,4.5833e-02
23.8251972,4.8870e-02
23.9549637,4.7459e-02
24.0865059,5.4372e-02
24.2198181,4.8547e-02
24.3884583,4.4264e-02
24.5197144,3.7297e-02
