time,runtime
0.1082753,1.8744e-02
0.2560380,1.6548e-02
0.3804349,1.9290e-02
0.5008450,2.0346e-02
0.6189463,1.8549e-02
0.7388062,1.8338e-02
0.8581803,2.3837e-02
0.9759157,1.9031e-02
1.0982391,1.7112e-02
1.2108482,1.9111e-02
1.3247526,1.9023e-02
1.4484643,1.5323e-02
1.5636444,1.3711e-02
1.6816163,1.2938e-02
1.8500930,1.5454e-02
1.9623823,1.5465e-02
2.0773180,1.9514e-02
2.1986411,1.8841e-02
2.3105702,1.8471e-02
2.4223738,1.7678e-02
2.5346689,1.6454e-02
2.6468196,1.8321e-02
2.7597711,1.6665e-02
2.8792589,1.7746e-02
2.9919543,1.6600e-02
3.1074491,1.6742e-02
3.2224998,3.1039e-02
3.3498316,1.7519e-02
3.4625571,1.4608e-02
3.5753536,1.5299e-02
3.6877348,1.5206e-02
3.8325412,1.6710e-02
3.9502482,1.6678e-02
4.0630631,1.9360e-02
4.1808987,1.4294e-02
4.2934027,1.7028e-02
4.4364119,1.6856e-02
4.5651441,1.4221e-02
4.6795778,1.7857e-02
4.7987418,1.6026e-02
4.9173360,1.4985e-02
5.0347924,1.7351e-02
5.1732297,1.5820e-02
5.2900205,1.6558e-02
5.4137764,1.9403e-02
5.5427327,1.7650e-02
5.6607718,1.6406e-02
5.7751665,1.5205e-02
5.8902354,1.7491e-02
6.0090137,1.5094e-02
6.1263866,1.5992e-02
6.2483120,2.8388e-02
6.3845420,1.4661e-02
6.5051165,1.5036e-02
6.6260056,1.5051e-02
6.7505393,1.3820e-02
6.8661342,1.5498e-02
6.9845667,5.6035e-02
7.1575270,1.5248e-02
7.2872596,1.4708e-02
7.4101076,4.4459e-02
7.5589762,1.5763e-02
7.6832323,1.3561e-02
7.7920213,1.2735e-02
7.9048815,1.5364e-02
8.0217104,1.3443e-02
8.1372938,1.3263e-02
8.2534151,1.6030e-02
8.3760195,1.5788e-02
8.4937916,1.5265e-02
8.6083555,1.7257e-02
8.7282734,1.3097e-02
8.8454275,1.6440e-02
8.9690495,1.4332e-02
9.0928984,1.3775e-02
9.2148752,1.3764e-02
9.3460245,1.4627e-02
9.4649029,1.4612e-02
9.5907135,1.6155e-02
9.7106276,1.5474e-02
9.8243656,1.6196e-02
9.9391975,1.4607e-02
10.0613661,1.5986e-02
10.1850986,1.5704e-02
10.3057079,1.4456e-02
10.4542494,3.6303e-02
10.5910120,1.4542e-02
10.7222281,1.5346e-02
10.8425732,1.4225e-02
10.9590282,1.5495e-02
11.0784798,1.5719e-02
11.1995678,1.4939e-02
11.3184986,1.5377e-02
11.4410486,1.6824e-02
11.5607681,1.5083e-02
11.6822472,1.4239e-02
11.7985420,1.5436e-02
11.9205580,1.4687e-02
12.0405636,1.5851e-02
12.1655846,1.4959e-02
12.2840919,1.5557e-02
12.4147320,1.7003e-02
12.5370045,1.5523e-02
12.6599236,1.3596e-02
12.7789660,1.4223e-02
12.8975916,1.4553e-02
13.0177622,1.5986e-02
13.1382875,1.6922e-02
13.2604456,1.5845e-02
13.3802662,1.4631e-02
13.5266666,1.8299e-02
13.6488504,1.6509e-02
13.7842960,1.4965e-02
13.8997622,1.7028e-02
14.0146151,1.6699e-02
14.1393442,1.6100e-02
14.2735224,1.8221e-02
14.3983870,1.5731e-02
14.5242643,1.5710e-02
14.6470184,1.6205e-02
14.7677155,1.4798e-02
14.8864164,1.5536e-02
15.0060301,1.6003e-02
15.1238966,1.6595e-02
15.2451658,1.9643e-02
15.3719759,3.0355e-02
15.5070810,1.7033e-02
15.6297321,1.3896e-02
15.7556314,1.5033e-02
15.8776426,1.5195e-02
15.9962158,1.4652e-02
16.1142921,1.5064e-02
16.2362156,1.3545e-02
16.3547630,1.6287e-02
16.4813194,1.6966e-02
16.6196976,1.5147e-02
16.7338219,1.6555e-02
16.8466110,1.4254e-02
16.9585323,1.5443e-02
17.0760975,1.5223e-02
17.2057819,1.6170e-02
17.3283558,1.9540e-02
17.4497890,1.6393e-02
