time,runtime
0.0532360,3.1139e-02
0.1824959,4.2971e-02
0.3234313,2.7677e-02
0.4478022,2.5230e-02
0.5678691,2.3892e-02
0.6850296,2.5991e-02
0.8043620,2.6487e-02
0.9259115,2.3495e-02
1.0409333,2.6947e-02
1.1619135,2.4278e-02
1.2747822,2.5039e-02
1.3847787,3.9472e-02
1.5123875,2.6497e-02
1.6264204,2.7286e-02
1.7428052,7.6839e-02
1.9080178,2.4478e-02
2.0218782,2.5521e-02
2.1436508,2.5612e-02
2.2598093,2.2910e-02
2.3709984,2.3487e-02
2.4837773,2.4014e-02
2.5961714,2.3681e-02
2.7104797,2.2647e-02
2.8208592,2.5403e-02
2.9397295,2.4297e-02
3.0548563,2.5319e-02
3.1710308,2.3925e-02
3.2947409,2.5087e-02
3.4092627,2.5439e-02
3.5217414,2.4931e-02
3.6335211,2.5554e-02
3.7480910,5.5869e-02
3.8913183,2.9196e-02
4.0066810,2.8694e-02
4.1234813,2.8481e-02
4.2375216,2.8202e-02
4.3522134,2.7883e-02
4.5071607,2.8329e-02
4.6228881,2.8649e-02
4.7419963,2.8686e-02
4.8595843,2.9491e-02
4.9759064,2.9035e-02
5.1184545,2.7186e-02
5.2338939,2.6904e-02
5.3564563,2.7668e-02
5.4802160,3.1407e-02
5.6057401,2.6924e-02
5.7215552,2.4928e-02
5.8349190,2.6517e-02
5.9528308,2.7342e-02
6.0677271,2.9107e-02
6.1908855,2.9029e-02
6.3256617,2.9896e-02
6.4452205,3.0453e-02
6.5671225,3.0043e-02
6.6909113,3.0034e-02
6.8092670,2.8940e-02
6.9255843,3.0154e-02
7.0993876,2.7498e-02
7.2228107,3.4879e-02
7.3506637,2.8531e-02
7.5019994,2.8961e-02
7.6280785,2.8275e-02
7.7391162,2.6281e-02
7.8487706,2.6486e-02
7.9664011,2.7109e-02
8.0811005,2.6616e-02
8.1955204,2.7241e-02
8.3163671,2.9880e-02
8.4362793,2.7676e-02
8.5517254,2.7993e-02
8.6708574,2.7827e-02
8.7866945,2.8160e-02
8.9077311,2.9758e-02
9.0328074,2.9350e-02
9.1570415,2.8519e-02
9.2765789,4.2241e-02
9.4057379,2.8998e-02
9.5305490,3.1486e-02
9.6524944,2.9714e-02
9.7701597,2.7563e-02
9.8839426,2.8911e-02
10.0015488,3.1185e-02
10.1258640,3.1011e-02
10.2493057,2.9101e-02
10.3693495,6.0815e-02
10.5362949,2.8364e-02
10.6663542,2.8411e-02
10.7860146,2.8656e-02
10.9023466,2.8566e-02
11.0221949,2.8021e-02
11.1399851,3.0739e-02
11.2628908,2.7615e-02
11.3820486,2.9954e-02
11.5037451,2.8920e-02
11.6217308,3.1889e-02
11.7405214,3.0222e-02
11.8630362,3.0254e-02
11.9814596,3.0850e-02
12.1057663,3.1736e-02
12.2273140,2.8953e-02
12.3427181,4.3621e-02
12.4786224,3.0058e-02
12.6034298,2.8144e-02
12.7201767,2.9847e-02
12.8415117,2.7916e-02
12.9585228,2.9573e-02
13.0809307,2.9138e-02
13.2023859,2.9407e-02
13.3239346,2.8378e-02
13.4407692,2.7428e-02
13.5935183,2.7009e-02
13.7280798,2.7540e-02
13.8443174,2.7872e-02
13.9623013,2.5306e-02
14.0804396,2.7961e-02
14.2012882,4.2617e-02
14.3403740,2.8351e-02
14.4643240,3.0497e-02
14.5906734,2.7563e-02
14.7122841,2.6762e-02
14.8295898,2.7657e-02
14.9497786,2.7640e-02
15.0683985,2.6806e-02
