time,runtime
0.0000021,3.3256e-02
0.0332636,3.5187e-02
0.0684560,3.4286e-02
0.1027444,3.5883e-02
0.1386407,3.7139e-02
0.1757820,3.3977e-02
0.2097611,3.2513e-02
0.2422796,3.3608e-02
0.2758900,3.4456e-02
0.3103520,3.4502e-02
0.3448566,4.0036e-02
0.3848950,3.5945e-02
0.4208455,3.2053e-02
0.4529010,3.4632e-02
0.4875351,3.3771e-02
0.5213121,3.5200e-02
0.5565178,3.4997e-02
0.5915173,4.0082e-02
0.6316047,3.5769e-02
0.6673792,3.5802e-02
0.7031841,3.4714e-02
0.7379004,3.4030e-02
0.7719362,3.2904e-02
0.8048431,3.6876e-02
0.8417247,3.2387e-02
0.8741270,3.3695e-02
0.9078243,3.7911e-02
0.9457407,3.5510e-02
0.9812534,3.5372e-02
1.0166281,3.4289e-02
1.0509226,3.3799e-02
1.0847239,3.3781e-02
1.1185110,3.5027e-02
1.1535435,3.3527e-02
1.1870732,3.2659e-02
1.2197382,3.5073e-02
1.2548141,3.3394e-02
1.2882136,3.3190e-02
1.3214096,3.2696e-02
1.3541113,3.4389e-02
1.3885028,3.4088e-02
1.4225936,3.2391e-02
1.4549870,3.5082e-02
1.4900749,3.3604e-02
1.5236819,3.4825e-02
1.5585102,3.5020e-02
1.5935366,3.2721e-02
1.6262599,3.7862e-02
1.6641252,3.2219e-02
1.6963505,3.4903e-02
1.7312562,3.3299e-02
1.7645704,3.1782e-02
1.7963547,3.3592e-02
1.8299489,3.2078e-02
1.8620291,4.9628e-02
1.9116600,3.4284e-02
1.9459496,3.2972e-02
1.9789244,3.3920e-02
2.0128469,3.3599e-02
2.0464485,3.3285e-02
2.0797358,3.3692e-02
2.1134341,3.2761e-02
2.1462004,3.3097e-02
2.1793003,3.3592e-02
2.2129066,3.3197e-02
2.2461059,3.3810e-02
2.2799182,5.0616e-02
2.3305399,5.2811e-02
2.3833539,3.2934e-02
2.4162934,3.5638e-02
2.4519377,3.3964e-02
2.4859076,3.2635e-02
2.5185452,3.5197e-02
2.5537529,3.4905e-02
2.5886605,4.3636e-02
2.6323025,4.1914e-02
2.6742220,3.6756e-02
2.7109809,3.6630e-02
2.7476134,3.4214e-02
2.7818329,3.4234e-02
2.8160701,3.2644e-02
2.8487165,3.3625e-02
2.8823471,3.2719e-02
2.9150720,3.1568e-02
2.9466457,3.3819e-02
2.9804678,3.3684e-02
3.0141575,3.1174e-02
3.0453346,3.2407e-02
3.0777562,3.3322e-02
3.1110840,3.4488e-02
3.1455781,3.2880e-02
3.1784644,3.5413e-02
3.2138832,3.5168e-02
3.2490540,3.3943e-02
3.2830000,3.3626e-02
3.3166320,3.3899e-02
3.3505340,6.4043e-02
3.4145830,3.6650e-02
3.4512353,3.5227e-02
3.4864678,3.7036e-02
3.5235095,3.4814e-02
3.5583296,3.6842e-02
3.5951746,3.5141e-02
3.6303186,3.5418e-02
3.6657422,3.4598e-02
3.7003431,3.3812e-02
3.7341576,3.3562e-02
3.7677226,3.5510e-02
3.8032351,3.4501e-02
3.8377416,3.3690e-02
3.8714340,5.1577e-02
3.9230168,3.4568e-02
3.9575901,3.2960e-02
3.9905527,3.3595e-02
4.0241499,3.5688e-02
4.0598445,3.6462e-02
4.0963125,3.5312e-02
4.1316266,3.5069e-02
4.1667104,3.3485e-02
4.2001977,3.4557e-02
4.2347574,3.6129e-02
4.2708888,3.7365e-02
4.3082561,3.4597e-02
4.3428559,3.3106e-02
4.3759646,3.2768e-02
4.4087353,3.3546e-02
4.4422874,3.5235e-02
4.4775286,3.4854e-02
4.5123887,3.4529e-02
4.5469198,3.4103e-02
4.5810294,3.5481e-02
4.6165166,3.5460e-02
4.6519823,3.5103e-02
4.6870909,3.2886e-02
4.7199831,3.2473e-02
4.7524590,3.6897e-02
4.7893591,3.5007e-02
4.8243694,4.2581e-02
4.8669558,6.8749e-02
4.9357071,3.4782e-02
4.9704924,3.3698e-02
5.0041928,3.2889e-02
5.0370879,3.5707e-02
5.0727973,3.3315e-02
5.1061192,4.0657e-02
5.1467786,3.9025e-02
5.1858063,3.7835e-02
5.2236443,3.4622e-02
5.2582693,4.7243e-02
5.3055182,3.4257e-02
5.3397779,5.3207e-02
5.3929906,6.8587e-02
5.4615831,3.6163e-02
5.4977517,3.8133e-02
5.5358906,3.5263e-02
5.5711565,3.6357e-02
5.6075158,3.7153e-02
5.6446795,3.6233e-02
5.6809192,3.3905e-02
5.7148266,5.3703e-02
5.7685323,1.8550e-01
5.9540319,3.6330e-02
5.9903679,3.5688e-02
6.0260625,3.4028e-02
6.0600963,3.5445e-02
6.0955443,3.2782e-02
6.1283293,3.5000e-02
6.1633315,3.4320e-02
6.1976538,3.3104e-02
6.2307634,3.7213e-02
6.2679825,3.1074e-02
6.2990627,3.2362e-02
6.3314271,3.4523e-02
6.3659563,3.3606e-02
6.3995652,3.2932e-02
6.4324999,4.0148e-02
6.4726510,3.5258e-02
6.5079150,3.4067e-02
6.5419879,3.3706e-02
6.5756969,3.5015e-02
6.6107144,3.3509e-02
6.6442261,3.4304e-02
6.6785326,3.4215e-02
6.7127504,3.4541e-02
6.7472939,3.3569e-02
6.7808652,3.3309e-02
6.8141770,3.3994e-02
6.8481731,3.4084e-02
6.8822598,3.3247e-02
6.9155097,3.5302e-02
6.9508147,3.3553e-02
6.9843712,3.3470e-02
7.0178432,3.4091e-02
7.0519371,3.4635e-02
7.0865746,3.3842e-02
7.1204190,3.4594e-02
7.1550159,3.4013e-02
7.1890345,3.4922e-02
7.2239618,3.4824e-02
7.2587891,3.3431e-02
7.2922230,3.2964e-02
7.3251896,3.3418e-02
7.3586102,3.2249e-02
7.3908620,3.5385e-02
7.4262533,3.4390e-02
7.4606495,3.3441e-02
7.4940958,3.2494e-02
7.5265956,3.3219e-02
7.5598202,3.4016e-02
7.5938382,3.5352e-02
7.6291966,3.3463e-02
7.6626620,3.3993e-02
7.6966610,3.4353e-02
7.7310195,3.3905e-02
7.7649307,3.2512e-02
7.7974486,3.5685e-02
7.8331399,3.6305e-02
7.8694510,3.5271e-02
7.9047251,6.3677e-02
7.9684081,3.3077e-02
8.0014906,3.2934e-02
8.0344305,3.4277e-02
8.0687141,3.4014e-02
8.1027431,3.3815e-02
8.1365623,3.5483e-02
8.1720476,3.5403e-02
8.2074528,3.3541e-02
8.2409964,3.5102e-02
8.2761049,3.2434e-02
8.3085451,3.2886e-02
8.3414335,3.4101e-02
8.3755379,3.2625e-02
8.4081659,4.9524e-02
8.4576960,4.9771e-02
8.5074730,3.5247e-02
8.5427227,3.4625e-02
8.5773506,3.4360e-02
8.6117134,3.4661e-02
8.6463795,3.2241e-02
8.6786232,3.1633e-02
8.7102623,3.2858e-02
8.7431259,3.3608e-02
8.7767363,3.5366e-02
8.8121052,3.3829e-02
8.8459368,3.2885e-02
8.8788338,3.5406e-02
8.9142456,3.3307e-02
8.9475555,3.4289e-02
8.9818506,3.4225e-02
9.0160780,3.3719e-02
9.0498018,3.4080e-02
9.0838842,3.5692e-02
9.1195803,3.4876e-02
9.1544714,3.3222e-02
9.1876955,3.4234e-02
9.2219362,3.2628e-02
9.2545700,3.4316e-02
9.2888918,3.2796e-02
9.3216906,3.3851e-02
9.3555441,3.2358e-02
9.3879051,3.2915e-02
9.4208260,3.2312e-02
9.4531441,3.4391e-02
9.4875383,3.4247e-02
9.5217876,3.3217e-02
9.5550070,3.4206e-02
9.5892153,3.3569e-02
9.6227875,3.4711e-02
9.6575012,3.4425e-02
9.6919327,3.2412e-02
9.7243500,3.3531e-02
9.7578878,3.3867e-02
9.7917566,3.5409e-02
9.8271723,3.5237e-02
9.8624153,3.6342e-02
9.8987608,3.4668e-02
9.9334345,3.3501e-02
9.9669380,3.4956e-02
10.0019007,3.7382e-02
10.0392885,3.5426e-02
10.0747213,3.3070e-02
10.1077967,3.2944e-02
10.1407557,3.5799e-02
10.1765575,3.3515e-02
10.2100782,3.2332e-02
10.2424135,3.3066e-02
10.2754822,3.5409e-02
10.3108940,3.3210e-02
10.3441105,3.4875e-02
10.3789883,3.3019e-02
10.4120131,3.4204e-02
10.4462204,3.1633e-02
10.4778557,3.2854e-02
10.5107126,3.3116e-02
10.5438347,3.2966e-02
10.5768042,3.2006e-02
10.6088161,3.3609e-02
10.6424303,3.4533e-02
10.6769695,3.8233e-02
10.7152061,3.3445e-02
10.7486544,3.4652e-02
10.7833080,3.6359e-02
10.8196726,3.5852e-02
10.8555279,3.7575e-02
10.8931046,3.5659e-02
10.9287672,1.1435e-01
11.0431194,3.7691e-02
11.0808134,3.2748e-02
11.1135664,3.2510e-02
11.1460791,3.2702e-02
11.1787977,3.4346e-02
11.2131500,3.5993e-02
11.2491455,3.4422e-02
11.2835703,3.3625e-02
11.3172007,3.9546e-02
11.3567495,3.3774e-02
11.3905296,3.2911e-02
11.4234467,3.2989e-02
11.4564390,3.2688e-02
11.4891405,5.0630e-02
11.5397768,3.4465e-02
11.5742445,3.7202e-02
11.6114502,3.5999e-02
11.6474648,3.3951e-02
11.6814213,3.7142e-02
11.7185698,3.2725e-02
11.7513008,3.3647e-02
11.7849541,3.5486e-02
11.8204422,3.3031e-02
11.8534784,3.1742e-02
11.8852234,3.5318e-02
11.9205446,3.5879e-02
11.9564266,3.4690e-02
11.9911232,3.3898e-02
12.0250263,3.4314e-02
12.0593462,3.3357e-02
12.0927057,3.3894e-02
12.1266031,3.5646e-02
12.1622524,3.4928e-02
12.1971827,3.3164e-02
12.2303495,3.3732e-02
12.2640867,3.4641e-02
12.2987309,3.5437e-02
12.3341713,3.5335e-02
12.3695087,3.5056e-02
12.4045668,3.4800e-02
12.4393692,3.3999e-02
12.4733706,4.1278e-02
12.5146513,3.5095e-02
12.5497522,5.1176e-02
12.6009340,4.0938e-02
12.6418781,4.0641e-02
12.6825218,3.3840e-02
12.7163649,3.5681e-02
12.7520514,3.4754e-02
12.7868109,3.4788e-02
12.8216057,3.6328e-02
12.8579388,3.6311e-02
12.8942528,3.3602e-02
12.9278584,3.4022e-02
12.9618826,3.5811e-02
12.9976997,3.5785e-02
13.0334911,3.3368e-02
13.0668612,3.2548e-02
13.0994158,3.4061e-02
13.1334791,3.4934e-02
13.1684160,3.5198e-02
13.2036200,3.3962e-02
13.2375879,3.3867e-02
13.2714586,3.6354e-02
13.3078146,3.6694e-02
13.3445110,3.4872e-02
13.3793869,3.5212e-02
13.4146042,3.3981e-02
13.4485884,3.5268e-02
13.4838610,3.5587e-02
13.5194511,3.4696e-02
13.5541496,3.5852e-02
13.5900040,3.4628e-02
13.6246357,3.3617e-02
13.6582575,3.4432e-02
13.6926928,3.6237e-02
13.7289362,3.4995e-02
13.7639341,3.5007e-02
13.7989435,3.4582e-02
13.8335314,3.4616e-02
13.8681507,3.5395e-02
13.9035492,3.4166e-02
13.9377174,3.3116e-02
13.9708357,4.7639e-02
14.0184803,3.4762e-02
14.0532455,3.8444e-02
14.0916958,3.2534e-02
14.1242313,3.1398e-02
14.1556330,3.0712e-02
14.1863470,3.2973e-02
14.2193260,3.2304e-02
14.2516327,3.4696e-02
14.2863350,3.2956e-02
14.3192959,3.7612e-02
14.3569136,3.2570e-02
14.3894892,3.2791e-02
14.4222870,3.2662e-02
14.4549513,3.2985e-02
14.4879427,3.2595e-02
14.5205402,5.1865e-02
14.5724115,3.3203e-02
14.6056204,3.3268e-02
14.6388903,3.1888e-02
14.6707821,9.3000e-02
14.7637882,3.6460e-02
14.8002510,3.7507e-02
14.8377724,3.5960e-02
14.8737383,3.9892e-02
14.9136333,3.6572e-02
14.9502115,3.4671e-02
14.9848881,3.5271e-02
15.0201626,3.6560e-02
15.0567369,3.7249e-02
15.0939922,3.4119e-02
15.1281176,3.4144e-02
15.1622667,3.4114e-02
15.1963863,3.3023e-02
15.2294149,3.2615e-02
15.2620325,3.1565e-02
15.2936039,3.1490e-02
15.3250961,3.3814e-02
15.3589134,3.2996e-02
15.3919239,3.3814e-02
15.4257441,3.5180e-02
15.4609385,3.2605e-02
15.4935465,3.2176e-02
15.5257254,3.2236e-02
