time,runtime
0.0000069,2.2913e-01
2.5078809,3.6945e-01
3.3599496,5.9617e-02
4.1307054,3.2948e-01
8.7245884,2.7518e-02
9.5123529,1.8742e-02
19.3196163,6.2204e-01
20.7138901,3.8713e-01
22.1012135,2.6206e-01
25.5753136,5.3857e-01
26.7898502,4.3156e-01
27.9149113,1.9069e+00
30.6346836,7.2359e-02
31.5156384,3.4081e-01
32.7270889,2.5833e+00
36.3377762,2.9278e-01
37.2562141,3.1680e+00
41.3687363,3.4612e-01
42.3495522,2.7219e+00
45.9757843,3.4384e-01
54.0189629,5.1616e-01
55.2695847,3.4958e-01
58.5704269,2.6011e-01
60.8308830,4.8309e-01
62.0872078,1.7075e-01
62.8008728,1.3139e+00
64.7892914,3.4279e-01
65.7345734,2.3396e-01
68.3816299,3.9619e-01
69.4671478,9.6608e-02
72.2016373,4.2377e-02
73.0114517,3.3825e-01
76.0924988,4.6722e-02
76.7175140,2.5892e+00
79.8690796,5.2407e-01
88.0725327,5.6256e-01
90.8926468,4.2122e-01
92.0233994,2.2946e+00
95.0292816,3.9257e-01
97.1635742,3.5811e-01
98.1309280,5.9265e-02
98.8977814,1.4730e+00
101.1763992,3.9450e-01
102.4380569,1.5750e+00
104.9045486,6.0505e-01
106.1668549,1.4745e-02
108.7972641,1.9664e-02
109.9183197,5.6847e-01
112.5665817,5.8918e-01
116.0441284,1.1747e-01
117.2344971,5.7429e-01
128.1028290,1.7233e-01
129.0341797,2.0604e+00
131.6828461,2.4931e-01
133.0201874,1.4034e+00
135.1069641,3.6841e-01
136.5975037,1.5646e+00
138.8973541,2.4257e-01
140.8482361,4.5447e-01
141.9724731,3.7787e-01
143.0596313,2.4446e-01
145.3706360,2.7944e-02
146.0412445,4.1624e-01
148.7715759,5.4029e-01
150.2783966,3.1254e-01
163.0570679,3.9085e-03
163.8527069,1.5929e+00
165.9566040,4.5708e-01
167.0361176,3.4061e-01
169.3745880,5.9879e-01
170.7179413,1.2339e-01
173.3280487,3.5833e-01
174.3078156,3.5921e-01
177.4983978,3.5129e-01
178.5129700,6.1201e-02
179.2209320,1.5612e+00
181.6250153,5.0089e-01
182.7453461,1.9901e+00
185.5562439,5.7783e-01
186.7856293,5.9929e-01
189.3973236,4.0488e-02
190.1061401,2.5416e-01
194.0176239,2.2138e-01
195.1689758,2.6623e-01
208.0328369,6.9681e-02
209.4500275,1.0650e-02
210.3959503,2.5638e-01
211.5292664,1.5037e+00
213.7047424,3.4857e-01
214.7106018,3.0088e-01
217.8532715,4.3531e-01
219.2117615,3.3280e-01
221.6249695,2.4308e-01
222.5464172,4.0550e-01
223.6363983,1.2604e+00
226.4245300,5.4806e-01
228.8086700,1.4584e-02
229.8202057,3.8931e-01
230.8608856,4.8024e-02
231.6042786,7.7877e+00
239.8447876,4.8803e-01
243.1641235,2.3893e-01
245.7033539,4.5252e-01
246.7877960,2.1612e+00
249.6997986,3.7354e-01
252.5442200,2.7290e-01
253.6875153,2.1062e+00
256.7384338,2.5286e-01
259.9217834,2.3061e-02
260.6195679,2.6954e+00
264.4858704,3.1126e-01
267.8177795,1.3176e-01
268.6048584,8.0001e+00
277.1513062,6.3224e-02
278.9587402,2.3982e-01
279.6989441,2.3652e-01
281.7173157,4.5022e-01
283.1306763,2.7134e-01
286.5146790,3.2599e-01
287.3904419,1.4669e-01
289.5674744,2.8923e-01
290.4617004,3.1264e-01
292.5071106,3.3045e-01
293.3295593,2.6761e-01
296.3372803,1.2756e-01
297.1089172,3.9137e-01
300.3308411,3.8657e-01
301.4528198,1.6223e+00
303.8804016,3.4791e-01
313.1368408,5.2039e-02
314.3085632,4.3843e-01
315.4884338,1.7828e-01
318.6636658,8.0178e-01
321.9122620,4.6220e-01
323.1296082,1.9551e+00
325.9402771,3.0867e-01
328.0878601,3.0295e-01
329.3320007,9.1129e-02
331.7594910,3.6712e-01
334.2058716,3.6212e-01
335.3213501,2.3275e+00
338.4072876,9.7402e+00
348.9833679,9.2365e-02
351.4385986,3.0500e-01
