time,runtime
0.2291385,2.7851e-02
2.8773298,8.8560e-03
3.4195716,3.8313e-02
4.4601889,2.6109e-02
8.7521114,1.5305e-02
9.5311003,1.8094e-02
19.9416618,1.8366e-02
21.1010227,1.7303e-02
22.3633556,1.1945e-02
26.1138859,2.2424e-02
27.2214165,1.0373e-03
29.8218517,2.4087e-02
30.7070465,1.5006e-02
31.8564529,2.1768e-02
35.3104248,2.1585e-02
36.6305618,2.4383e-02
40.4242401,3.2189e-02
41.7148666,3.1292e-02
45.0714607,8.4764e-03
46.3196297,1.5535e-02
54.5351295,3.3467e-02
55.6191711,1.7431e-02
58.8305435,1.5785e-02
61.3139725,1.8837e-02
62.2579651,3.4407e-02
64.1147690,4.0410e-02
65.1320877,1.1813e-02
65.9685364,2.3161e-02
68.7778320,1.6511e-02
69.5637589,8.9419e-03
72.2440186,1.1583e-02
73.3497009,5.7344e-03
76.1392288,3.3379e-02
79.3067703,2.5530e-02
80.3931503,1.5850e-02
88.6350937,2.4802e-02
91.3138733,3.3220e-02
94.3180161,1.5939e-02
95.4218521,2.3686e-02
97.5216904,1.4455e-02
98.1901932,2.9734e-02
100.3708191,2.5685e-02
101.5709076,1.4458e-02
104.0130997,4.0993e-02
105.5096130,2.0580e-02
106.1816101,2.1690e-02
108.8169327,1.3295e-02
110.4867859,9.9491e-02
113.1557693,2.5840e-02
116.1615982,1.7824e-02
117.8087921,9.1829e-03
128.2751617,3.4065e-02
131.0946198,2.0798e-02
131.9321594,1.9822e-02
134.4235382,2.2819e-02
135.4753723,1.3478e-02
138.1621552,3.9178e-02
139.1399231,7.1644e-04
141.3027191,4.0597e-02
142.3503571,1.8542e-02
143.3040924,1.1897e-02
145.3985901,2.2045e-02
146.4574890,1.5270e-02
149.3118744,1.4358e-02
150.5909424,2.6092e-02
163.0609741,3.6114e-02
165.4456482,1.6094e-03
166.4136963,1.8474e-02
167.3767395,2.5554e-02
169.9733887,2.0674e-02
170.8413391,2.3312e-02
173.6863861,9.3273e-03
174.6670227,3.2556e-02
177.8496857,3.4192e-02
178.5741730,1.9570e-02
180.7821503,1.4658e-01
182.1259155,1.8221e-02
184.7354736,2.0558e-02
186.1340637,9.8273e-03
187.3849182,1.9548e-02
189.4378052,2.5123e-02
190.3603058,2.9250e-02
194.2390137,2.2470e-02
195.4352112,1.9278e+00
208.1025085,2.6933e-02
209.4606781,2.1449e-02
210.6523285,1.0731e-02
213.0329437,4.0667e-02
214.0533142,1.0756e-02
215.0114746,8.3230e-03
218.2885895,1.0888e-02
219.5445709,3.9456e-02
221.8680420,2.5464e-03
222.9519196,2.9060e-02
224.8967743,1.5016e-02
226.9725952,3.0377e-02
228.8232574,3.1008e-02
230.2095184,3.1243e-02
230.9089050,4.0702e-02
239.3919830,1.6891e-02
240.3328247,4.0440e-02
243.4030457,1.2342e-02
246.1558685,2.1102e-02
248.9490356,2.4090e-02
250.0733337,2.7956e-02
252.8171234,2.0303e-02
255.7937469,1.6645e-02
256.9913025,1.7285e-02
259.9448547,2.5699e-02
263.3149719,1.2814e-02
264.7971497,2.4802e-02
267.9495544,1.7952e-02
276.6050110,1.1682e-02
277.2145386,1.5044e-02
279.1985474,1.8033e-02
279.9354858,1.6257e-02
282.1675415,1.4292e-02
283.4020081,9.9367e-03
286.8406677,3.1376e-02
287.5371399,1.3723e+00
289.8567200,2.6525e-02
290.7743530,2.4821e-02
292.8375854,1.9702e-02
293.5971680,1.4042e-02
296.4648438,1.5585e-02
297.5003052,2.3540e-02
300.7174072,3.6853e-02
303.0751343,3.1914e-02
304.2283020,3.2371e-02
313.1888733,1.4333e-02
314.7469788,2.0382e-02
315.6667175,1.1040e-02
319.4654541,1.4780e-02
322.3744812,3.6427e-02
325.0847168,3.2781e-02
326.2489624,6.7428e-03
328.3908081,1.2780e-02
329.4231567,2.5640e-02
332.1266174,2.5847e-02
334.5679932,3.7983e-02
337.6488037,2.1780e-02
348.1475525,4.2890e-02
349.0757141,1.1886e-02
351.7436218,1.6752e-02
