time,runtime
2.4217165,6.5102e-01
3.6511972,5.7533e-01
14.0512753,9.7245e-01
15.7796440,2.9224e-01
17.6786880,3.6531e-01
20.3347797,4.6278e-01
21.0710659,3.4436e-01
22.3618240,1.1455e+00
24.2990417,3.7901e-01
25.6747570,1.1094e+00
27.3219852,2.6652e-01
28.5664463,2.5112e-01
31.8572540,4.5621e-01
33.4376144,4.3434e-01
35.9067688,1.1174e+00
37.8393211,2.8570e-01
48.4536438,5.6464e-01
51.8671494,2.4805e-01
53.1477356,2.1976e+00
56.1500473,1.9508e-01
59.1169930,2.9844e-01
60.2561264,2.0208e+00
63.0329895,2.6561e-01
65.5978928,3.4606e-01
66.3807983,1.8506e+00
69.1253204,2.8270e-01
71.5702362,3.2991e-01
74.4537811,3.3021e-01
83.6229706,3.7027e-01
85.4848557,3.4763e-01
87.6379013,4.5404e-01
89.0803986,2.7885e-01
91.6849823,3.0979e-01
92.6643295,3.4882e-01
95.2251740,1.4598e-01
95.7539749,2.4654e-01
98.6330643,2.5484e-01
99.9407959,5.5930e-01
102.3554688,4.1297e-01
104.0114059,1.3852e+00
106.2918472,4.0198e-01
107.5727386,1.8810e+00
110.4605179,8.8596e+00
120.5641708,3.3577e-01
122.0476837,3.0734e-01
123.2093353,3.3209e-01
124.3234177,4.1132e-01
128.9086456,3.6255e-01
129.6884003,3.8832e-01
131.3263397,4.3805e-01
132.4900665,3.3645e-01
133.6096497,4.2241e-01
134.7469940,3.5688e-01
138.8108368,3.2353e-01
140.5795288,3.4863e-01
141.8627167,4.3316e-01
145.8237305,2.5722e+01
173.5051270,1.9820e-01
174.4105530,3.7852e-01
177.1242828,2.7459e-01
178.3077698,2.2606e-01
192.7369537,3.0025e-01
193.6979218,2.2994e+00
197.0207367,3.3385e-01
200.9749451,2.6160e-01
201.7839508,8.9003e-02
203.4318848,3.0802e-01
204.4587097,3.5994e-01
207.4532928,7.9015e-01
209.1489563,2.2522e+00
212.3246155,2.8557e-01
218.7125092,2.5778e+00
221.9391022,1.1649e+00
224.3386688,1.0704e+00
226.0705414,2.5034e-01
228.6839142,6.3928e-01
230.1689301,3.0987e-01
234.0868225,1.8193e-01
234.9960175,1.6942e+00
237.3603821,3.4353e-01
240.3677063,3.2495e-01
241.4079132,2.9031e-01
245.5794220,1.9366e+00
248.2573395,1.1855e+01
261.0093689,1.2765e+00
263.0054626,2.2533e-01
263.8791199,2.0087e+00
267.6413879,3.0836e-01
269.9279785,2.6849e-01
271.0466919,3.3320e-01
273.9067688,3.4690e-01
275.2178345,2.2760e+00
278.0032959,1.4070e+00
279.7513428,1.1562e+00
282.1578369,3.5725e-01
292.7422180,6.9081e-01
294.1179504,2.6841e-01
296.5680237,5.9122e-01
298.0224609,3.0272e+00
301.8999939,1.4676e-01
304.8277283,3.0674e-01
307.5014954,2.8541e-01
308.6658325,2.8136e-01
309.6585388,3.1522e-01
312.9221802,4.5479e-01
313.8036804,4.5939e-01
314.9313049,1.8683e-01
317.2246399,5.8703e-01
318.2663269,3.4885e-01
319.0033264,9.7230e+00
329.3328552,3.3278e-01
330.3249817,3.0261e+00
333.9990234,4.4366e-01
335.1180725,2.0264e+00
337.9508057,2.6797e-01
340.9045105,3.3891e-01
342.2077637,2.4135e-01
344.7919617,2.3503e-01
345.8257446,3.6635e-01
348.2454224,4.3117e-01
349.0542908,3.3822e-01
350.0774841,2.0262e-01
353.6033325,7.7886e-01
365.3125000,2.9875e-01
367.9410095,1.9184e-01
368.6474304,2.7502e-01
369.2985535,4.0558e-01
373.4920044,2.8751e-01
376.2865601,3.2658e-01
377.2421265,3.4163e-01
380.8365479,3.3943e-01
383.7318115,3.1150e-01
384.9989929,2.1052e+00
388.0825500,3.1479e-01
399.5744324,3.4116e-01
401.3699951,2.9308e-01
402.3389893,4.2565e-01
403.5850830,1.7644e+00
405.8694763,1.3126e-01
406.4408264,4.3860e-02
407.0817566,8.6678e-02
407.4237061,4.0202e-02
407.5111084,6.1451e-02
408.7373657,1.8007e-01
