time,runtime
0.0030574,4.9748e-03
0.0080343,2.8168e-03
0.0108536,3.4713e-03
0.0143268,3.2472e-03
0.0175760,3.4071e-03
0.0209851,3.6678e-03
0.0246549,3.6654e-03
0.0283223,3.6283e-03
0.0319526,9.4310e-04
0.0328977,4.1714e-03
0.0370712,7.8630e-03
0.0449363,3.7312e-03
0.0486696,4.0188e-03
0.0526904,3.8727e-03
0.0565652,3.5301e-03
0.0600972,3.7855e-03
0.0638849,9.1809e-04
0.0648049,3.3085e-03
0.0681185,3.6917e-03
0.0718121,3.8661e-03
0.0756803,4.2647e-03
0.0799469,3.4107e-03
0.0833597,4.5044e-03
0.0878660,3.9167e-03
0.0917847,3.5502e-03
0.0953368,3.6704e-03
0.0990106,3.7549e-03
0.1027676,1.2706e-02
0.1154752,4.1402e-03
0.1196174,3.6251e-03
0.1232444,4.8018e-03
0.1280482,5.0202e-03
0.1330703,4.0043e-03
0.1370810,4.7276e-03
0.1418106,4.3061e-03
0.1461187,4.1818e-03
0.1503026,4.5836e-03
0.1548882,3.5788e-03
0.1584690,3.7843e-03
0.1622552,4.0953e-03
0.1663524,2.9032e-03
0.1692576,3.0620e-03
0.1723216,2.8444e-03
0.1751679,3.6889e-03
0.1788586,4.3289e-03
0.1831894,4.3307e-03
0.1875221,3.4777e-03
0.1910018,3.7533e-03
0.1947571,3.5933e-03
0.1983523,3.3842e-03
0.2017385,7.3844e-04
0.2024789,3.6531e-03
0.2061341,3.3406e-03
0.2094766,3.1310e-03
0.2126095,3.2913e-03
0.2159027,9.7029e-04
0.2168750,3.5599e-03
0.2204368,3.9334e-03
0.2243722,4.0394e-03
0.2284136,3.7820e-03
0.2321976,2.7640e-03
0.2349635,3.0803e-03
0.2380458,3.4094e-03
0.2414571,3.5485e-03
0.2450077,3.2124e-03
0.2482221,3.3885e-03
0.2516126,3.6412e-03
0.2552557,3.2445e-03
0.2585028,8.2656e-04
0.2593316,3.7964e-03
0.2631295,3.8999e-03
0.2670312,3.4258e-03
0.2704589,3.4755e-03
0.2739364,3.5389e-03
0.2774772,2.9531e-03
0.2804322,3.2009e-03
0.2836350,3.2449e-03
0.2868818,3.7773e-03
0.2906612,3.5032e-03
0.2941663,4.0841e-03
0.2982524,4.9231e-03
0.3031775,3.9427e-03
0.3071220,4.6092e-03
0.3117329,3.8858e-03
0.3156206,4.0474e-03
0.3196700,3.1705e-03
0.3228424,4.1419e-03
0.3269862,3.5635e-03
0.3305517,3.5854e-03
0.3341391,3.2449e-03
0.3373857,3.5958e-03
0.3409836,3.4405e-03
0.3444265,8.9087e-04
0.3453194,3.1658e-03
0.3484876,3.7976e-03
0.3522877,3.6942e-03
0.3559843,3.7458e-03
0.3597326,4.8529e-03
0.3645879,4.2363e-03
0.3688266,1.0060e-03
0.3698556,4.0493e-03
0.3739073,3.8452e-03
0.3777549,1.0048e-03
0.3787617,3.9951e-03
0.3827588,3.8726e-03
0.3866335,3.6421e-03
0.3902781,3.4260e-03
0.3937064,3.5634e-03
0.3972718,3.8237e-03
0.4010977,3.2984e-03
0.4043981,3.3543e-03
0.4077545,7.5304e-04
0.4085097,3.6756e-03
0.4121874,3.4542e-03
0.4156437,3.6099e-03
0.4192556,3.9947e-03
0.4232525,3.5330e-03
0.4267880,3.5143e-03
0.4303045,3.9483e-03
0.4342549,3.4282e-03
0.4376853,3.5123e-03
0.4411997,9.8143e-04
0.4421833,3.4844e-03
0.4456698,4.2745e-03
0.4499464,3.7040e-03
0.4536525,3.5091e-03
0.4571636,3.1440e-03
0.4603097,3.2217e-03
0.4635335,3.1819e-03
0.4667175,3.5772e-03
0.4702968,4.2348e-03
0.4745337,4.1145e-03
0.4786503,4.2297e-03
0.4828820,3.8913e-03
0.4867753,3.7389e-03
0.4905162,3.7046e-03
0.4942230,3.0309e-03
0.4972560,3.3696e-03
0.5006277,4.3042e-03
0.5049340,3.9164e-03
0.5088530,3.1233e-03
0.5119785,3.7313e-03
0.5157120,3.6650e-03
0.5193796,7.6292e-03
0.5270114,3.7934e-03
0.5308070,3.3993e-03
0.5342084,3.6990e-03
0.5379094,3.3885e-03
0.5413000,3.2685e-03
0.5445705,3.7382e-03
0.5483109,3.3903e-03
0.5517032,3.2580e-03
0.5549634,4.0672e-03
0.5590327,3.5804e-03
0.5626152,3.1611e-03
0.5657784,9.2307e-04
0.5667035,3.5604e-03
0.5702660,3.0809e-03
0.5733490,4.1176e-03
0.5774687,4.3847e-03
0.5818560,3.6793e-03
0.5855379,3.2742e-03
0.5888143,2.4984e-03
0.5913149,3.0329e-03
0.5943503,3.2575e-03
0.5976102,2.9428e-03
0.6005551,3.3794e-03
0.6039364,2.5675e-03
0.6065075,9.9540e-04
0.6075048,2.7074e-03
0.6102142,2.5184e-03
0.6127347,2.9506e-03
0.6156874,3.4446e-03
0.6191339,3.3642e-03
0.6225007,3.3496e-03
0.6258522,2.9902e-03
0.6288445,3.2114e-03
0.6320579,2.7236e-03
0.6347836,3.4437e-03
0.6382293,2.9389e-03
0.6411702,5.0780e-03
0.6462503,3.6416e-03
0.6498945,3.5339e-03
0.6534305,4.8605e-03
0.6582932,4.3095e-03
0.6626051,3.0694e-03
0.6656771,4.1021e-03
0.6697814,3.5760e-03
0.6733595,3.9583e-03
0.6773203,9.8365e-04
0.6783061,4.0386e-03
0.6823468,3.7907e-03
0.6861395,3.9317e-03
0.6900739,3.4689e-03
0.6935453,3.7392e-03
0.6972886,3.7820e-03
0.7010728,3.8268e-03
0.7049021,3.3946e-03
0.7082993,3.7925e-03
0.7120939,3.6500e-03
0.7157459,3.6619e-03
0.7194104,3.7645e-03
0.7231774,2.9769e-03
0.7261564,4.8538e-03
0.7310122,3.6357e-03
0.7346505,3.7252e-03
0.7383782,4.0628e-03
0.7424433,9.1443e-04
0.7433598,2.7645e-03
0.7461263,4.5024e-03
0.7506313,4.1313e-03
0.7547653,3.7350e-03
0.7585025,4.1100e-03
0.7626152,1.2477e-03
0.7638809,3.4494e-03
0.7673324,4.0858e-03
0.7714202,3.4854e-03
0.7749077,5.0096e-03
0.7799199,1.7426e-02
0.7973483,3.7638e-03
0.8011146,3.3799e-03
0.8044971,3.4962e-03
0.8079956,7.4966e-04
0.8087475,3.3965e-03
0.8121462,3.8868e-03
0.8160352,3.8610e-03
0.8198987,3.9940e-03
0.8238949,3.2972e-03
0.8271944,3.2294e-03
0.8304259,3.1796e-03
0.8336077,3.4305e-03
0.8370574,3.7870e-03
0.8408465,3.8420e-03
0.8446905,4.5732e-03
0.8492662,3.1917e-03
0.8524601,3.4119e-03
0.8558741,7.7210e-04
0.8566483,3.1634e-03
0.8598138,3.2939e-03
0.8631098,3.2398e-03
0.8663521,3.2409e-03
0.8695952,2.6891e-03
0.8722863,2.8891e-03
0.8751774,3.0823e-03
0.8782616,2.3487e-03
0.8806124,3.0267e-03
0.8836410,3.0621e-03
0.8867050,3.2600e-03
0.8899670,2.8020e-03
0.8927715,2.7753e-03
0.8955489,3.4052e-03
0.8989566,3.7056e-03
0.9026644,3.2693e-03
0.9059359,3.4514e-03
0.9093895,4.0585e-03
0.9134506,3.1980e-03
0.9166508,3.3087e-03
0.9199619,3.4817e-03
0.9234483,3.4990e-03
0.9269493,4.5422e-03
0.9314936,3.8304e-03
0.9353263,3.7097e-03
0.9390379,3.4400e-03
0.9424800,3.0319e-03
0.9455138,4.1502e-03
0.9496662,3.4613e-03
0.9531295,3.2690e-03
0.9564028,3.2069e-03
0.9596118,8.9313e-04
