time,runtime
0.0000057,1.8032e-02
0.0370206,2.0183e-02
0.0788657,1.2288e-02
0.1031941,2.0566e-02
0.1434665,2.3488e-02
0.1887100,1.0000e-02
0.3697592,7.1276e-03
0.3970901,1.1429e-02
0.4348452,1.3473e-02
0.4684590,1.8174e-02
0.5101420,1.4439e-02
0.5545915,7.6024e-03
0.5859830,1.2543e-02
0.6245046,1.1610e-02
0.6556989,7.7039e-03
0.6810306,1.3983e-02
0.7153172,1.2361e-02
0.7513087,1.2063e-02
0.7982418,1.3222e-02
0.8360839,1.6431e-02
0.8713727,1.3003e-02
0.9052302,8.2602e-03
0.9363033,1.3949e-02
0.9661007,1.0117e-02
0.9924894,8.1910e-03
1.0332084,8.9167e-03
1.0585458,1.8564e-03
1.0864005,1.1318e-02
1.1313901,1.1147e-02
1.1576043,2.2981e-03
1.1785690,1.4309e-02
1.2129513,1.4264e-02
1.2447258,1.0005e-02
1.2743546,1.1370e-02
1.3053671,9.8744e-03
1.3359997,2.1841e-03
1.3578273,9.6035e-03
1.3815925,7.3147e-03
1.4022081,5.3544e-03
1.4231693,1.5736e-03
1.4399990,1.1004e-02
1.4654820,1.0816e-02
1.4913000,9.6357e-03
1.5185235,5.4483e-03
1.5345443,2.3998e-03
1.5507665,6.9730e-03
1.5729767,7.9762e-03
1.5957316,1.2320e-02
1.6225390,4.1387e-03
1.6504633,1.2636e-02
1.6888794,2.2980e-02
1.7337046,1.4585e-02
1.7701665,1.0175e-02
1.8052702,9.3646e-03
1.8408806,1.0333e-02
1.8715430,1.1100e-02
1.9037410,1.4969e-02
2.4571528,9.3425e-03
2.4933658,7.0735e-03
2.5247297,1.1804e-02
2.5503492,5.0021e-03
2.5800252,1.1676e-02
2.6096873,1.8488e-02
2.6478422,1.4071e-02
2.6883168,1.1017e-02
2.7216108,1.2604e-02
2.7496653,1.2764e-02
2.7845795,9.2209e-03
2.8140740,1.1215e-02
3.0617683,1.5693e-02
3.1015589,6.5302e-03
3.1266959,1.0263e-02
3.1522934,9.5376e-03
3.1879547,1.6244e-03
3.2123415,7.6665e-03
3.2479370,9.2663e-03
3.2781582,2.8658e-03
3.3048570,1.6322e-02
3.3417716,1.9242e-02
3.3740561,1.3608e-02
3.4137330,7.7893e-03
3.4393892,1.2233e-02
3.4807036,1.3947e-02
3.5144713,1.0047e-02
3.5474381,9.2512e-03
3.5728643,1.2790e-02
3.6040578,1.4808e-02
3.6460745,2.4587e-03
3.6695068,1.1750e-02
3.7001364,1.3657e-02
3.7374513,8.0875e-03
3.7720973,3.0566e-03
3.7891064,1.8979e-02
3.8308971,1.0695e-02
3.8591099,1.7123e-02
3.9022241,7.9169e-03
3.9364040,9.1030e-03
3.9692535,9.1750e-03
3.9992518,2.9631e-03
4.0262847,1.7972e-02
4.0661302,1.1345e-02
4.0927019,1.1976e-02
4.1289177,1.0285e-02
4.1605606,3.7765e-03
4.1855240,1.3931e-02
4.2195463,1.0871e-02
4.2548523,1.1575e-02
4.2810421,1.1931e-02
4.3138685,1.5703e-02
4.3582892,8.4516e-03
4.3930941,9.7055e-03
4.4248929,2.6524e-03
4.4467163,2.9827e-03
4.4624224,3.8696e-03
4.4883885,4.9589e-03
4.5129871,9.5229e-03
4.5356159,1.2474e-02
4.5668302,9.7296e-03
4.5937119,1.4413e-02
4.6280789,1.0504e-02
4.6597190,8.1696e-03
4.6791902,7.2150e-03
4.7051635,8.1370e-03
4.7364450,1.0115e-02
4.7718053,7.0966e-03
4.7952981,1.7109e-02
4.8322978,2.1225e-03
4.8548274,1.8256e-02
4.8884416,1.2479e-02
4.9217806,1.6906e-02
4.9544449,1.6066e-02
4.9877353,7.3279e-03
5.0124216,1.5542e-03
5.0402431,3.7871e-03
5.0659590,1.0516e-02
5.0978136,1.2150e-02
5.1362290,1.3051e-02
5.1744175,8.6446e-03
5.2112365,1.1744e-02
5.4870105,7.3844e-03
5.5180507,1.8985e-02
5.5585637,1.3197e-02
5.6021342,1.5927e-02
5.6385684,4.9184e-03
5.6623425,8.4881e-03
5.6901245,1.8753e-02
5.7437220,8.3009e-03
5.7789135,3.4155e-03
5.8038430,2.1306e-02
6.0128303,1.7626e-02
6.0583668,1.6024e-02
6.0989299,1.5684e-02
6.1493111,1.8799e-02
6.1979647,1.3223e-02
6.2418609,1.1406e-02
6.2798991,1.0544e-02
6.3077049,5.2660e-03
6.3488441,1.6579e-02
6.3828173,1.5861e-02
6.4323893,1.2407e-02
6.4692183,1.6411e-02
6.5112524,1.2412e-02
6.5454865,1.9253e-02
6.5956898,1.8811e-02
6.6573224,9.1456e-03
6.6902580,6.7513e-03
6.7244902,8.3331e-03
6.7588367,1.9202e-02
6.7936983,7.3607e-03
6.8334517,2.7047e-02
6.8858938,2.4955e-03
6.9200044,1.5589e-02
6.9710426,1.5324e-02
7.0054760,1.4781e-02
7.0455875,1.4268e-02
7.0968919,1.2178e-02
7.1293550,5.7594e-03
7.1545510,2.2025e-02
7.2067804,1.6109e-02
7.2438374,9.6829e-03
7.2688837,1.7984e-03
7.2904305,1.0496e-02
7.3197508,1.1464e-02
7.3425612,7.8345e-03
7.3717780,1.0644e-02
7.4010081,1.1039e-02
7.4247403,8.0327e-03
7.4581804,1.0890e-02
7.4920287,1.2161e-02
7.5226569,9.5939e-03
7.5550604,1.2401e-02
7.5826206,1.2186e-02
7.6136603,1.6670e-02
7.6490374,3.0095e-03
7.6766386,8.8769e-03
7.7025509,4.1318e-03
7.7206364,1.4775e-02
8.0135498,1.1370e-02
8.0432177,7.2827e-03
8.0678501,7.8425e-03
8.0884123,1.1707e-02
8.1238194,7.5439e-03
8.1370144,3.8438e-03
8.1612797,1.0851e-02
8.1931458,8.8449e-03
8.2226543,2.7699e-02
8.2698488,1.4481e-03
8.2857027,3.8961e-03
8.3140774,1.3619e-02
8.3502436,1.6003e-02
8.3820667,1.5787e-02
8.4216022,2.1740e-02
8.4615021,9.3780e-03
8.4971581,1.6609e-02
8.5312357,1.1397e-02
8.5596371,5.1495e-03
8.5862226,2.4036e-02
8.6340828,1.5346e-02
8.6782312,9.1760e-03
8.7077837,9.8837e-03
8.7377653,1.4163e-02
8.7662964,1.4702e-02
8.8036680,1.2339e-02
8.8342047,9.0139e-03
8.8567133,1.6146e-02
8.8941736,1.8103e-02
8.9337063,1.2691e-02
8.9697046,1.3597e-02
9.0022860,6.1721e-03
9.0277052,1.0365e-02
9.0631781,9.6348e-03
9.0907145,1.2913e-02
9.1237688,1.0632e-02
9.1604071,1.2196e-02
9.1825190,1.9040e-02
9.2236958,1.1725e-02
9.2546587,1.4977e-02
9.2892246,1.1432e-02
9.3226614,1.3822e-02
9.3576012,1.6641e-02
9.3978081,1.4901e-02
9.4372015,1.4694e-02
9.4664526,1.0923e-02
9.4982529,1.1250e-02
9.5360365,1.1103e-02
9.5693703,9.6866e-03
9.6025505,1.4918e-02
9.6383638,4.3327e-03
9.6626596,1.0686e-02
9.6929197,9.9836e-03
9.7222757,7.9136e-03
9.7472115,9.9591e-03
9.7780533,1.3635e-02
9.8136978,1.6012e-02
9.8489676,1.0275e-02
9.8847332,1.0966e-02
