time,runtime
0.0201949,4.1648e-03
0.0584804,1.0934e-02
0.0924438,1.6817e-03
0.1251518,1.6706e-03
0.1688258,9.0911e-03
0.2004174,9.9802e-03
0.3795289,6.2199e-03
0.4112343,7.2932e-03
0.4496783,9.0112e-03
0.4887023,1.3000e-02
0.5268134,5.1773e-03
0.5663344,1.4308e-02
0.5997859,1.5900e-02
0.6377808,8.7727e-03
0.6655109,3.4578e-03
0.6968464,5.7332e-03
0.7293759,9.6259e-03
0.7666650,9.5133e-03
0.8127441,1.0618e-02
0.8542815,8.9738e-03
0.8853008,4.1821e-03
0.9147999,1.3739e-02
0.9526926,6.9773e-03
0.9775323,9.1046e-03
1.0021896,1.5570e-02
1.0428690,3.9019e-03
1.0612559,1.2848e-02
1.0983914,1.0055e-02
1.1437960,6.7717e-03
1.1615883,8.0269e-03
1.1941199,8.6235e-03
1.2283121,7.6102e-03
1.2562284,6.5247e-03
1.2887328,8.1632e-03
1.3164167,7.3370e-03
1.3396516,7.2968e-03
1.3697262,5.3991e-03
1.3899046,5.8781e-03
1.4087681,1.3910e-03
1.4261718,8.0162e-03
1.4522979,5.4668e-03
1.4772379,5.3588e-03
1.5030100,1.0010e-02
1.5251464,4.1242e-03
1.5382819,6.7303e-03
1.5595142,4.9550e-03
1.5820326,7.0251e-03
1.6099406,7.6035e-03
1.6296557,8.0361e-03
1.6646073,8.1854e-03
1.7138275,1.0408e-02
1.7497773,6.1979e-03
1.7815137,1.1540e-02
1.8160039,9.3841e-03
1.8552669,4.0831e-03
1.8842914,2.6406e-03
1.9200673,5.2765e-01
2.4680092,9.4048e-03
2.5030694,9.9028e-03
2.5398552,7.1334e-03
2.5566361,1.2715e-02
2.5927248,7.8592e-03
2.6294975,6.7733e-03
2.6633193,1.1799e-02
2.7020166,1.0533e-02
2.7352350,2.5614e-03
2.7637877,1.0471e-02
2.7951136,6.7688e-03
2.8262727,2.2531e-01
3.0792742,9.1712e-03
3.1096413,7.5945e-03
3.1386342,6.2140e-03
3.1637154,9.3989e-03
3.1905808,9.8895e-03
3.2213602,1.4652e-02
3.2583172,8.9973e-03
3.2824852,9.7570e-03
3.3228617,9.3673e-03
3.3624675,2.8605e-03
3.3903453,1.2042e-02
3.4228601,1.0043e-02
3.4527466,8.9431e-03
3.4961536,9.4767e-03
3.5277262,7.5259e-03
3.5582049,5.9332e-03
3.5874748,7.4923e-03
3.6206717,1.6267e-02
3.6497271,1.0260e-02
3.6824675,5.6973e-03
3.7151790,6.8953e-03
3.7477400,1.2038e-02
3.7768795,6.3693e-03
3.8094139,9.9445e-03
3.8434384,2.1382e-03
3.8771846,1.4520e-02
3.9133408,1.0479e-02
3.9468906,1.1346e-02
3.9797375,8.8486e-03
4.0036807,1.1500e-02
4.0455575,1.0476e-02
4.0794406,7.7768e-03
4.1057835,1.3014e-02
4.1405969,1.0330e-02
4.1653957,7.0981e-03
4.2004194,1.0070e-02
4.2334547,1.3222e-02
4.2677646,5.9249e-03
4.2941413,1.0826e-02
4.3319488,1.5971e-02
4.3694305,1.1342e-02
4.4041982,7.9731e-03
4.4300900,9.2874e-03
4.4510374,1.4799e-03
4.4686513,1.1066e-02
4.4948845,8.3452e-03
4.5238605,3.0272e-03
4.5491099,1.2328e-03
4.5774822,9.0723e-03
4.6111674,5.8704e-03
4.6402040,9.4058e-03
4.6697145,6.3329e-03
4.6876349,9.1325e-03
4.7147293,9.1038e-03
4.7499027,9.2343e-03
4.7810016,7.1123e-03
4.8145766,8.3219e-03
4.8357720,8.0768e-03
4.8742290,6.2592e-03
4.9023013,1.0455e-02
4.9403133,1.8272e-03
4.9721203,5.7980e-03
4.9971905,2.9741e-03
5.0152316,1.0813e-02
5.0452390,1.0120e-02
5.0788212,6.5172e-03
5.1125197,1.0637e-02
5.1515827,8.9883e-03
5.1853800,1.2559e-02
5.2249675,2.5048e-01
5.4953151,1.1124e-02
5.5380359,8.5033e-03
5.5759683,6.9827e-03
5.6188269,2.3308e-03
5.6469045,8.7604e-03
5.6716933,5.2606e-03
5.7116480,1.5218e-02
5.7530923,1.4242e-02
5.7846851,7.5503e-03
5.9861307,1.2804e-02
