time,runtime
0.0126359,1.4612e-03
0.0443830,1.7205e-03
0.0774350,1.7866e-03
0.1194906,1.3665e-03
0.1523746,1.2136e-03
0.1830214,1.6020e-03
0.2189239,9.7982e-04
0.2486495,2.1557e-03
0.2885526,2.0904e-03
0.3174779,2.8508e-03
0.3459763,2.3132e-03
0.3855407,1.5733e-03
0.4209926,2.0476e-03
0.4535559,2.2623e-03
0.4763344,1.2906e-03
0.5123743,1.2943e-03
0.5410019,3.1050e-03
0.5788708,1.5211e-03
0.6138124,1.7411e-03
0.6473436,3.4218e-03
0.6747761,2.3454e-03
0.7089244,1.3158e-03
0.7415482,2.5764e-03
0.7721685,1.1606e-03
0.8049179,1.0304e-03
1.1782821,2.0739e-03
1.2114086,1.7842e-03
1.2595443,7.1805e-03
1.3036215,1.0287e-03
1.3399944,1.1368e-03
1.3775505,5.3364e-03
1.4210161,4.6933e-03
1.4718770,5.7965e-04
1.4961263,6.0663e-04
1.5494674,1.7856e-03
1.5852364,1.2934e-01
1.7637528,5.2147e-03
1.8066829,6.9314e-04
1.8467188,5.7483e-03
1.8882133,5.2624e-03
1.9478707,7.5928e-04
1.9868672,6.8659e-04
2.0467319,4.7523e-03
2.0910637,7.2979e-04
2.1371841,5.6216e-03
2.1705704,9.9347e-04
2.2280831,1.9139e-03
2.2836337,7.9425e-04
2.3470011,9.1941e-04
2.3772039,7.9010e-04
2.4183335,7.3669e-04
2.5033746,9.3366e-04
2.5364029,1.3694e-03
2.5740752,1.4988e-03
2.6001756,1.2082e-03
2.6362140,1.3978e-03
2.6647081,1.5842e-03
2.7104146,4.1674e-03
2.7534370,1.4844e-03
2.7849965,1.3387e-03
2.8092294,2.4287e-03
2.8541362,1.6023e-03
2.8907664,2.2160e-03
2.9272616,1.1508e-03
2.9598455,1.6548e-03
2.9969485,9.8990e-04
3.0234048,1.2767e-03
3.0601199,2.4420e-03
3.0898037,2.1838e-03
3.1221323,4.2998e-03
3.1608334,1.3508e-03
3.1920266,8.8575e-04
3.2235885,2.1552e-03
3.2546079,1.8956e-03
3.2760990,1.0860e-03
3.3129947,1.0860e-03
3.3527126,1.0535e-03
3.3764243,2.2362e-03
3.4157226,2.5818e-03
3.4390101,1.5184e-03
3.4765828,1.3334e-03
3.5086873,2.8232e-03
3.5395300,1.1171e-03
3.5742099,1.0194e-03
3.6045206,1.9320e-03
3.6472876,7.9817e-04
3.6780958,2.2814e-03
3.7025764,1.3781e-03
3.7356160,1.8203e-03
3.7649951,3.9323e-03
3.8033571,2.7351e-03
3.8385758,1.7288e-03
3.8625438,1.3733e-03
3.9072580,1.3762e-03
3.9452698,3.0544e-03
3.9831018,2.5275e-03
4.0150886,2.6734e-03
4.0440192,9.6370e-04
4.0824809,1.2031e-03
4.1206088,1.6482e-03
4.1503887,2.4886e-03
4.1845970,2.7719e-03
4.2192469,1.5792e-03
4.2407770,1.4598e-03
4.2861342,1.4557e-03
4.3213954,1.1552e-03
4.3562942,1.2059e-03
4.3797832,1.7183e-03
4.3995628,3.0919e-03
4.4275565,2.2443e-03
4.4587798,1.3873e-03
4.4940782,2.4497e-03
4.5323172,2.0683e-02
4.5825458,2.3060e-03
4.6235523,1.2992e-03
4.6556716,1.4862e-03
4.6860566,1.2067e-03
4.7158017,1.2714e-03
4.7517138,1.8871e-03
4.7875872,7.4424e-04
4.8111491,2.1431e-03
4.8518896,1.4584e-03
4.8831530,8.6480e-04
4.9128284,2.6300e-03
4.9411526,9.1611e-04
4.9641089,2.2982e-03
4.9963307,1.1867e-03
5.0372963,1.2560e-03
5.0753922,2.9104e-03
5.1085563,2.9992e-03
5.1316838,3.0365e-03
5.1718001,7.7422e-04
5.1983628,2.5185e-03
5.2345672,1.1983e-03
5.2645764,1.5826e-03
5.2921529,1.2740e-03
5.3265324,1.2062e-03
5.3603406,9.7917e-04
5.3895659,2.1780e-03
5.4165449,1.3285e-03
5.4576802,2.3925e-03
5.4962578,2.9857e-03
5.5214391,8.2413e-04
5.5482135,2.1558e-03
5.5837460,1.4735e-03
5.6060452,1.1819e-03
5.6355276,1.6775e-03
5.6659632,1.2686e-03
5.7044334,2.2946e-03
5.7355056,1.8850e-03
5.7615767,2.6496e-03
5.8039336,3.2950e-03
6.1313286,1.2043e-03
6.1563296,1.3545e-03
6.1940575,4.2521e-03
6.2655325,2.8471e-03
6.3060803,2.1126e-03
6.3672605,7.6448e-04
6.4159031,1.1875e-02
6.4759507,3.8474e-03
6.5235577,5.0226e-03
6.5647020,8.8873e-04
6.6332316,1.4110e-03
6.6846166,7.3571e-04
6.7386718,2.5716e-03
6.7960958,8.0446e-03
6.8451161,7.4046e-03
6.8861594,6.2413e-04
6.9181008,9.9287e-04
6.9706993,6.6190e-04
7.0049109,7.7249e-04
7.0396476,6.2668e-04
7.0694485,5.8582e-04
7.0983768,8.9841e-04
7.1190162,6.4991e-03
7.1564736,5.8412e-04
7.2028985,1.1192e-03
7.2674708,7.9964e-04
7.3307595,2.3449e-03
7.3616700,5.8467e-04
7.4078174,4.9017e-03
7.4443321,6.8780e-04
7.4938259,7.7293e-04
7.5611424,9.5373e-04
7.5969625,1.2138e-03
7.6445093,5.0796e-03
7.7013464,3.4731e-03
7.7421312,5.3856e-03
7.7859221,6.0178e-04
7.8397040,6.1695e-04
7.8760276,1.1256e-03
7.9206963,1.4724e-03
7.9616599,9.7224e-04
7.9976287,3.1245e-03
8.0266485,3.7683e-03
8.0559216,6.7101e-03
