time,runtime
0.0000023,1.2130e-02
0.0121342,1.2621e-02
0.0247574,2.1856e-02
0.0466148,1.0266e-02
0.0568823,1.2647e-02
0.0695320,1.1061e-02
0.0805948,1.9006e-02
0.0996030,1.6643e-02
0.1162481,5.6896e-03
0.1219401,7.6479e-03
0.1295897,1.3540e-02
0.1431328,1.4936e-02
0.1580712,1.2355e-02
0.1704276,1.6475e-02
0.1869051,1.4833e-02
0.2017417,9.9195e-03
0.2116633,1.8422e-02
0.2300896,8.1738e-03
0.2382660,1.8116e-02
0.2563850,8.3488e-03
0.2647363,1.6255e-02
0.2809935,9.7078e-03
0.2907059,1.3060e-02
0.3037674,1.6062e-02
0.3198320,1.6814e-02
0.3366506,1.0601e-02
0.3472546,4.0652e-03
0.3513215,1.1448e-02
0.3627719,2.0072e-02
0.3828468,1.2781e-02
0.3956305,1.1905e-02
0.4075384,2.1286e-03
0.4096695,1.9454e-02
0.4291262,1.2098e-02
0.4412268,1.4612e-02
0.4558410,1.5028e-02
0.4708713,8.7930e-03
0.4796668,6.4195e-03
0.4860888,4.7157e-03
0.4908069,2.3405e-02
0.5142139,1.8025e-02
0.5322411,1.2892e-02
0.5451358,1.7199e-02
0.5623398,2.0181e-02
0.5825228,9.2186e-03
0.5917439,2.0221e-02
0.6119677,8.7229e-03
0.6206931,1.0059e-02
0.6307551,1.8117e-02
0.6488743,1.3792e-02
0.6626705,1.0391e-02
0.6730636,1.0498e-02
0.6835644,1.3873e-02
0.6974399,1.8990e-02
0.7164323,1.5543e-02
0.7319802,1.3787e-02
0.7457694,8.8820e-03
0.7546530,1.5853e-02
0.7705081,1.4877e-02
0.7853866,4.2871e-03
0.7896754,1.2458e-02
0.8021356,2.0694e-02
0.8228317,6.6096e-03
0.8294439,1.7207e-02
0.8466537,2.4898e-02
0.8715549,9.6441e-03
0.8812015,1.3792e-02
0.8949963,1.0181e-02
0.9051803,1.9460e-02
0.9246454,2.2339e-02
0.9469888,1.4214e-02
0.9612071,1.6127e-02
0.9773362,2.3979e-02
1.0013173,1.0516e-02
1.0118381,1.3165e-02
1.0250055,2.0652e-02
1.0456599,2.4788e-02
1.0704507,1.0567e-02
1.0810204,6.7497e-03
1.0877726,9.2087e-03
1.0969836,1.1627e-02
1.1086130,1.0848e-02
1.1194637,1.2273e-02
1.1317395,1.9550e-02
1.1512922,1.1358e-02
1.1626529,1.9762e-02
1.1824331,1.7001e-02
1.1994365,1.1162e-02
1.2106030,1.0195e-03
1.2116241,1.2234e-02
1.2238607,1.5008e-02
