time,runtime
0.0000022,3.6742e-03
0.0036783,3.4346e-03
0.0071146,4.9865e-04
0.0076147,3.3372e-03
0.0109537,2.7972e-03
0.0137540,3.5675e-03
0.0173230,3.4073e-03
0.0207319,3.6895e-03
0.0244228,4.3831e-03
0.0288075,4.0111e-03
0.0328358,4.2350e-03
0.0370722,5.2930e-03
0.0423681,3.4387e-03
0.0458250,6.8049e-04
0.0465069,3.7767e-03
0.0502865,5.7355e-04
0.0508614,3.7503e-03
0.0546133,2.9104e-03
0.0575252,3.5067e-03
0.0610335,2.7982e-03
0.0638346,3.3082e-03
0.0671442,4.9205e-04
0.0676377,3.1386e-03
0.0707778,3.7003e-03
0.0744797,3.2604e-03
0.0777416,3.3693e-03
0.0811123,2.9753e-03
0.0840892,3.7871e-03
0.0878779,3.1753e-03
0.0910556,5.5961e-04
0.0916170,3.0266e-03
0.0946462,3.3660e-03
0.0980138,3.3129e-03
0.1013283,3.3505e-03
0.1046805,5.0784e-04
0.1051900,3.6039e-03
0.1087968,3.8176e-03
0.1126159,3.2121e-03
0.1158294,3.1743e-03
0.1190053,3.3575e-03
0.1223645,3.0731e-03
0.1254392,4.4285e-03
0.1298695,5.1791e-04
0.1303885,2.9301e-03
0.1333205,3.5219e-03
0.1368441,3.4340e-03
0.1402797,3.5833e-03
0.1438647,3.8299e-03
0.1476963,3.1389e-03
0.1508376,4.6648e-04
0.1513059,3.0761e-03
0.1543837,3.4263e-03
0.1578125,3.4594e-03
0.1612765,3.1279e-03
0.1644068,4.3540e-03
0.1687634,3.2046e-03
0.1719704,6.6486e-04
0.1726371,3.5166e-03
0.1761560,3.2570e-03
0.1794154,3.1769e-03
0.1825947,3.6302e-03
0.1862272,5.2478e-04
0.1867534,3.7646e-03
0.1905205,3.5444e-03
0.1940674,3.2987e-03
0.1973686,3.3897e-03
0.2007629,2.9846e-03
0.2037500,3.1194e-03
0.2068719,3.3145e-03
0.2101889,3.6753e-03
0.2138665,3.1061e-03
0.2169751,3.7996e-03
0.2207771,3.5402e-03
0.2243219,3.1891e-03
0.2275135,3.5333e-03
0.2310513,3.7930e-03
0.2348462,3.3240e-03
0.2381717,3.3352e-03
0.2415088,3.6440e-03
0.2451544,4.5949e-03
0.2497508,4.0327e-03
0.2537853,3.4927e-03
0.2572803,2.7904e-03
0.2600740,2.8478e-03
0.2629234,7.0574e-04
0.2636307,3.1547e-03
0.2667885,4.8969e-04
0.2672797,2.9905e-03
0.2702717,3.0452e-03
0.2733185,3.3205e-03
0.2766406,3.6689e-03
0.2803111,3.6273e-03
0.2839400,3.4839e-03
0.2874254,3.0948e-03
0.2905218,3.3236e-03
0.2938469,3.3707e-03
0.2972204,4.2834e-03
0.3015054,3.0836e-03
0.3045906,3.1515e-03
0.3077437,3.0779e-03
0.3108231,3.0497e-03
0.3138743,3.4429e-03
0.3173187,2.7760e-03
0.3200963,3.4608e-03
0.3235587,3.2246e-03
0.3267849,5.5548e-04
0.3273418,3.2264e-03
0.3305698,3.1543e-03
0.3337256,3.4308e-03
0.3371579,3.3306e-03
0.3404902,3.0977e-03
0.3435894,3.4459e-03
0.3470368,3.6733e-03
0.3507117,3.5003e-03
0.3542135,3.0379e-03
0.3572530,3.3371e-03
0.3605933,3.0119e-03
0.3636084,2.7961e-03
0.3664076,2.8202e-03
0.3692311,3.5670e-03
0.3728011,3.3143e-03
0.3761185,3.7313e-03
0.3798530,3.2740e-03
0.3831296,2.8397e-03
0.3859720,3.2941e-03
0.3892688,3.4676e-03
0.3927383,3.0790e-03
0.3958194,3.7048e-03
0.3995262,3.0783e-03
0.4026065,3.3504e-03
0.4059587,3.5593e-03
0.4095199,3.2977e-03
0.4128194,3.6752e-03
0.4164965,4.7229e-04
0.4169706,2.8252e-03
0.4197977,3.4854e-03
0.4232850,5.5762e-04
0.4238444,3.3513e-03
0.4271976,3.4281e-03
0.4306275,3.0378e-03
0.4336672,4.3523e-04
0.4341042,3.3470e-03
0.4374532,3.0308e-03
0.4404859,3.2477e-03
0.4437355,3.2620e-03
