time,runtime
0.0367520,4.1248e-02
0.0780171,1.2869e-02
0.0908887,2.1044e-02
0.1119354,1.7663e-02
0.1296181,1.2849e-02
0.1424879,2.0876e-02
0.1633811,1.6549e-02
0.1799347,1.9677e-02
0.1996167,1.6708e-02
0.2163294,1.2413e-02
0.2287474,1.6872e-02
0.2456448,2.6638e-02
0.2722880,1.1906e-02
0.2841973,2.1214e-02
0.3054167,2.0214e-02
0.3256334,1.6322e-02
0.3419589,2.1020e-02
0.3629843,1.9749e-02
0.3827381,1.8374e-02
0.4011308,1.3023e-02
0.4141564,2.1926e-02
0.4360853,2.5338e-02
0.4614258,1.5445e-02
0.4768761,1.9594e-02
0.4964756,2.1266e-02
0.5177469,2.7563e-02
0.5453122,1.4470e-02
0.5597870,1.1912e-02
0.5717024,2.2824e-02
0.5945512,1.8475e-02
0.6130288,2.0425e-02
0.6334725,2.1803e-02
0.6552781,1.3095e-02
0.6683765,1.5089e-02
0.6834681,3.0242e-02
0.7137312,2.0824e-02
0.7345582,1.6755e-02
0.7513168,1.8092e-02
0.7694398,1.3644e-02
0.7830871,2.3994e-02
0.8070866,1.6373e-02
0.8234630,1.3067e-02
0.8365347,2.3880e-02
0.8604177,1.7792e-02
0.8782310,1.8492e-02
0.8967258,1.2521e-02
0.9092692,2.3490e-02
0.9327621,2.3928e-02
0.9567090,2.3182e-02
0.9799130,1.3412e-02
0.9933309,2.2536e-02
1.0158854,1.6612e-02
1.0324999,1.6180e-02
1.0486834,1.7887e-02
1.0665735,2.3570e-02
1.0901489,1.0360e-02
1.1005144,1.8413e-02
1.1189313,1.3483e-02
1.1324170,1.2836e-02
1.1452564,7.2964e-03
1.1525582,1.4673e-02
1.1672527,1.4732e-02
1.1819876,1.8170e-02
1.2001607,1.8220e-02
1.2183864,2.5810e-02
1.2441996,2.0560e-02
1.2647810,1.7324e-02
1.2821264,2.0649e-02
1.3027807,1.6715e-02
1.3194989,1.7675e-02
1.3371794,2.7688e-02
1.3648707,2.7530e-02
1.3924065,1.9408e-02
1.4118180,1.1794e-02
1.4236170,1.8989e-02
1.4426090,2.3139e-02
1.4657698,1.9099e-02
1.4848882,1.8434e-02
1.5033251,1.6525e-02
1.5198559,1.8636e-02
1.5384977,1.5187e-02
1.5536897,1.9799e-02
1.5734943,1.9572e-02
1.5930696,2.5052e-02
1.6181247,2.7248e-02
1.6453760,8.2778e-03
1.6536572,1.8356e-02
1.6720170,2.8298e-02
1.7003208,9.1232e-03
1.7094494,2.3568e-02
1.7330390,2.0386e-02
1.7534288,3.4464e-02
1.7878960,1.7231e-02
1.8051476,1.5925e-02
1.8210753,2.0012e-02
1.8410907,1.6537e-02
1.8576313,1.7014e-02
1.8746488,2.6371e-02
1.9010255,5.0645e-03
1.9060930,2.8141e-02
1.9342399,1.8784e-02
1.9530270,2.1746e-02
1.9747761,1.6006e-02
1.9908029,1.5334e-02
2.0061405,2.2061e-02
2.0282052,2.1412e-02
2.0496225,1.8203e-02
2.0678313,2.4296e-02
2.0921304,1.8756e-02
2.1108904,2.3253e-02
2.1341465,1.8003e-02
2.1521523,1.9700e-02
2.1718581,1.7952e-02
2.1898148,1.2105e-02
2.2019231,2.1967e-02
2.2238932,1.5259e-02
2.2391555,1.3676e-02
2.2528515,1.8993e-02
2.2718503,2.4691e-02
2.2965465,2.2947e-02
2.3194981,1.5137e-02
2.3346491,2.4478e-02
2.3591299,2.1267e-02
2.3804023,2.0662e-02
2.4010701,1.6337e-02
2.4174104,2.2772e-02
2.4401851,8.5475e-03
2.4487357,2.4390e-02
2.4731314,1.3954e-02
2.4870882,2.8587e-02
2.5156970,2.9775e-02
2.5454776,1.0178e-01
2.6472650,2.3323e-02
2.6705906,2.2415e-02
2.6930089,1.7068e-02
2.7100797,2.4533e-02
2.7346158,2.3109e-02
2.7577300,2.0581e-02
2.7783136,1.5801e-02
2.7941179,2.1958e-02
2.8160951,2.0124e-02
2.8362386,2.0059e-02
2.8563170,1.7752e-02
2.8740721,2.8956e-02
2.9030313,2.4080e-02
2.9271140,2.6682e-02
2.9537990,2.1477e-02
2.9752948,1.6112e-02
2.9914124,2.2594e-02
3.0140095,2.0730e-02
3.0347445,1.9189e-02
3.0539587,2.2638e-02
3.0766022,2.2635e-02
3.0992589,2.5348e-02
3.1246097,1.2581e-02
3.1371932,2.8828e-02
3.1660261,1.4192e-02
3.1802211,7.9561e-03
3.1881802,2.5874e-02
3.2140572,2.4084e-02
3.2381468,2.4234e-02
3.2624023,1.4751e-02
3.2771561,1.9807e-02
3.2969885,2.2280e-02
3.3192713,1.3990e-02
3.3332660,2.0812e-02
3.3540833,1.5681e-02
3.3697691,4.0136e-02
3.4099104,2.0734e-02
3.4306476,2.0881e-02
3.4515345,9.1919e-03
3.4607298,2.0247e-02
3.4809799,1.6704e-02
3.4976888,1.7285e-02
3.5149953,8.5460e-03
3.5235443,2.3426e-02
3.5469730,1.9617e-02
3.5665925,2.2142e-02
3.5887556,8.0023e-03
3.5967634,2.0348e-02
3.6171150,2.0961e-02
3.6380789,1.8645e-02
3.6567271,1.9410e-02
3.6761427,1.5621e-02
3.6917667,1.5612e-02
3.7073824,1.8848e-02
3.7262337,1.8252e-02
3.7444887,1.1233e-02
3.7557254,2.5412e-02
3.7811406,1.9092e-02
3.8002353,2.2551e-02
3.8227911,1.4092e-02
3.8369033,1.9379e-02
3.8562851,1.8285e-02
3.8745735,1.7957e-02
3.8925352,1.9079e-02
3.9116197,1.5127e-02
3.9267514,1.1203e-02
3.9379599,2.3241e-02
3.9612043,1.7489e-02
3.9786983,1.5826e-02
3.9945278,1.9728e-02
4.0142612,1.5019e-02
4.0292854,1.4112e-02
4.0434027,2.6598e-02
4.0700059,2.5036e-02
4.0950456,6.1855e-03
4.1012344,1.9611e-02
4.1208501,1.8598e-02
4.1394515,1.2959e-02
4.1524138,1.6002e-02
4.1684361,2.8510e-02
4.1969676,1.5586e-02
4.2125573,1.9932e-02
4.2324924,2.5072e-02
4.2575698,2.8956e-02
4.2865295,3.0450e-02
4.3169832,2.2549e-02
4.3395376,2.7045e-02
4.3665867,1.6554e-02
4.3831439,1.4860e-02
4.3980246,2.0687e-02
4.4187140,2.2631e-02
4.4413509,1.6740e-02
4.4580941,1.4496e-02
4.4725928,7.2628e-03
4.4798594,1.5312e-02
4.4951744,4.8752e-03
4.5000529,2.6318e-02
4.5263767,2.2769e-02
4.5491495,2.5842e-02
4.5749946,2.6880e-02
4.6018777,2.1772e-02
4.6236558,2.3429e-02
4.6470881,3.0801e-02
4.6778946,1.9529e-02
4.6974263,1.9803e-02
4.7172327,2.0326e-02
4.7375646,1.3492e-02
4.7510595,1.8534e-02
4.7695994,1.6929e-02
4.7865319,1.1657e-02
4.7981939,2.5778e-02
4.8239775,1.3706e-02
4.8376875,2.1749e-02
4.8594384,1.0300e-02
4.8697405,2.6348e-02
4.8960905,2.3237e-02
4.9193296,2.6197e-02
4.9455309,1.4617e-02
4.9601521,1.7999e-02
4.9781528,2.0362e-02
4.9985199,1.8180e-02
5.0167022,2.1812e-02
5.0385165,6.0263e-03
5.0445447,1.6514e-02
5.0610614,1.3651e-02
5.0747151,1.7390e-02
5.0921068,2.0282e-02
