time,runtime
0.0181534,9.0982e-03
0.0737201,1.7589e-03
0.1243602,1.8489e-03
0.1824929,2.0017e-03
0.2167839,1.4161e-03
0.2900704,1.4528e-03
0.3485713,2.7352e-03
0.4078070,4.4875e-03
0.4601438,1.7004e-03
0.5332225,1.2144e-03
0.5848150,1.4000e-03
0.6399400,6.9334e-03
0.7195932,1.9050e-03
0.7706244,1.5190e-03
0.8190262,1.4477e-03
0.8915575,1.2228e-03
0.9644210,1.9477e-03
1.0051526,3.2326e-03
1.0466951,1.3412e-03
1.0954257,1.4542e-03
1.1564950,4.9509e-03
1.1969833,2.3639e-03
1.2474768,1.5024e-03
1.3089527,5.5038e-03
1.3722553,2.3014e-03
1.4346304,2.2113e-03
1.4728500,1.6617e-03
1.5403234,4.8761e-03
1.5744817,1.5829e-03
1.6324341,2.1280e-03
1.6915793,3.5246e-03
1.7843225,3.0389e-03
1.8204014,2.0560e-03
1.8797793,2.1607e-03
1.9270930,1.4522e-03
1.9875916,6.6502e-03
2.0559919,1.6649e-03
2.1206093,1.6992e-03
2.1536920,1.3063e-03
2.1916182,4.8110e-03
2.2476473,2.7702e-03
2.3101449,4.1945e-03
2.3708019,1.6867e-03
2.4401255,1.4424e-03
2.4975438,3.1222e-03
2.5538640,1.6227e-03
2.7095413,1.3335e-03
2.7849607,6.8719e-03
2.8558602,1.6584e-03
2.9271889,1.4290e-03
2.9809661,1.0473e-03
3.0545163,2.1741e-02
3.1475620,3.0458e-02
3.3951941,9.0460e-04
3.4235854,7.6074e-04
3.7065232,9.9825e-04
3.7466934,1.7212e-03
3.8194776,2.7564e-03
3.8725107,1.3019e-03
3.9480832,3.9504e-03
3.9977350,3.4693e-03
4.1128693,7.5438e-03
4.1690454,2.1172e-03
4.2175360,1.6681e-03
4.2469778,1.3471e-03
4.3214607,3.8269e-03
4.4083815,8.6621e-04
4.4717126,1.0273e-03
4.5220075,2.9041e-03
4.8130550,4.1492e-03
4.8827658,3.0711e-03
4.9483137,3.0410e-03
4.9916768,1.4389e-03
5.0418129,7.2140e-03
5.0905457,1.6184e-03
5.1537299,1.0022e-03
5.2013593,2.9834e-03
5.2607608,2.4459e-03
5.4025593,1.0394e-03
5.4878802,4.5766e-03
5.5411925,5.1556e-03
5.5965133,1.3150e-03
5.6403060,1.0865e-03
5.6823297,1.2359e-03
5.7459040,3.0266e-03
5.7975368,1.7413e-03
6.1317730,1.0700e-03
6.1925807,1.3551e-03
6.2496290,1.9002e-03
6.3088746,3.2087e-03
6.3464298,1.0317e-03
6.4029617,8.2030e-04
6.4493175,4.1933e-03
6.4805703,1.2031e-03
6.5287137,5.9749e-03
6.6021376,2.0959e-03
6.6421394,2.9569e-03
