time,runtime
0.0264529,2.8230e-02
0.0886043,1.9149e-02
0.1470695,1.4887e-02
0.2437673,1.5139e-02
0.3089144,8.3452e-03
0.3990900,4.1504e-02
0.4597974,9.7104e-03
0.5073448,1.6467e-03
0.5351688,1.3646e-02
0.6203181,1.8119e-03
0.6642513,1.4060e-02
0.7217028,1.3678e-02
0.7863094,2.7880e-02
0.8461547,2.6621e-03
0.8926444,1.7042e-02
0.9747553,3.2747e-02
1.0497152,1.1676e-02
1.0903944,2.5166e-02
1.1411207,3.8640e-02
1.2228640,5.7057e-03
1.2678217,1.9902e-03
1.3144282,1.2527e-02
1.3809913,6.1357e-03
1.4218401,1.0697e-02
1.4720067,1.6109e-02
1.5585086,1.3082e-02
1.6230677,9.7099e-03
1.6652750,2.2367e-02
1.7557479,1.0210e-02
1.8051951,1.5878e-02
1.9066535,2.4289e-03
1.9595563,1.9788e-02
2.0267878,4.4528e-03
2.0832262,2.0458e-02
2.1498277,1.1461e-02
2.1936040,7.0570e-03
2.2374787,1.2867e-02
2.2821379,9.3167e-03
2.3352664,6.3807e-03
2.4331768,1.2831e-03
2.5177846,1.8074e-02
2.5893404,2.7458e-03
2.6894326,2.1685e-02
2.7717209,7.2306e-03
2.8608637,1.3508e-02
2.9267585,6.8948e-03
2.9986570,9.8446e-03
3.0436516,1.7882e-02
3.1100972,1.9673e-02
3.1655314,1.4339e-02
3.2462356,3.3630e-02
3.3195934,1.4048e-02
3.3730485,2.2767e-02
3.5035288,2.8568e-02
3.5771191,3.3019e-02
3.6644018,1.4681e-02
3.7341473,2.0784e-02
3.7952378,1.6566e-02
3.8634870,6.0381e-03
3.9336536,8.1116e-03
3.9909270,1.0944e-02
4.0646529,9.3511e-03
4.1081080,1.5912e-02
4.1745253,1.5257e-02
4.2464252,1.6536e-02
4.2908349,5.6200e-02
4.3886142,1.3854e-02
4.4354095,9.2988e-03
4.4792938,1.2718e-02
4.5481162,6.4620e-03
4.5973096,1.3976e-02
4.6573038,2.2415e-02
4.7169271,9.1044e-03
4.7538548,2.4614e-02
4.8108721,6.9816e-03
4.8560443,1.3457e-02
4.9188652,3.8212e-03
4.9821653,1.2911e-02
5.0380163,1.9230e-02
5.0822630,1.4823e-02
5.1304970,2.5566e-03
5.1564255,1.1580e-02
5.2039433,1.1488e-02
5.2525878,1.7820e-02
5.3187642,1.5707e-03
5.3615017,8.3043e-03
5.4092436,1.7214e-02
5.4706731,1.3333e-02
5.5099778,3.5664e-03
5.5586705,8.4816e-03
5.5929527,1.1440e-02
5.8202982,1.2974e-02
5.8922439,1.6031e-02
5.9734907,1.3182e-02
6.0535722,3.6832e-03
6.1005225,1.7211e-02
6.1420779,7.5200e-03
6.1787014,2.4710e-02
6.3231282,2.1142e-02
6.4053268,1.1126e-02
6.4948502,8.0953e-03
6.5436759,1.1779e-02
6.5949082,1.7201e-02
6.6437488,1.1556e-02
6.6952181,1.4223e-02
6.7424083,1.1738e-02
6.7970200,1.7841e-02
6.8480821,7.1172e-03
6.8923545,9.8700e-03
6.9217587,2.3968e-02
7.0508862,1.3011e-03
7.1039238,1.3641e-03
7.1519365,9.6317e-03
7.2568007,8.4494e-03
7.3067155,1.1822e-02
7.3526564,7.9510e-03
7.3975000,1.5431e-02
7.4535708,5.0976e-03
7.5460010,2.9745e-03
7.6286983,3.5646e-02
7.7143049,5.3789e-03
7.7748799,2.1908e-02
7.8385396,1.5236e-02
7.8849211,1.1114e-02
7.9539104,1.1055e-02
8.0119095,7.8733e-03
8.0809460,1.6686e-02
8.2031660,1.9365e-03
8.2306404,1.7327e-02
8.2842665,5.6280e-03
8.3289003,1.9689e-02
8.3849201,1.9700e-02
8.4491558,1.1751e-02
8.4905396,1.3591e-02
8.5729733,6.9264e-02
8.6906586,2.3891e-02
8.7557049,7.2216e-03
8.8035803,9.5206e-03
8.8610992,6.7818e-03
8.9128761,8.4869e-01
9.8135004,1.7254e-03
9.8484287,1.3576e-02
9.8851767,6.2910e-03
9.9969826,1.7655e-02
10.0695133,1.6966e-02
10.1073647,1.2394e-02
10.1666651,1.9490e-02
10.2333403,2.4239e-02
10.2884665,6.1164e-03
10.3458433,1.7222e-02
10.3884315,5.6933e-03
10.4332161,3.6429e-02
10.5010300,1.4972e-02
10.5577135,1.3780e-02
10.5923996,1.5042e-02
10.6382799,9.6227e-03
10.6997929,1.8278e-02
10.7625237,1.2337e-02
10.8386383,1.8074e-02
10.8857317,5.2316e-03
10.9384270,2.3243e-02
11.0106525,7.7780e-03
11.0615463,7.9412e-03
11.1101723,4.0524e-03
11.1796074,1.7890e-02
11.2353954,9.7320e-03
11.2876091,2.7990e-02
11.3458309,9.2897e-03
11.4025440,7.5943e-03
11.4429712,1.1698e-02
11.4842138,6.5968e-03
11.5115786,1.9126e-02
11.5718832,1.4287e-02
11.6886749,1.2075e-02
11.7463694,1.5381e-02
11.8152523,2.7532e-02
11.8748388,1.3228e-02
11.9257889,1.5699e-02
11.9870863,2.0017e-02
12.0454035,1.2163e-02
12.0986910,1.9826e-02
12.2427139,1.0813e-02
12.3013010,1.6892e-02
12.3875027,1.2987e-02
12.4866428,3.9570e-03
12.5109043,1.5329e-02
12.5640574,7.3462e-03
12.6372089,2.9673e-02
12.7012806,1.8151e-02
12.7838783,2.9821e-02
12.8479519,1.5385e-02
12.9091816,2.0058e-02
12.9760265,4.0753e-03
13.0428753,1.0994e-02
13.1063290,1.4019e-02
13.1644783,1.3865e-02
13.2145319,1.2237e-02
13.2712975,1.4214e-02
13.3210201,8.0043e-03
13.3689499,1.2305e-02
13.4135084,6.1841e-03
13.4469357,2.0031e-02
13.5032711,1.5129e-02
13.6496696,1.1342e-02
13.7205067,1.6749e-02
13.7812834,1.4390e-02
13.8293962,1.0058e-02
13.9081602,3.6122e-03
13.9749813,4.8260e-03
14.0451078,1.8046e-02
14.0859671,1.1786e-02
14.1341486,8.4208e-03
14.1813946,4.2392e-02
14.2752409,1.2017e-02
14.3466816,7.0106e-03
14.4149389,2.7143e-02
14.4867201,2.1096e-02
14.5542278,1.4314e-02
14.5965872,3.1497e-02
14.6661196,1.6789e-02
14.8896341,3.8688e-02
15.8485146,1.0337e-02
15.9088860,1.5758e-02
15.9619074,1.4367e-02
16.0345402,2.5326e-02
16.1037006,2.2536e-02
16.1805305,2.4523e-02
16.2347698,3.0416e-02
16.3176765,8.6100e-03
16.3705521,9.6564e-03
16.4171028,3.7579e-03
16.4981022,2.0054e-02
16.5636654,2.0149e-03
16.6235847,9.0646e-03
16.6957169,1.1421e-02
16.7791691,9.6094e-03
16.8528175,1.4890e-02
16.9168549,1.1359e-02
16.9829216,5.2555e-03
17.0437279,1.5144e-02
17.0825176,3.4942e-03
17.1401882,8.8311e-03
17.1949234,1.4476e-02
17.2465858,2.0102e-02
17.3419151,1.7201e-02
17.3992290,1.8629e-02
17.4636040,2.8977e-03
17.5195694,1.8023e-02
17.6069260,2.1022e-03
17.6941357,6.9611e-03
17.7457142,2.4145e-02
17.8252411,5.2909e-03
17.8553219,3.0036e-02
17.9288902,1.7089e-02
17.9978714,2.9369e-02
18.0737495,8.3829e-03
18.1449032,1.8647e-02
18.2209225,1.4218e-02
18.2935543,1.5030e-02
18.3732109,1.6144e-02
18.4307728,1.1279e-02
18.4899292,1.0076e-02
18.5501556,1.0347e-02
18.5949554,1.7897e-02
18.6407051,1.8470e-02
18.6945572,1.6224e-02
18.7681541,1.2587e-02
18.8140888,2.7075e-02
18.8890896,4.8968e-03
18.9273510,8.1405e-03
18.9676094,1.1774e-02
18.9933434,1.1262e-02
19.0526123,1.1569e-02
19.1012840,1.8929e-02
19.1836376,2.2984e-02
19.2428703,1.4961e-02
19.2863102,8.3757e-03
19.3338242,1.8678e-02
19.3924999,1.3584e-02
19.4528255,1.8809e-02
19.5001049,1.3989e-02
19.5543671,1.9184e-02
19.6100903,1.6236e-02
19.6619473,6.3388e-02
19.7948723,1.5035e-02
19.8455372,9.6432e-03
19.9106750,1.3038e-02
19.9769611,2.5228e-02
20.0491676,6.4634e-03
20.1440792,1.0780e-02
20.2071934,1.2787e-02
20.2532139,8.5183e-03
20.3071823,4.3881e-03
20.3687153,1.9423e-02
20.4206066,2.2898e-02
20.5036793,1.3977e-02
20.5464668,6.9758e-03
20.5818748,6.3963e-03
20.6200829,1.4796e-02
20.7008648,3.7261e-03
20.7367191,2.5047e-02
20.7940922,1.1177e-02
20.8564587,2.3222e-02
20.9209633,1.6939e-02
20.9587574,1.8233e-02
21.0275402,8.3382e-03
21.0870838,1.2015e-02
21.1333485,2.7554e-02
21.2151985,4.0343e-03
21.2876625,4.7712e-03
21.3545609,1.7703e-02
21.4226952,1.7118e-02
21.5003319,7.1694e-03
21.5458031,1.7422e-02
21.6017914,8.6727e-03
21.6510944,2.0249e-03
21.6947575,1.1647e-02
21.7457066,7.7470e-03
21.8061619,1.2336e-02
21.8690586,1.1595e-02
21.9515228,3.1323e-03
22.0057125,5.1491e-03
22.0487442,1.8285e-02
22.1401730,5.7020e-03
22.1871014,1.7221e-02
22.2288361,2.0056e-02
22.3001041,2.4506e-02
22.3686104,1.5814e-02
22.4359055,2.5506e-02
22.5169773,1.2191e-02
22.5755844,1.5234e-02
22.6334667,1.9739e-02
22.7078209,1.5912e-02
22.7691288,1.1761e-02
22.8346100,2.3458e-02
22.9010773,2.8100e-02
22.9780445,1.8860e-02
23.0406551,1.6880e-02
23.0908966,2.8764e-02
23.1690845,1.3997e-02
23.2415276,2.1376e-02
23.3092899,1.8244e-02
23.3665924,2.9162e-03
23.4348240,1.4866e-02
23.4980469,3.0461e-02
23.5748348,1.4113e-02
23.6345806,1.8671e-02
23.6965275,5.0604e-03
23.7405090,1.0758e-02
23.8210163,1.8215e-02
23.8750172,1.6294e-02
23.9292736,2.2722e-02
24.0179195,1.7841e-02
24.0978889,2.0114e-02
24.1590958,1.8983e-02
24.2212620,1.6263e-02
24.3017769,2.2168e-02
24.3671932,1.0998e-02
24.4269657,1.1300e-02
24.4959469,4.8938e-03
24.5638256,1.7075e-02
24.6529140,9.9258e-03
24.7156200,1.2926e-02
24.7958736,1.0202e-02
24.8695679,7.1775e-03
24.9330235,7.5304e-03
25.0232544,1.8279e-02
25.0937061,8.3278e-03
25.1676483,2.6154e-02
25.2495766,2.3823e-02
25.3098812,4.7261e-03
25.3815346,2.1877e-02
25.4362717,1.4376e-02
25.4940414,6.5604e-03
25.5456028,2.0023e-02
25.6058044,3.4157e-02
25.6819878,2.0103e-02
25.7360115,1.1359e-02
25.7933407,1.2215e-02
25.8483772,1.0936e-02
25.9025326,1.1947e-02
25.9546070,9.0203e-03
26.0102673,1.2431e-02
26.0533142,2.8163e-02
26.1257439,2.8233e-02
26.1818600,1.0239e-02
26.2386780,1.5021e-03
26.2804527,4.6551e-02
26.3770504,7.8469e-03
26.4328098,2.3677e-02
26.4965839,1.1267e-02
26.5428371,1.1314e-02
26.6197090,9.0897e-03
26.6643391,1.3866e-02
26.7100277,7.1165e-03
26.8107014,2.3112e-02
26.8906078,1.5851e-03
26.9350700,2.0213e-02
26.9860668,1.0682e-02
27.0560818,2.3515e-03
27.1126251,1.2612e-02
27.1805534,1.0723e-02
27.2285614,2.9456e-02
27.2987061,1.4921e-02
27.3889523,2.3061e-02
27.4407101,1.7532e-02
27.4992828,1.9459e-02
27.5582790,1.2457e-02
27.6048832,2.1057e-02
27.6746807,2.1197e-02
27.7334518,1.9666e-02
27.8128262,2.1617e-02
27.8922005,6.9374e-03
27.9265213,2.1007e-02
28.0921669,2.3581e-02
28.1474953,6.8605e-03
28.2077255,1.2794e-02
28.2642441,2.1440e-02
28.3315163,5.4622e-03
28.3903694,1.0318e-02
28.4552460,1.5784e-02
28.5146713,1.3847e-02
28.5522633,1.7363e-02
28.6588535,6.3853e-03
28.7029934,1.8107e-02
28.7550869,1.0876e-02
28.8282089,5.5429e-03
28.8715839,1.4067e-02
28.9262371,1.6967e-02
29.0004692,2.6863e-02
29.0558453,7.1121e-03
29.0999718,3.2827e-02
29.1809654,6.7172e-03
29.2587643,2.9873e-02
29.3132763,2.3147e-02
29.3661251,2.2355e-02
29.4727688,4.0525e-03
29.5261211,1.2153e-02
29.5903816,1.2855e-02
29.6591187,1.6402e-02
29.7076893,1.4961e-02
29.7836571,1.4117e-02
29.8271198,3.4915e-03
29.8557587,1.9239e-02
29.9278507,1.0351e-02
29.9857960,1.0639e-02
30.0209656,2.5100e-02
30.0778675,8.6087e-03
30.1149025,1.3222e-02
30.1791458,5.6184e-03
30.2208824,1.8345e-02
30.2779694,1.0843e-02
30.3325405,1.0178e-02
30.3600845,2.2334e-02
30.4354687,1.5612e-02
30.4910011,1.1262e-02
30.5469227,1.7627e-02
30.6117992,1.1566e-02
30.6587448,1.4063e-02
30.7161674,1.4540e-02
30.7887897,1.6017e-02
30.8455620,1.6732e-02
30.9164982,1.2926e-02
30.9757156,1.6865e-02
31.0168953,1.2889e-02
31.0890141,1.3616e-02
31.1357002,5.5022e-03
31.1726208,1.8070e-02
31.2452240,1.2595e-02
31.3157253,1.9729e-02
31.3921204,2.0071e-02
31.4516373,1.6274e-02
31.5142174,1.5289e-02
31.5579758,1.3071e-02
31.6149578,2.8514e-02
31.6689320,1.0166e-02
31.7060986,1.9274e-02
31.7524452,1.7687e-02
31.7979317,1.1979e-02
31.8456135,5.7814e-03
32.0219574,2.4525e-02
32.0965385,2.8553e-02
32.1667557,9.5071e-03
32.2284775,1.5901e-02
32.2644501,2.5677e-02
32.3165932,2.4015e-02
32.3766518,1.6330e-02
32.4290695,1.9825e-02
32.4941826,1.5825e-02
32.5631828,7.3374e-02
32.6766243,3.3335e-03
32.7336693,1.0207e-02
32.7791939,1.5951e-02
32.8317604,2.3965e-02
32.8865051,1.0236e-02
32.9460297,5.3173e-03
32.9996376,9.7848e-03
33.1007576,2.0649e-02
33.1587219,1.3184e-02
33.2183189,1.1866e-02
33.2532005,1.6671e-02
33.3050537,4.5388e-02
33.4037399,1.4546e-02
33.4830666,1.3468e-02
33.5396118,2.2472e-02
33.5954971,1.8682e-02
33.6475945,6.2156e-03
33.7421341,2.2263e-02
33.8185081,1.3045e-02
33.8544350,1.6705e-02
33.9222107,1.7378e-02
33.9687843,1.1822e-02
34.0160217,2.1288e-02
34.0633469,5.7964e-03
34.1093674,1.1261e-02
34.1630745,1.1418e-02
34.2172699,1.1125e-02
34.2692223,1.2394e-02
34.3355522,1.7303e-02
34.3785133,1.1603e-02
34.4366379,1.6353e-02
34.4886093,6.1032e-03
34.5469627,9.8126e-03
34.5824928,6.2081e-03
34.6313019,2.1923e-02
34.6924553,3.0987e-03
34.7289276,3.1137e-02
34.7857628,2.3355e-02
34.8394890,1.8721e-02
34.9011612,2.1301e-02
34.9544945,9.0058e-03
35.0189934,1.1364e-02
35.0799522,7.1268e-03
35.1381874,1.2561e-02
35.1785393,1.9652e-02
35.2282906,1.3660e-02
35.2706451,2.7765e-02
35.3322449,1.6738e-02
35.3919640,2.3410e-02
