time,runtime
0.0243598,1.2655e-02
0.0694143,9.4485e-03
0.0941256,9.0658e-03
0.1268226,1.6641e-02
0.1779171,1.0787e-02
0.2103977,1.5936e-01
0.3857490,1.1337e-02
0.4185277,1.6311e-02
0.4586897,9.7659e-03
0.5017027,8.4330e-03
0.5319908,2.2598e-02
0.5806432,5.3339e-03
0.6156859,8.8003e-03
0.6465538,9.1420e-03
0.6689689,1.2059e-02
0.7025798,1.2735e-02
0.7390019,1.2301e-02
0.7761784,2.2061e-02
0.8233628,1.2704e-02
0.8632555,8.1114e-03
0.8894830,1.5726e-02
0.9285387,7.7616e-03
0.9596701,6.4277e-03
0.9866370,5.8495e-03
1.0177599,1.5446e-02
1.0467710,1.1772e-02
1.0741042,1.2294e-02
1.1084462,2.2938e-02
1.1505679,7.0339e-03
1.1696156,8.9510e-03
1.2027435,1.0202e-02
1.2359225,8.8004e-03
1.2627532,1.1596e-02
1.2968961,8.4685e-03
1.3237540,1.2243e-02
1.3469485,1.0873e-02
1.3751255,6.4641e-03
1.3957829,6.4197e-03
1.4101591,1.3008e-02
1.4341881,5.8052e-03
1.4577649,7.7116e-03
1.4825969,8.6976e-03
1.5130205,5.5000e-03
1.5292706,5.2714e-03
1.5450124,5.7484e-03
1.5644695,8.5046e-03
1.5890578,6.6682e-03
1.6175443,4.9923e-03
1.6376920,1.2766e-02
1.6727929,1.6084e-02
1.7242357,9.4631e-03
1.7559754,1.4189e-02
1.7930536,1.2214e-02
1.8253882,1.5469e-02
1.8593502,1.2190e-02
1.8869320,1.6806e-02
2.4477220,9.4261e-03
2.4774141,1.5946e-02
2.5129726,1.1747e-02
2.5469890,3.3575e-03
2.5693507,1.0669e-02
2.6005840,9.1004e-03
2.6362708,1.1566e-02
2.6751189,1.3178e-02
2.7125494,9.0587e-03
2.7377965,1.1866e-02
2.7742586,1.0318e-02
2.8018825,1.2186e-02
3.0515838,1.0181e-02
3.0884454,1.3111e-02
3.1172359,9.4570e-03
3.1448483,7.4422e-03
3.1731145,1.4821e-02
3.2004707,1.1868e-02
3.2360127,1.1907e-02
3.2673147,1.0841e-02
3.2922423,1.2612e-02
3.3322291,9.5401e-03
3.3653283,8.7253e-03
3.4023871,1.1339e-02
3.4329035,6.4834e-03
3.4616899,1.9008e-02
3.5056303,8.8355e-03
3.5352523,1.2183e-02
3.5641382,8.7206e-03
3.5949674,9.0876e-03
3.6369388,9.1328e-03
3.6599872,9.5140e-03
3.6881652,1.1966e-02
3.7220743,1.5371e-02
3.7597778,1.2317e-02
3.7832491,5.8518e-03
3.8193588,1.1533e-02
3.8455768,1.3530e-02
3.8917048,1.0500e-02
3.9238205,1.2562e-02
3.9582365,1.1014e-02
3.9885864,1.0663e-02
4.0151801,1.1098e-02
4.0560331,1.0094e-02
4.0872173,5.4815e-03
4.1187973,1.0115e-02
4.1509266,9.6317e-03
4.1724944,1.3024e-02
4.2104897,9.0538e-03
4.2466774,8.1693e-03
4.2736893,7.3468e-03
4.3049674,8.8981e-03
4.3479199,1.0366e-02
4.3807726,1.2318e-02
4.4121714,1.2718e-02
4.4393778,7.3359e-03
4.4525175,9.9024e-03
4.4797177,8.6677e-03
4.5032301,9.7545e-03
4.5268879,8.7259e-03
4.5503426,1.6485e-02
4.5865550,7.1515e-03
4.6170382,1.1035e-02
4.6496100,1.0106e-02
4.6760478,3.1397e-03
4.6967673,8.3904e-03
4.7238331,1.2607e-02
4.7591376,1.2661e-02
4.7881141,7.1814e-03
4.8228989,9.3974e-03
4.8438492,1.0976e-02
4.8804884,7.9507e-03
4.9127560,9.0219e-03
4.9421406,1.2299e-02
4.9779186,9.8139e-03
5.0001645,1.2254e-02
5.0260453,1.4196e-02
5.0553598,1.0594e-02
5.0853386,1.2469e-02
5.1231570,1.3052e-02
5.1605711,1.3843e-02
5.1979394,1.3294e-02
5.4754429,1.1564e-02
5.5064397,1.1605e-02
