time,runtime
0.0000024,1.2631e-02
0.0312702,1.3110e-02
0.0620890,1.5344e-02
0.1069141,1.2574e-02
0.1389053,1.3464e-02
0.1715505,1.1468e-02
0.2029771,1.5944e-02
0.2412999,7.3465e-03
0.2656583,2.2891e-02
0.3101653,7.3098e-03
0.3385609,7.4131e-03
0.3725648,1.2973e-02
0.4109091,1.0081e-02
0.4346414,1.8909e-02
0.4744708,1.8610e-03
0.4960741,1.6298e-02
0.5310299,9.9691e-03
0.5648134,1.4054e-02
0.6052105,8.5982e-03
0.6377369,9.5874e-03
0.6653942,9.3789e-03
0.6934335,1.5489e-02
0.7276888,1.3856e-02
0.7608737,1.1292e-02
0.7837404,2.1172e-02
1.1637229,1.4538e-02
1.1986986,1.2707e-02
1.2475874,1.1954e-02
1.2860796,1.7538e-02
1.3239853,1.6003e-02
1.3655689,1.1978e-02
1.4012049,1.9808e-02
1.4546584,1.7215e-02
1.4905995,5.5237e-03
1.5240744,2.5373e-02
1.5709448,1.4286e-02
1.7416066,2.2143e-02
1.7962525,1.0428e-02
1.8292607,1.7455e-02
1.8776762,1.0531e-02
1.9362603,1.1607e-02
1.9744896,1.2375e-02
2.0347784,1.1951e-02
2.0705955,2.0466e-02
2.1229005,1.4281e-02
2.1671960,3.3698e-03
2.2001235,2.7957e-02
2.2646139,1.9017e-02
2.3246002,2.2395e-02
2.3681595,9.0413e-03
2.4170156,1.3154e-03
2.4704981,3.2871e-02
2.5328653,3.5322e-03
2.5606391,1.3434e-02
2.5886278,1.1545e-02
2.6195810,1.6630e-02
2.6485407,1.6164e-02
2.6910124,1.9400e-02
2.7399459,1.3489e-02
2.7770193,7.9720e-03
2.8065612,2.6659e-03
2.8345919,1.9542e-02
2.8796930,1.1070e-02
2.9138043,1.3454e-02
2.9467087,1.3135e-02
2.9816430,1.5303e-02
3.0148063,8.5960e-03
3.0461230,1.3991e-02
3.0834022,6.3988e-03
3.1122899,9.8394e-03
3.1442196,1.6611e-02
3.1826184,9.4027e-03
3.2144792,9.1061e-03
3.2454422,9.1627e-03
3.2747729,1.3235e-03
3.3030353,9.9569e-03
3.3365996,1.6111e-02
3.3732541,3.1653e-03
3.4032631,1.2457e-02
3.4319715,7.0337e-03
3.4636302,1.2950e-02
3.4961956,1.2489e-02
3.5287192,1.0805e-02
3.5650868,9.1200e-03
3.5902147,1.4300e-02
3.6286337,1.8651e-02
3.6670361,1.1058e-02
3.7000263,2.5472e-03
3.7212012,1.4412e-02
3.7577600,7.2295e-03
3.7924063,1.0948e-02
3.8290086,9.5642e-03
3.8597674,2.7739e-03
3.8851998,2.2055e-02
3.9323275,1.2937e-02
3.9685988,1.4500e-02
4.0057292,9.3569e-03
4.0357690,8.2479e-03
4.0676513,1.4827e-02
4.1082726,1.2333e-02
4.1364036,1.3982e-02
4.1740861,1.0505e-02
4.2041922,1.5052e-02
4.2316008,9.1731e-03
4.2649684,2.1160e-02
4.3063188,1.5056e-02
4.3441596,1.2132e-02
4.3768859,2.8950e-03
4.3966789,2.8795e-03
4.4184632,9.0903e-03
4.4425416,1.6235e-02
4.4847369,9.3379e-03
4.5198212,1.2493e-02
4.5728245,9.7183e-03
4.6121144,1.1433e-02
4.6469388,8.7299e-03
4.6775904,8.4636e-03
4.7051129,1.0683e-02
4.7401295,1.1582e-02
4.7749028,1.2681e-02
4.8096604,1.4862e-03
4.8390875,1.2781e-02
4.8725410,1.0610e-02
4.9102058,2.6204e-03
4.9307218,1.0428e-02
4.9627895,1.3169e-03
4.9835806,1.2733e-02
5.0206919,1.6601e-02
5.0567865,1.8603e-02
5.0959749,1.2579e-02
5.1293383,2.3427e-03
5.1587811,1.3017e-02
5.1873765,1.0983e-02
5.2235165,1.1048e-02
5.2555680,9.0055e-03
5.2905641,1.5865e-03
5.3013310,2.5198e-02
5.3501945,1.0143e-02
5.3795514,1.0012e-02
5.4058976,1.0644e-02
5.4456420,1.2033e-02
5.4811897,1.5063e-02
5.5155492,5.8871e-03
5.5427942,5.4138e-03
5.5725703,1.1173e-02
5.5979085,8.1321e-03
5.6227689,1.2756e-02
5.6565709,9.3896e-03
5.6933537,1.1076e-02
5.7274079,8.0953e-03
5.7548690,6.7050e-03
5.7866974,1.7233e-02
6.1211014,1.0225e-02
6.1504035,5.9058e-03
6.1821942,1.1861e-02
6.2391768,2.6353e-02
6.2870002,1.9077e-02
6.3560939,1.1164e-02
6.3942604,2.1640e-02
