time,runtime
0.0025428,1.0083e-03
0.0097032,6.5568e-04
0.4815479,7.5215e-04
0.4879155,7.9444e-04
0.4961668,7.5959e-04
0.5036144,7.9417e-04
0.5106072,7.0821e-04
0.5180521,6.7267e-04
0.5272163,7.5445e-04
0.5368311,6.4629e-04
0.5433649,6.9572e-04
0.5530766,6.5765e-04
0.5616013,7.0056e-04
0.5707880,6.8657e-04
0.5797805,7.1505e-04
0.5886943,6.7572e-04
0.5941153,6.1459e-04
0.6023685,5.5948e-04
0.6106312,6.8798e-04
0.6179964,7.0199e-04
0.6257651,7.4717e-04
0.6347371,8.9687e-04
0.6437328,8.4995e-04
0.6533274,6.1566e-04
0.6609964,6.9849e-04
0.6691503,1.6666e-01
0.8445336,7.6963e-04
0.8498513,6.9667e-04
0.8586281,6.5074e-04
0.8638469,8.5766e-04
0.8724679,6.4422e-04
0.8797731,7.2249e-04
1.6334788,6.2265e-04
1.6407787,5.3511e-04
1.6464664,5.5683e-04
1.6542528,6.3471e-04
1.6623812,7.3562e-04
1.6699281,5.7844e-04
1.6781161,5.3575e-04
1.6840726,9.5096e-04
1.6913012,4.8772e-04
1.6994371,4.4904e-04
1.7065042,6.2403e-04
1.7125045,7.5371e-04
1.7196411,6.3688e-04
1.7280720,6.6335e-04
1.7349604,6.6231e-04
1.7420577,6.2012e-04
1.7489671,5.5572e-04
1.7566572,6.3799e-04
1.7647737,8.0426e-04
2.0703044,6.7462e-04
2.0787940,6.3583e-04
2.0840964,9.2767e-02
2.1831834,1.0491e-03
2.1895618,1.1323e-02
2.2078736,8.4263e-04
2.2141538,8.6478e-04
2.2232981,7.0021e-04
2.2302301,6.4866e-04
2.2370679,7.0695e-04
2.2462449,6.7308e-04
2.2554049,8.8961e-04
2.2647896,7.3048e-04
2.2722859,9.2016e-04
2.2805216,6.4700e-04
2.2883546,7.5411e-04
2.2943881,7.1065e-04
2.3027632,5.8986e-04
2.3130777,1.0432e-03
2.3233395,6.9321e-04
2.3342540,6.4103e-04
2.3444521,6.7355e-04
2.3543048,5.3914e-04
2.3635252,7.5206e-04
2.3744063,5.8178e-04
2.3847053,8.5559e-04
2.3948669,9.6784e-04
2.4057248,8.1406e-04
2.4159424,6.9525e-04
2.4254193,6.7227e-04
2.4373496,8.9571e-04
2.4476714,1.0107e-03
2.4576571,9.0792e-04
2.4681833,9.3524e-04
2.4771950,8.9993e-04
2.4871187,8.3328e-04
2.4949203,6.4540e-04
2.5018988,8.4255e-04
2.5123818,6.2226e-04
2.5218372,5.6403e-04
2.5305929,8.7959e-04
2.5402377,8.2296e-04
2.5503044,7.0990e-04
2.5594623,7.4390e-04
2.5692434,8.4952e-04
2.5774524,8.8251e-04
2.5871341,8.6503e-04
2.5959172,6.2374e-04
2.6024468,7.0417e-04
2.6127114,6.7877e-04
2.6236093,7.2142e-04
2.6304193,6.9260e-04
2.6418080,8.7966e-04
2.6484439,8.0875e-04
2.6571078,6.4325e-04
2.6662910,6.6720e-04
2.6761484,1.3443e-03
2.6847336,7.5360e-04
2.6926136,7.1363e-04
2.7011256,6.4377e-04
2.7111046,5.2336e-04
2.7219951,6.0525e-04
2.7318077,7.2133e-04
2.7418818,8.8442e-04
2.7527494,8.6790e-04
2.7620878,7.0977e-04
2.7729728,7.0480e-04
2.7833438,7.1389e-04
2.7940998,6.3066e-04
2.8032687,6.6686e-04
2.8117220,5.6122e-04
2.8227093,6.8704e-04
2.8323605,6.8532e-04
2.8428702,6.9958e-04
2.8550754,8.9527e-04
2.8668768,6.3537e-04
2.8763473,8.6625e-04
2.8883526,7.8280e-04
2.8994439,9.4166e-04
2.9074640,6.3612e-04
2.9188786,9.6106e-04
2.9299910,9.3041e-04
2.9416106,6.2741e-04
2.9503243,9.5554e-04
2.9597094,9.4890e-04
2.9687569,7.3758e-04
2.9808843,8.0686e-04
2.9895878,7.4443e-04
2.9970984,8.5782e-04
3.0080242,6.2112e-04
3.0179982,1.4073e-01
3.1662321,7.8517e-04
3.1745780,7.0321e-04
3.1855049,5.5386e-04
3.1977522,6.8751e-04
3.2120445,6.2941e-04
3.2248473,7.7470e-04
3.2316928,6.9347e-04
3.2421331,6.9154e-04
3.2542436,9.1279e-04
3.2626767,6.1040e-04
3.2709842,6.5331e-04
3.2793696,8.4022e-04
3.2920029,7.1307e-04
3.3021598,7.1441e-04
3.3173556,8.0362e-04
3.3274550,7.6396e-04
3.3382018,7.6583e-04
3.3500328,6.3380e-04
3.3602204,6.6154e-04
3.3707166,7.4292e-04
3.3798251,5.7004e-04
3.3900852,6.8236e-04
3.4011157,7.4080e-04
3.4130561,5.5625e-04
3.4250188,7.3837e-04
3.4360695,7.7500e-04
3.4472919,8.5350e-04
3.4577987,8.1871e-04
3.4655309,1.0094e-03
3.4765437,5.8494e-04
3.4880795,8.5575e-04
3.4993837,7.5285e-04
3.5080662,8.5298e-04
3.5206399,8.5894e-04
3.5325277,9.4175e-04
3.5398908,8.4134e-04
3.5486691,8.2521e-04
3.5603487,1.0078e-03
3.5701716,8.8725e-04
3.5820651,7.2732e-04
3.5907464,8.2750e-04
3.6024897,7.8577e-04
3.6163378,9.9961e-04
3.6259761,1.1056e-03
3.6364284,5.7609e-04
3.6455059,6.6311e-04
3.6609187,5.9825e-04
3.6682150,6.5529e-04
3.6749177,6.0915e-04
3.6814265,5.4702e-04
3.6885331,6.1694e-04
3.6953115,5.6149e-04
3.7024665,5.8483e-04
3.7072814,5.7994e-04
3.7143831,1.1609e-03
3.7207890,5.8554e-04
3.7291467,7.1002e-04
3.7367473,5.6540e-04
3.7442555,5.0032e-04
3.7521586,5.8870e-04
3.7603304,6.8349e-04
3.7692461,6.0682e-04
3.7779644,7.3766e-04
3.7863483,8.0025e-04
3.7949145,7.6062e-04
3.8015387,6.0540e-04
3.8094041,6.8440e-04
3.8145502,8.1404e-04
3.8229318,6.9575e-04
3.8318305,6.4624e-04
3.8418164,6.8858e-04
3.8498924,7.0939e-04
3.8561528,7.7262e-04
3.8629873,7.3741e-04
3.8701987,7.2577e-04
3.8785894,6.4802e-04
3.8877170,6.5821e-04
3.8958580,7.5086e-04
3.9054179,9.6607e-04
3.9137845,7.1694e-04
3.9212105,7.4417e-04
3.9296563,7.2172e-04
3.9387171,6.5110e-04
3.9458573,5.9403e-04
3.9540205,7.2200e-04
3.9624350,7.8325e-04
3.9704478,6.2686e-04
3.9781280,7.2563e-04
3.9896224,8.2065e-04
3.9978209,6.0754e-04
4.0067005,7.6435e-04
4.0160742,7.5011e-04
4.0228181,8.2892e-04
4.0319242,8.1233e-04
4.0401835,9.6553e-04
4.0493593,9.6612e-04
4.0561991,7.2269e-04
4.0653439,6.7232e-04
4.0753360,9.5681e-04
4.0848002,7.0720e-04
4.0942869,7.7916e-04
4.1006413,6.6644e-04
4.1106114,8.1609e-04
4.1200824,8.7553e-04
4.1294188,7.4913e-04
4.1382742,6.1359e-04
4.1472912,6.8835e-04
4.1565895,6.3294e-04
4.1654034,9.2733e-02
4.9854064,5.6530e-04
4.9908137,5.4659e-04
4.9986916,5.4100e-04
5.0069318,6.3624e-04
5.0151281,6.1784e-04
5.3344336,4.8268e-04
5.3422928,6.4357e-04
5.3500571,5.3610e-04
5.4009552,5.3113e-04
5.4080086,5.7777e-04
5.4156833,6.2233e-04
