time,runtime
0.0000026,1.8001e-03
0.0065821,6.5936e-04
0.0127858,3.8498e-03
0.0223383,3.6670e-03
0.0321161,3.1345e-03
0.0428943,2.8382e-03
0.0510897,2.9870e-03
0.0600030,2.0511e-03
0.0683030,5.0868e-03
0.0803828,3.7642e-03
0.0903176,2.4927e-03
0.1012758,3.4883e-03
0.1144410,7.3445e-04
0.1229335,8.6998e-04
0.1311928,7.0042e-03
0.1464184,1.3397e-03
0.1561872,2.6135e-03
0.1672252,3.1048e-03
0.1742771,6.0700e-03
0.1854618,4.5349e-03
0.1980991,3.5171e-03
0.2077371,3.5538e-03
0.2197687,3.6216e-03
0.2305337,3.7210e-03
0.2386617,4.4260e-03
0.2493649,4.5741e-03
0.2612073,6.0084e-03
0.2901222,3.3422e-03
0.3016370,4.0874e-03
0.3120825,2.4829e-03
0.3195716,2.9899e-03
0.3287613,3.7168e-03
0.3362079,3.9745e-03
0.3454323,1.1700e-03
0.3552872,4.9232e-03
0.3659030,3.9235e-03
0.3768304,4.3893e-03
0.3893257,1.6083e-03
0.3975018,7.1121e-04
0.4054694,3.4296e-03
0.4160450,8.7722e-04
0.4247986,5.8406e-03
0.4381830,4.8384e-03
0.4504615,3.6127e-03
0.4595433,5.6551e-03
0.4733880,2.6280e-03
0.4832783,2.3831e-03
0.4918921,3.2488e-03
0.5020952,3.4499e-03
0.5099272,3.0675e-03
0.5190324,2.8704e-03
0.5287378,4.0551e-03
0.5405680,1.2029e-03
0.5473378,4.6550e-03
0.5600961,4.3881e-03
0.5738716,2.9212e-03
0.5857254,4.0070e-03
0.5983961,2.8976e-03
0.6109232,3.9028e-03
0.6228639,6.3840e-03
0.6386492,5.0082e-03
0.6515313,4.3223e-03
0.6637101,3.0510e-03
0.6756244,4.3441e-03
0.6887127,3.9990e-03
0.6973460,3.7723e-03
0.7071922,4.6520e-03
0.7197152,2.9768e-03
0.7310514,3.4314e-03
0.7413415,4.7981e-03
0.7533907,3.4227e-02
