time,runtime
0.0085454,4.2272e-03
0.0213491,7.3841e-04
0.0295780,3.0921e-03
0.0422896,3.2968e-03
0.0549194,3.2954e-03
0.0676504,4.7047e-03
0.0810818,3.7349e-03
0.0932373,3.4652e-03
0.1059821,3.9291e-03
0.1180730,3.8984e-03
0.1327793,3.4801e-03
0.1421599,3.6759e-03
0.1548770,3.9074e-03
0.1634133,2.9244e-03
0.1729908,4.0151e-03
0.1841037,1.8079e-03
0.1896293,1.7408e-03
0.1971689,3.4460e-03
0.2339558,4.2495e-03
0.2476660,4.1066e-03
0.2607494,3.0199e-03
0.2725917,2.9028e-03
0.2873383,4.4314e-03
0.2987872,4.4489e-03
0.3129067,3.6604e-03
0.3246204,2.1855e-03
0.3337521,3.0543e-03
0.3407271,2.9576e-03
0.3511733,2.9674e-03
0.3633385,4.2843e-03
0.3745649,3.5297e-03
0.3834332,3.0907e-03
0.3941970,4.5408e-03
0.4048789,3.1362e-03
0.4134652,1.1056e-03
0.4230883,3.2262e-03
0.4336071,2.1434e-03
0.4434883,3.1266e-03
0.4531004,3.7082e-03
0.4641849,3.5704e-03
0.4751009,3.8698e-03
0.4871901,7.4337e-04
0.4930392,2.9495e-03
0.5030335,2.5440e-03
0.5125743,2.4044e-03
0.5222906,5.0438e-03
0.5336154,4.2967e-03
0.5459352,3.5314e-03
0.5545968,2.8565e-03
0.5688597,3.5504e-03
0.5813971,3.3262e-03
0.5964444,3.7012e-03
0.6087156,3.0752e-03
0.6184082,2.2050e-03
0.6285421,3.1286e-03
0.6535852,4.6484e-03
0.6657891,3.2401e-03
0.6743807,3.0996e-03
0.6853592,3.1962e-03
0.6929458,3.8124e-03
0.7031194,1.9746e-02
0.7308282,4.7856e-03
0.7402219,3.5286e-03
0.7509924,4.4589e-03
0.7601894,9.3454e-04
0.7725853,4.6828e-03
0.7841641,5.1251e-03
0.7982720,4.5793e-03
0.8092816,3.1401e-03
0.8199113,4.1699e-03
0.8336481,4.4408e-03
0.8454179,4.2519e-03
0.8570812,4.1144e-03
0.8688266,3.3068e-03
0.8815220,4.2000e-03
0.8918331,3.6377e-03
0.9046703,3.6888e-03
0.9174548,4.8996e-03
0.9312695,3.7723e-03
0.9441589,4.6347e-03
0.9582225,4.6551e-03
0.9717155,3.4169e-03
0.9829180,4.1657e-03
0.9934089,4.0368e-03
1.0022570,4.5121e-03
1.0154582,3.8769e-03
1.0297072,8.6389e-04
1.0389637,3.0949e-03
1.0510894,2.6864e-03
1.0618235,2.2742e-03
1.0724429,2.6540e-03
1.0835888,3.4049e-03
1.0939853,4.3243e-03
1.1036079,3.6622e-03
1.1153896,4.6756e-03
