time,runtime
0.0076025,9.4272e-04
0.0183776,2.9714e-03
0.0268353,2.7425e-03
0.0385903,3.6991e-03
0.0504775,4.4418e-03
0.0651456,2.5046e-03
0.0776602,3.4214e-03
0.0895318,3.7053e-03
0.1025695,3.4125e-03
0.1146983,3.3746e-03
0.1277906,4.9885e-03
0.1413067,8.5301e-04
0.1508969,3.9799e-03
0.1606090,2.8042e-03
0.1709412,2.0494e-03
0.1819318,2.1718e-03
0.1875063,2.1229e-03
0.1942086,2.9601e-03
0.2299969,3.9587e-03
0.2431389,4.5268e-03
0.2568581,3.8911e-03
0.2685796,4.0119e-03
0.2832447,4.0935e-03
0.2959960,2.7910e-03
0.3097951,3.1115e-03
0.3219027,2.7175e-03
0.3312304,2.5215e-03
0.3381759,2.5511e-03
0.3477321,3.4411e-03
0.3597734,3.5650e-03
0.3721873,2.3775e-03
0.3826385,7.9456e-04
0.3916689,2.5280e-03
0.4029709,1.9079e-03
0.4112964,2.1688e-03
0.4192000,3.8882e-03
0.4309868,2.6201e-03
0.4398817,3.6065e-03
0.4502328,2.8675e-03
0.4619419,2.2429e-03
0.4726908,2.4100e-03
0.4841066,3.0834e-03
0.4895920,3.4470e-03
0.4992357,3.7978e-03
0.5097921,2.7821e-03
0.5191730,3.1175e-03
0.5312381,2.3772e-03
0.5421069,3.8282e-03
0.5534107,1.1860e-03
0.5648240,4.0355e-03
0.5786552,2.7417e-03
0.5922293,4.2149e-03
0.6058996,2.8156e-03
0.6175269,8.8113e-04
0.6247429,3.7990e-03
0.6354946,1.8090e-02
0.6624163,3.3726e-03
0.6722928,2.0879e-03
0.6826828,2.6763e-03
0.6903839,2.5618e-03
0.7008576,2.2617e-03
0.7271354,3.6927e-03
0.7374991,2.7228e-03
0.7476906,3.3017e-03
0.7570906,3.0987e-03
0.7693259,3.2592e-03
0.7814000,2.7640e-03
0.7946269,3.6450e-03
0.8064094,2.8721e-03
0.8172739,2.6373e-03
0.8303770,3.2709e-03
